тип;nm_id;ссылка;артикул;продаж_с_0106;на_ВБ;эталон;источник_эталона;примечание;название
кодировка: испорченный текст;270394627;https://www.wildberries.ru/catalog/270394627/detail.aspx;5734;1;РЎ20,, РЎ20EU, РЎ25;;карточка ВБ;;Картридж BPGT20CA для Sharp BP10C20EU, BP20C20EU голубой
кодировка: испорченный текст;270394609;https://www.wildberries.ru/catalog/270394609/detail.aspx;5735;0;РЎ20,, РЎ20EU, РЎ25;;карточка ВБ;;Картридж BPGT20MA для Sharp BP10C20EU, BP20C20EU пурпурный
кодировка: испорченный текст;967513047;https://www.wildberries.ru/catalog/967513047/detail.aspx;55131;0;РЎ227;;карточка ВБ;;Картридж для Konica Minolta Bizhub РЎ227
кодировка: испорченный текст;967513106;https://www.wildberries.ru/catalog/967513106/detail.aspx;55132;0;РЎ287;;карточка ВБ;;Картридж для Konica Minolta Bizhub РЎ287
количество: название ≠ характеристика;199331019;https://www.wildberries.ru/catalog/199331019/detail.aspx;3532;0;2 шт в названии;1 в характеристике;карточка ВБ;;Картриджи 106R04349 (2 шт.) для Xerox B-205, B-210 черный
количество: название ≠ характеристика;264243748;https://www.wildberries.ru/catalog/264243748/detail.aspx;4392;0;2 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 2 шт для HP DJ T120, DJ T125 черный
количество: название ≠ характеристика;400980380;https://www.wildberries.ru/catalog/400980380/detail.aspx;4391;0;3 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 3 шт для HP DJ T120, DJ T125 желтый
количество: название ≠ характеристика;400980382;https://www.wildberries.ru/catalog/400980382/detail.aspx;4390;0;3 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 3 шт для HP DJ T120, DJ T125 пурпурный
количество: название ≠ характеристика;400980384;https://www.wildberries.ru/catalog/400980384/detail.aspx;4389;0;3 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 3 шт для HP DJ T120, DJ T125 голубой
количество: название ≠ характеристика;850494283;https://www.wildberries.ru/catalog/850494283/detail.aspx;6405;0;2 шт в названии;1 в характеристике;карточка ВБ;;Картридж TN-116/TN-118 (2шт.) для Konica Minolta черный
количество: название ≠ характеристика;1480343590;https://www.wildberries.ru/catalog/1480343590/detail.aspx;2318X10;0;2 шт в названии;10 в характеристике;карточка ВБ;;Комплект картриджей 106R03048 (2 штуки) (10 шт.) для Xerox
модель: поле «Модель» ≠ TheCartridge;200166883;https://www.wildberries.ru/catalog/200166883/detail.aspx;027714;1;Картридж SCX-4729FW;MLT-D103L;TheCartridge;доп. название ТК: ;Картридж EasyPrint LS-103L для Samsung ML-2950, ML-2950NDR, SCX-4727FD
модель: поле «Модель» ≠ TheCartridge;199332803;https://www.wildberries.ru/catalog/199332803/detail.aspx;0989;0;44973534;44973542;TheCartridge;доп. название ТК: 44973542;Картридж 44973534 для OKI C301dn, C321dn, MC332 пурпурный
модель: поле «Модель» ≠ TheCartridge;207539789;https://www.wildberries.ru/catalog/207539789/detail.aspx;17193;0;M2640idw DS;TK-1170;TheCartridge;доп. название ТК: ;Картридж DS EcoSys M2640idw с чипом
модель: поле «Модель» ≠ TheCartridge;207589492;https://www.wildberries.ru/catalog/207589492/detail.aspx;17191;0;M2040dn DS;TK-1170;TheCartridge;доп. название ТК: ;Картридж DS EcoSys M2040dn с чипом
модель: поле «Модель» ≠ TheCartridge;207590988;https://www.wildberries.ru/catalog/207590988/detail.aspx;17192;0;M2540dn DS;TK-1170;TheCartridge;доп. название ТК: ;Картридж DS EcoSys M2540dn с чипом
модель: поле «Модель» ≠ TheCartridge;209664661;https://www.wildberries.ru/catalog/209664661/detail.aspx;2853;0;T5633;T6033;TheCartridge;доп. название ТК: C13T603300;Картридж T5633 для Epson Stylus Pro 7800 пурпурный
модель: поле «Модель» ≠ TheCartridge;209664670;https://www.wildberries.ru/catalog/209664670/detail.aspx;2858;0;T5639;T6039;TheCartridge;доп. название ТК: C13T603900;Картридж T5639 для Epson Stylus Pro 7800 светло-серый
модель: поле «Модель» ≠ TheCartridge;216429114;https://www.wildberries.ru/catalog/216429114/detail.aspx;00181;0;Canon DS E16;E30;TheCartridge;доп. название ТК: 1491A003;Картридж DS E16 (1492A003)
модель: поле «Модель» ≠ TheCartridge;238899334;https://www.wildberries.ru/catalog/238899334/detail.aspx;0022;0;0022;Q2613X;TheCartridge;доп. название ТК: 13X;Картридж DS Q2613X для HP 4000 страниц
модель: поле «Модель» ≠ TheCartridge;439266130;https://www.wildberries.ru/catalog/439266130/detail.aspx;6254;0;222A;006R04403;TheCartridge;доп. название ТК: ;Картридж 222A для HP LJ Pro 3203, LJ Pro 3303 пурпурный
модель: поле «Модель» ≠ TheCartridge;1003254583;https://www.wildberries.ru/catalog/1003254583/detail.aspx;32571;0;Картридж M6602NW;PC-211RB;TheCartridge;доп. название ТК: ;Заправочный комплект для M6602NW
модель: поле «Модель» ≠ TheCartridge;1003254683;https://www.wildberries.ru/catalog/1003254683/detail.aspx;32572;0;Картридж M6552NW;PC-211RB;TheCartridge;доп. название ТК: ;Заправочный комплект для M6552NW
модель: поле «Модель» ≠ TheCartridge;1003254720;https://www.wildberries.ru/catalog/1003254720/detail.aspx;32573;0;Картридж P2502W;PC-211RB;TheCartridge;доп. название ТК: ;Заправочный комплект для P2502W
модель: поле «Модель» ≠ TheCartridge;1003608354;https://www.wildberries.ru/catalog/1003608354/detail.aspx;53121;0;Картридж M6230;MK-3140;TheCartridge;доп. название ТК: 1702P60UN0;Сервисный комплект для Kyocera EcoSys M6230
модель: поле «Модель» ≠ TheCartridge;1003608399;https://www.wildberries.ru/catalog/1003608399/detail.aspx;53122;0;Картридж M6630;MK-3140;TheCartridge;доп. название ТК: 1702P60UN0;Сервисный комплект для Kyocera EcoSys M6630
модель: поле «Модель» ≠ TheCartridge;1003611151;https://www.wildberries.ru/catalog/1003611151/detail.aspx;53141;0;Картридж M5000;PX-110;TheCartridge;доп. название ТК: ;Заправочный комплект для M5000
модель: поле «Модель» ≠ TheCartridge;1003627388;https://www.wildberries.ru/catalog/1003627388/detail.aspx;56001;0;Картридж M2635dw;DV-1150;TheCartridge;доп. название ТК: ;Блок проявки для Kyocera ECOSYS M2635dw
модель: поле «Модель» ≠ TheCartridge;1003629533;https://www.wildberries.ru/catalog/1003629533/detail.aspx;56671;0;Картридж Pixma Pro9000;CLI-8;TheCartridge;доп. название ТК: ;Заправочный комплект для Canon Pixma Pro9000
модель: поле «Модель» ≠ TheCartridge;1003630110;https://www.wildberries.ru/catalog/1003630110/detail.aspx;56752;0;Картридж PhotoSmart D5100ser;HP-129/ 130;TheCartridge;доп. название ТК: ;Заправочный комплект для HP PhotoSmart D5100ser
модель: поле «Модель» ≠ TheCartridge;1003630131;https://www.wildberries.ru/catalog/1003630131/detail.aspx;56851;0;Картридж Advantage Ultra 4729;HP-46 Bk;TheCartridge;доп. название ТК: CZ637AE;Заправочный комплект для HP DeskJet Ink Advantage Ultra 4729
модель: поле «Модель» ≠ TheCartridge;1003630132;https://www.wildberries.ru/catalog/1003630132/detail.aspx;56751;0;Картридж PhotoSmart C4100;HP-129/ 130;TheCartridge;доп. название ТК: ;Заправочный комплект для HP PhotoSmart C4100
модель: поле «Модель» ≠ TheCartridge;1003658121;https://www.wildberries.ru/catalog/1003658121/detail.aspx;56694;0;Картридж MG2900;PG-37/ PG-40/ PG-50(Bk);TheCartridge;доп. название ТК: ;Заправочный комплект для Canon PIXMA MG2900
модель: поле «Модель» ≠ TheCartridge;1003706343;https://www.wildberries.ru/catalog/1003706343/detail.aspx;64381;0;Картридж TASKalfa 3552;DV-8550;TheCartridge;доп. название ТК: ;Блок проявки для Kyocera TASKalfa 3552
модель: поле «Модель» ≠ TheCartridge;1003706365;https://www.wildberries.ru/catalog/1003706365/detail.aspx;64391;0;Картридж TASKalfa 4003;TR-6500;TheCartridge;доп. название ТК: 302NK93034;Блок проявки для Kyocera TASKalfa 4003
модель: поле «Модель» ≠ TheCartridge;1003706381;https://www.wildberries.ru/catalog/1003706381/detail.aspx;64392;0;Картридж TASKalfa 5003;TR-6500;TheCartridge;доп. название ТК: 302NK93034;Блок проявки для Kyocera TASKalfa 5003
модель: поле «Модель» ≠ TheCartridge;1003716815;https://www.wildberries.ru/catalog/1003716815/detail.aspx;67325;0;Картридж DeskJet 3638;123;TheCartridge;доп. название ТК: F6V17AE;Заправочный комплект для HP DeskJet 3638
принтеры: ни один не совпал с TheCartridge;209727661;https://www.wildberries.ru/catalog/209727661/detail.aspx;2955;1;"Xerox WorkCentre WC-7132; Xerox WorkCentre WC-WC-7232; Xerox WorkCentre WC-WC-7242";"Xerox WorkCentre 7132; Xerox WorkCentre 7232; Xerox WorkCentre 7242";TheCartridge;;Картридж 006R01271 для Xerox WC-7132, WC-7232 желтый
принтеры: ни один не совпал с TheCartridge;209727662;https://www.wildberries.ru/catalog/209727662/detail.aspx;2956;0;"Xerox WorkCentre WC-7132; Xerox WorkCentre WC-WC-7232; Xerox WorkCentre WC-WC-7242";"Xerox WorkCentre 7132; Xerox WorkCentre 7232; Xerox WorkCentre 7242";TheCartridge;;Картридж 006R01272M для Xerox WC-7132, WC-7232 пурпурный
принтеры: ни один не совпал с TheCartridge;262078936;https://www.wildberries.ru/catalog/262078936/detail.aspx;5471;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";Canon BJC-8200;TheCartridge;;Картридж BCI-5EC для Canon BJ-F300, BJ-F600, BJ F360 голубой
принтеры: ни один не совпал с TheCartridge;262191961;https://www.wildberries.ru/catalog/262191961/detail.aspx;5475;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";Canon BJC-8200;TheCartridge;;Картридж BCI-5EY для Canon BJ-F300, BJ-F600, BJC-6500 желтый
принтеры: ни один не совпал с TheCartridge;262191971;https://www.wildberries.ru/catalog/262191971/detail.aspx;5473;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";Canon BJC-8200;TheCartridge;;Картридж BCI-5EM для Canon BJ-F300, BJ-F600 пурпурный
принтеры: ни один не совпал с TheCartridge;272510237;https://www.wildberries.ru/catalog/272510237/detail.aspx;5476;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";"Canon BJ-F850; Canon BJ-F860; Canon BJ-F870; Canon BJ-F870PD";TheCartridge;;Картридж BCI-6EY для Canon BJ-F300, BJ-F600 желтый
принтеры: ни один не совпал с TheCartridge;439266130;https://www.wildberries.ru/catalog/439266130/detail.aspx;6254;0;"HP Color LaserJet Pro 3203; HP Color LaserJet Pro 3303";"Xerox B225; Xerox B230; Xerox B235";TheCartridge;;Картридж 222A для HP LJ Pro 3203, LJ Pro 3303 пурпурный
принтеры: ни один не совпал с TheCartridge;459440092;https://www.wildberries.ru/catalog/459440092/detail.aspx;5474;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";"Canon BJ-F850; Canon BJ-F860; Canon BJ-F870; Canon BJ-F870PD";TheCartridge;;Картридж BCI-6EM для Canon BJ-F300, BJ-F600 пурпурный
принтеры: ни один не совпал с TheCartridge;850431488;https://www.wildberries.ru/catalog/850431488/detail.aspx;6820;0;"Lexmark MS331; Lexmark MS431; Lexmark MX331; Lexmark MX431";"F+ Imaging M40adn; F+ Imaging P40dn";TheCartridge;;Фотобарабан 40IU40R для Lexmark MS331, MS431, MX331 черный
принтеры: ни один не совпал с TheCartridge;850432413;https://www.wildberries.ru/catalog/850432413/detail.aspx;6813;0;"HP Color LaserJet M454dn; HP Color LaserJet M454dw; HP Color LaserJet M455dn; HP Color LaserJet MFP M480f";"Canon i-SENSYS LBP-662; Canon i-SENSYS LBP-663; Canon i-SENSYS LBP-663cdw; Canon i-SENSYS LBP-664";TheCartridge;;Картриджи 055H для HP MF 745, i-SENSYS MF746, MF746Cx
принтеры: ни один не совпал с TheCartridge;850432579;https://www.wildberries.ru/catalog/850432579/detail.aspx;6812;0;"HP Color LaserJet M454dn; HP Color LaserJet M454dw; HP Color LaserJet M455dn; HP Color LaserJet MFP M480f";"Canon i-SENSYS LBP-662; Canon i-SENSYS LBP-663; Canon i-SENSYS LBP-663cdw; Canon i-SENSYS LBP-664";TheCartridge;;Картридж 055H Y для HP i-SENSYSLBP-664, MF 745 желтый
принтеры: ни один не совпал с TheCartridge;850432690;https://www.wildberries.ru/catalog/850432690/detail.aspx;6811;0;"HP Color LaserJet M454dn; HP Color LaserJet M454dw; HP Color LaserJet M455dn; HP Color LaserJet MFP M480f";"Canon i-SENSYS LBP-662; Canon i-SENSYS LBP-663; Canon i-SENSYS LBP-663cdw; Canon i-SENSYS LBP-664";TheCartridge;;Картридж 055H M для HP i-SENSYSLBP-664, LBP-664 пурпурный
принтеры: ни один не совпал с TheCartridge;850433071;https://www.wildberries.ru/catalog/850433071/detail.aspx;6809;0;"HP Color LaserJet M454dn; HP Color LaserJet M454dw; HP Color LaserJet M455dn; HP Color LaserJet MFP M480f";"Canon i-SENSYS LBP-662; Canon i-SENSYS LBP-663; Canon i-SENSYS LBP-663cdw; Canon i-SENSYS LBP-664";TheCartridge;;Картридж 055H BK для HP i-SENSYSLBP-664, M454dn черный
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);1002744537;https://www.wildberries.ru/catalog/1002744537/detail.aspx;16666;2;Canon i-SENSYS MF267dw;"HP LaserJet Pro M203dn; HP LaserJet Pro M203dw; HP LaserJet Pro M227fdw; HP LaserJet Pro M227fwd";TheCartridge;;Картридж для Canon i-SENSYS MF267dw
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209713973;https://www.wildberries.ru/catalog/209713973/detail.aspx;04693;1;Epson AcuLaser CX17;"Epson AcuLaser 1700; Epson AcuLaser 1750; Epson AcuLaser X17";TheCartridge;;Картридж для Epson AcuLaser CX17
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209761065;https://www.wildberries.ru/catalog/209761065/detail.aspx;31692;1;Xerox VersaLink B605;"Xerox VersaLink 605; Xerox VersaLink 610; Xerox VersaLink 615; Xerox VersaLink B600";TheCartridge;;Картридж для Xerox VersaLink B605
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);216403628;https://www.wildberries.ru/catalog/216403628/detail.aspx;53702;1;Konica Minolta Bizhub 226;"Konica Minolta Bizhub 164; Konica Minolta Bizhub 165; Konica Minolta Bizhub 185";TheCartridge;;Картридж для Konica Minolta Bizhub 226
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);1002744609;https://www.wildberries.ru/catalog/1002744609/detail.aspx;16668;1;Canon i-SENSYS MF264dw;"HP LaserJet Pro M203dn; HP LaserJet Pro M203dw; HP LaserJet Pro M227fdw; HP LaserJet Pro M227fwd";TheCartridge;;Картридж для Canon i-SENSYS MF264dw
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199565548;https://www.wildberries.ru/catalog/199565548/detail.aspx;08771;0;HP LJ M625;"HP LJ M604dn; HP LJ M604n; HP LJ M605dn; HP LJ M605n";TheCartridge;;Картридж для HP LJ M625
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199565928;https://www.wildberries.ru/catalog/199565928/detail.aspx;003312;0;Samsung SCX-4016;"Samsung ML-1510; Samsung ML-1520; Samsung ML-1710; Samsung ML-1740";TheCartridge;;Картридж для Samsung SCX-4016
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199566116;https://www.wildberries.ru/catalog/199566116/detail.aspx;003313;0;Samsung SCX-4116;"Samsung ML-1510; Samsung ML-1520; Samsung ML-1710; Samsung ML-1740";TheCartridge;;Картридж для Samsung SCX-4116
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199566414;https://www.wildberries.ru/catalog/199566414/detail.aspx;003316;0;Samsung SF-750;"Samsung ML-1510; Samsung ML-1520; Samsung ML-1710; Samsung ML-1740";TheCartridge;;Картридж для Samsung SF-750
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199566417;https://www.wildberries.ru/catalog/199566417/detail.aspx;003314;0;Samsung SF-560;"Samsung ML-1510; Samsung ML-1520; Samsung ML-1710; Samsung ML-1740";TheCartridge;;Картридж для Samsung SF-560
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199569578;https://www.wildberries.ru/catalog/199569578/detail.aspx;00316;0;Canon 709;"HP LaserJet 5200; HP LaserJet 5200DTN; HP LaserJet 5200L; HP LaserJet 5200N";TheCartridge;;Картридж для Canon 709
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199570587;https://www.wildberries.ru/catalog/199570587/detail.aspx;05257;0;Panasonic KX-B753RU;"Panasonic KX-FL501; Panasonic KX-FL502; Panasonic KX-FL503RU; Panasonic KX-FL521";TheCartridge;;Картридж для Panasonic KX-B753RU
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199570611;https://www.wildberries.ru/catalog/199570611/detail.aspx;05259;0;Panasonic KX-B758RU;"Panasonic KX-FL501; Panasonic KX-FL502; Panasonic KX-FL503RU; Panasonic KX-FL521";TheCartridge;;Картридж для Panasonic KX-B758RU
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199571729;https://www.wildberries.ru/catalog/199571729/detail.aspx;07126;0;Sharp M160;"Sharp AR-160; Sharp AR-162; Sharp AR-163; Sharp AR-164";TheCartridge;;Картридж для Sharp M160
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199571744;https://www.wildberries.ru/catalog/199571744/detail.aspx;07128;0;Sharp M205;"Sharp AR-160; Sharp AR-162; Sharp AR-163; Sharp AR-164";TheCartridge;;Картридж для Sharp M205
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199571909;https://www.wildberries.ru/catalog/199571909/detail.aspx;08302;0;Canon ImageRunner 25;"Canon iR-2520; Canon iR-2525; Canon iR-2530";TheCartridge;;Картридж для Canon ImageRunner 2525
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199571930;https://www.wildberries.ru/catalog/199571930/detail.aspx;08282;0;Canon FAX-L390;"Canon PC-D300; Canon PC-D320; Canon PC-D323; Canon PC-D340";TheCartridge;;Картридж для Canon FAX-L390
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199571966;https://www.wildberries.ru/catalog/199571966/detail.aspx;08303;0;Canon ImageRunner 2530;"Canon iR-2520; Canon iR-2525; Canon iR-2530";TheCartridge;;Картридж для Canon ImageRunner 2530
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199572229;https://www.wildberries.ru/catalog/199572229/detail.aspx;10498;0;Samsung SL-C1860;"Samsung CLP-410; Samsung CLP-415N; Samsung CLP-415NW; Samsung CLX-4170";TheCartridge;;Картридж для Samsung SL-C1860
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199572248;https://www.wildberries.ru/catalog/199572248/detail.aspx;10497;0;Samsung SL-C1810;"Samsung CLP-410; Samsung CLP-415N; Samsung CLP-415NW; Samsung CLX-4170";TheCartridge;;Картридж для Samsung SL-C1810
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199572338;https://www.wildberries.ru/catalog/199572338/detail.aspx;114934;0;Xerox BookMark 50;"Xerox BookMark 40; Xerox BookMark 55; Xerox CopyCentre 232; Xerox CopyCentre 238";TheCartridge;;Картридж для Xerox BookMark 50
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199572518;https://www.wildberries.ru/catalog/199572518/detail.aspx;12886;0;Canon iR-2520;"Canon ImageRunner 2786; Canon iR-2535; Canon iR-2535i; Canon iR-2545";TheCartridge;;Картридж для Canon iR-2520
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199572830;https://www.wildberries.ru/catalog/199572830/detail.aspx;19744;0;Canon CLC-2620;"Canon iR-C2620; Canon iR-C2620 C3200N; Canon iR-C2620 CLC-3200; Canon iR-C2620 CLC-3220";TheCartridge;;Картридж для Canon CLC-2620
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199573564;https://www.wildberries.ru/catalog/199573564/detail.aspx;25201;0;Konica Minolta Bizhub C350;"Konica Minolta Bizhub 350; Konica Minolta BizHub 351; Konica Minolta BizHub 450; Konica Minolta BizHub 450P";TheCartridge;;Картридж для Konica Minolta Bizhub C350
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199574819;https://www.wildberries.ru/catalog/199574819/detail.aspx;53704;0;Konica Minolta Bizhub 235;"Konica Minolta Bizhub 164; Konica Minolta Bizhub 165; Konica Minolta Bizhub 185";TheCartridge;;Картридж для Konica Minolta Bizhub 235
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);199574821;https://www.wildberries.ru/catalog/199574821/detail.aspx;53706;0;Konica Minolta Bizhub 7721;"Konica Minolta Bizhub 164; Konica Minolta Bizhub 165; Konica Minolta Bizhub 185";TheCartridge;;Картридж для Konica Minolta Bizhub 7721
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200165248;https://www.wildberries.ru/catalog/200165248/detail.aspx;030515;0;HP Deskjet 722c;"HP Color Copier 110; HP Color Copier 120; HP Color Copier 140; HP Color Copier 145";TheCartridge;;Картридж для HP Deskjet 722c
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200165321;https://www.wildberries.ru/catalog/200165321/detail.aspx;030522;0;HP Deskjet 895cxi;"HP Color Copier 110; HP Color Copier 120; HP Color Copier 140; HP Color Copier 145";TheCartridge;;Картридж для HP Deskjet 895cxi
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200165361;https://www.wildberries.ru/catalog/200165361/detail.aspx;03071;0;HP PhotoSmart C4183;"HP DeskJet 5943; HP DeskJet 6943; HP DeskJet 6983; HP DeskJet D4163";TheCartridge;;Картридж для HP PhotoSmart C4183
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200165846;https://www.wildberries.ru/catalog/200165846/detail.aspx;34431;0;HP Color Laser 150;"HP Color Laser 150a; HP Color Laser 150nw; HP Color Laser 178nw; HP Color Laser 179fnw";TheCartridge;;Картридж для HP Color Laser 150
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200166854;https://www.wildberries.ru/catalog/200166854/detail.aspx;09632;0;HP Designjet T620;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP Designjet T620
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200167111;https://www.wildberries.ru/catalog/200167111/detail.aspx;09631;0;HP Designjet T610;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP Designjet T610
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200167114;https://www.wildberries.ru/catalog/200167114/detail.aspx;09635;0;HP Designjet T1100;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP Designjet T1100
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200167122;https://www.wildberries.ru/catalog/200167122/detail.aspx;09637;0;HP Designjet T1300;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP Designjet T1300
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200167123;https://www.wildberries.ru/catalog/200167123/detail.aspx;09639;0;HP DesignJet T1120;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP DesignJet T1120
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200167124;https://www.wildberries.ru/catalog/200167124/detail.aspx;09633;0;HP Designjet T770;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP Designjet T770
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200167146;https://www.wildberries.ru/catalog/200167146/detail.aspx;09634;0;HP Designjet T790;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP Designjet T790
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);200167172;https://www.wildberries.ru/catalog/200167172/detail.aspx;09638;0;HP DesignJet T2300;"HP DesignJet T120; HP DesignJet T1708; HP DesignJet T520";TheCartridge;;Картридж для HP DesignJet T2300
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209665810;https://www.wildberries.ru/catalog/209665810/detail.aspx;04301;0;HP PCS 500;"HP DeskJet 3810; HP DeskJet 3816; HP DeskJet 3820; HP DeskJet 3822";TheCartridge;;Картридж для HP PCS 500
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209714425;https://www.wildberries.ru/catalog/209714425/detail.aspx;26457;0;Ricoh Aficio SP C320;"Ricoh Aficio 232; Ricoh Aficio 242; Ricoh Aficio 310; Ricoh Aficio 311";TheCartridge;;Картридж для Ricoh Aficio SP C320
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209755345;https://www.wildberries.ru/catalog/209755345/detail.aspx;13054;0;Lexmark Optra E342N;"Lexmark 330; Lexmark 332TN; Lexmark E230; Lexmark Optra 232";TheCartridge;;Картридж для Lexmark Optra E342N
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209757648;https://www.wildberries.ru/catalog/209757648/detail.aspx;20341;0;Konica Minolta Bizhub C451;"Konica Minolta Bizhub 451; Konica Minolta Bizhub C550; Konica Minolta Bizhub C650";TheCartridge;;Картридж для Konica Minolta Bizhub C451
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209761070;https://www.wildberries.ru/catalog/209761070/detail.aspx;31693;0;Xerox VersaLink B610;"Xerox VersaLink 605; Xerox VersaLink 610; Xerox VersaLink 615; Xerox VersaLink B600";TheCartridge;;Картридж для Xerox VersaLink B610
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209761087;https://www.wildberries.ru/catalog/209761087/detail.aspx;31694;0;Xerox VersaLink B615;"Xerox VersaLink 605; Xerox VersaLink 610; Xerox VersaLink 615; Xerox VersaLink B600";TheCartridge;;Картридж для Xerox VersaLink B615
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209762660;https://www.wildberries.ru/catalog/209762660/detail.aspx;39652;0;OKI Data C824;"OKI Data C823; OKI Data C833; OKI Data C843";TheCartridge;;Картридж для OKI Data C824
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);209779269;https://www.wildberries.ru/catalog/209779269/detail.aspx;43665;0;HP DJ Ink Advantage Ultra 4729;"HP DJ Ink Advantage 2020hc; HP DJ Ink Advantage 2520hc; HP DJ Ink Advantage Ultra 2029; HP DJ Ink Advantage Ultra 2529";TheCartridge;;Картридж для HP DJ Ink Advantage Ultra 4729
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);215243622;https://www.wildberries.ru/catalog/215243622/detail.aspx;325211;0;Citizen MSP 15;"Epson FX-100; Epson FX-1000; Epson FX-105; Epson FX-1050";TheCartridge;;Картридж для Citizen MSP 15
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);215243641;https://www.wildberries.ru/catalog/215243641/detail.aspx;325213;0;Epson MSP 25;"Epson FX-100; Epson FX-1000; Epson FX-105; Epson FX-1050";TheCartridge;;Картридж для Epson MSP 25
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);215243650;https://www.wildberries.ru/catalog/215243650/detail.aspx;325215;0;Epson MSP 55;"Epson FX-100; Epson FX-1000; Epson FX-105; Epson FX-1050";TheCartridge;;Картридж для Epson MSP 55
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);215243674;https://www.wildberries.ru/catalog/215243674/detail.aspx;325218;0;Epson 6000;"Epson FX-100; Epson FX-1000; Epson FX-105; Epson FX-1050";TheCartridge;;Картридж для Epson 6000
принтеры: ни один не совпал с TheCartridge (карточка по принтеру);215243680;https://www.wildberries.ru/catalog/215243680/detail.aspx;325217;0;Epson 8635-10;"Epson FX-100; Epson FX-1000; Epson FX-105; Epson FX-1050";TheCartridge;;Картридж для Epson 8635-10
