запрос;nm_id;название;наша_цена;медиана_топ10;множитель;наших_отзывов;отзывов_медиана_соседей;позиция
картридж на hp laser mfp 135r;967516852;Картридж для HP Laser 107R;2428;2119;1.15;1;2;66
картриджи для принтера brother dcp j125;257807158;Картридж LC985BK для Brother DCP-J125, DCP-J140W черный;510;447;1.14;4;0;6
dymo принтер;267893152;Лента S0720580 для Dymo 3500, LM 100+, LM 150, LP 350 черный;3369;2988;1.13;1;2;74
картридж для принтера brother dcp-l2500dr;200166019;Картридж для Brother DCP-L2520DWR;1907;1688;1.13;5;29;15
картридж hp laser mfp 135wr;894771883;Картридж W1106A (XL) для HP Laser 107A, Laser 107R черный;2474;2186;1.13;49;0;48
картридж для принтера hp модель laser jet 236sdm;199565568;Картридж для HP LaserJet Pro M132a;1733;1532;1.13;14;6;16
картридж для принтера hp модель laser jet 236sdm;199565557;Картридж для HP LaserJet Pro M104a;1733;1532;1.13;13;6;82
картридж hp laserjet cp5225;199332692;Картридж CE743A для HP LJ CP5225N, LJ CP5225N пурпурный;8213;7328;1.12;0;0;69
картридж для принтера kyocera fs-1020 mfp;199566514;Картридж для Kyocera FS-1020MFP;1547;1378;1.12;16;32;23
картридж для принтера kyocera fs-1020 mfp;199566490;Картридж для Kyocera FS-1120MFP;1547;1378;1.12;6;32;44
картридж для принтера kyocera fs-1020 mfp;199566489;Картридж для Kyocera FS-1040;1547;1378;1.12;14;32;62
картридж hp laser mfp 135wr;967516933;Картридж для HP Laser 135A MFP;2428;2186;1.11;0;0;1
картридж hp laser mfp 135wr;964953034;Картридж для HP Laser 135R MFP;2428;2186;1.11;0;0;7
картридж hp laser mfp 135wr;964953201;Картридж для HP Laser 135WR MFP;2428;2186;1.11;2;0;8
картридж hp laser mfp 135wr;967517066;Картридж для HP Laser 137FNW MFP;2428;2186;1.11;0;0;11
картридж hp laser mfp 135wr;967516852;Картридж для HP Laser 107R;2428;2186;1.11;1;0;42
картридж hp laser mfp 135wr;964952670;Картридж для HP Laser 107W;2428;2186;1.11;0;0;46
картридж принтера  ml-2955dw;200166915;Картридж для Samsung ML-2950ND;1888;1700;1.11;0;0;23
картридж принтера  ml-2955dw;200166911;Картридж для Samsung SCX-4728FD;1888;1700;1.11;6;0;41
картридж для принтера 1000;566137388;Картридж для HP Neverstop Laser 1000w;1009;910;1.11;1;424;41
hp laserjet pro 4003dw;256203033;Картридж W1510X для HP LJ Pro 4003 dn, LJ Pro 4003dw черный;2338;2122;1.1;4;0;54
hp 151a;967509062;Картридж для HP LaserJet Pro 4103fdn;1750;1611;1.09;0;28;95
hp 151a;967508982;Картридж для HP LaserJet Pro 4003dn;1750;1611;1.09;0;28;96
картридж принтера  ml-2955dw;200166879;Картридж для Samsung SCX-4727;1855;1700;1.09;6;0;54
картридж для принтера brother dcp-l2500dr;200166011;Картридж для Brother HL-L2340DWR;1816;1688;1.08;10;29;94
картридж для принтера hp laser mfp 135w;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;1849;1.08;49;2;27
картридж hp laser mfp 135w;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;1860;1.08;49;4;32
картридж для hp laser mfp 135w;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;1860;1.08;49;4;32
картридж для принтера hp laser mfp 135a;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;1849;1.08;49;2;27
картриджи на принтер hp laser mfp 135 w;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;1849;1.08;49;2;27
картридж hp laserjet cp5225;199332700;Картридж CE742A для HP LJ CP5225DN, LJ CP5225DN желтый;7852;7328;1.07;0;0;67
ecosys ma2100cwfx картриджи;850448985;Картридж TK-5430K для Kyocera MA2100cwfx, MA2100cwfx черный;1542;1441;1.07;0;0;36
картридж для принтера brother dcp-l2500dr;200165976;Картридж для Brother DCP-L2500DR;1795;1688;1.06;29;29;64
ecosys ma2100cwfx картриджи;1003706836;Картридж для Kyocera ECOSYS MA2100cwx;1516;1441;1.05;0;0;26
brother принтер картридж 3540;967509270;Картридж для Brother MFC-J3540DW;3102;2985;1.04;0;3;6
brother принтер картридж 3540;967509376;Картридж для Brother MFC-J2340DW;3102;2985;1.04;0;3;16
brother принтер картридж 3540;967509586;Картридж для Brother MFC-J3940DW;3102;2985;1.04;0;3;18
катридж 178;181105081;Картридж 178XL для HP PhotoSmart C5383 желтый;951;916;1.04;64;22;65
картридж  hp q 6000a;199330623;Картридж Q6000A для HP LJ 1600, LJ 1600, LJ 1600 черный;3567;3459;1.03;7;1;10
картридж hp laserjet cp5225;199571922;Картридж для HP LaserJet CP5225;7507;7328;1.02;0;0;91
brother принтер картридж 3540;267444471;Картридж LC-472XL BK для Brother MFC-J2340DW черный;3057;2985;1.02;18;3;7
картридж hp45;216356949;Картридж для HP OfficeJet V45;5886;5761;1.02;0;2;25
картридж на hp laser mfp 135r;199331641;Картридж W1106A для HP Laser 107A, Laser 107R черный;2154;2119;1.02;5;2;90
картридж mf443dw;199574175;Картридж для Canon i-SENSYS MF443dw;2489;2458;1.01;3;3;2
картридж для принтера brother dcp-l2500dr;200166028;Картридж для Brother DCP-L2560DWR;1689;1688;1.0;2;29;7
картридж для принтера brother dcp-l2500dr;200166009;Картридж для Brother HL-L2300DR;1668;1688;0.99;9;29;26
картридж для принтера brother dcp-l2500dr;200166032;Картридж для Brother DCP-L2540DNR;1668;1688;0.99;4;29;29
картридж hp laserjet cp5225;199332749;Картридж CE741A для HP LJ CP5225, LJ CP5225 голубой;7248;7328;0.99;0;0;31
картридж hp laser mfp 135wr;964953068;Картридж для HP Laser 135A;2175;2186;0.99;0;0;5
картридж hp laser mfp 135wr;199331641;Картридж W1106A для HP Laser 107A, Laser 107R черный;2154;2186;0.99;5;0;21
картридж принтера  ml-2955dw;181105070;Картридж MLT-D103L для Samsung ML-2545, ML-2950 черный;1686;1700;0.99;3;0;9
mf752cdw;216361966;Картридж для Canon i-SENSYS MF752Cdw;2256;2300;0.98;0;0;22
картридж hp laserjet cp5225;199332746;Картридж CE740A для HP LJ CP5220, LJ CP5220 черный;7161;7328;0.98;0;0;40
картридж hp laserjet cp5225;199571917;Картридж для HP LaserJet CP5225DN;7161;7328;0.98;0;0;98
картридж для цветного принтера epson;264243757;Картридж T2670 для Epson WF-100W цветной;1736;1778;0.98;2;8;77
картридж hp 57;850503828;Заправочный комплект HP-22 28 57 для HP DeskJet 3300;1794;1828;0.98;0;2;82
brother принтер картридж 3540;267444424;Картридж LC-472XL Y для Brother MFC-J2340DW желтый;2836;2985;0.95;18;3;1
картридж на hp laser mfp 135r;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;2119;0.95;49;2;25
картридж для принтера canon 445 и 446;199574159;Картридж для Canon i-SENSYS MF446x;3556;3838;0.93;0;700;64
картридж для принтера hp 46;967515977;Заправочный комплект HP-46 C M Y для HP DeskJet 2029;1730;1868;0.93;0;50;70
чернила для струйного принтера hp;263821899;Чернила GT52 для HP InkTank 415, InkTank 419 желтый;503;544;0.92;13;26;96
картридж hp laser mfp 135wr;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;2186;0.92;49;0;12
картридж hp45;216425261;Картридж для HP OfficeJet R45;5304;5761;0.92;3;2;5
картридж hp45;326847212;Картридж 45 для HP Copier 110, Copier 120 черный;5304;5761;0.92;1;2;7
картридж hp45;200165229;Картридж для HP OfficeJet T45;5304;5761;0.92;0;2;36
картридж hp45;200165312;Картридж для HP PhotoSmart 1000;5304;5761;0.92;0;2;88
картридж для принтера hp 46;850503785;Заправочный комплект HP-46 Bk для HP DeskJet 2029 черный;1705;1868;0.91;0;50;92
epson 103 (c13t00s14a);263821977;Чернила №103BK для Epson L 3101, L 3110, L 3101 черный;488;538;0.91;1;139;17
hp laserjet pro 4003dw;850433291;Картридж W1510A для HP LJ Pro 4003 dn, LJ Pro 4003dw черный;1925;2122;0.91;3;0;56
картридж для принтера самсунг м2020;200167236;Картридж для Samsung Xpress M2020;1762;1961;0.9;48;40;4
картридж на hp laser mfp 135r;967527067;Картридж W1105A для HP Laser 107A, Laser 107R черный;1898;2119;0.9;0;2;49
картридж hp laserjet cp5225;199571931;Картридж для HP LaserJet CP5225N;6557;7328;0.89;1;0;84
ricoh sp 150;1283846227;Тонер SP150HE для Ricoh SP150, SP150SU, SP150SUw черный;1478;1670;0.89;0;5;52
картридж на hp laser mfp 135r;964953068;Картридж для HP Laser 135A;1891;2119;0.89;0;2;4
катридж 178;181095496;Картридж 178XL для HP PhotoSmart B109c голубой;812;916;0.89;64;22;39
краска для принтера epson l456;964425718;Чернила для Epson L3060;561;642;0.87;0;725;92
картридж для принтера brother dcp-l2500dr;215239468;Картридж для Brother MFC-L2700DNR;1452;1688;0.86;6;29;91
картридж для цветного принтера epson;209713082;Картридж T0520 для Epson Stylus 640, Stylus 650 цветной;1528;1778;0.86;5;8;99
картридж ricoh sp150;1283846227;Тонер SP150HE для Ricoh SP150, SP150SU, SP150SUw черный;1478;1726;0.86;0;2;55
картриджи для принтера brother dcp j125;199330899;Картридж LC985M для Brother MFC-J220, MFC-J265W пурпурный;386;447;0.86;4;0;16
картридж для принтера brother;964281095;Картридж для Brother DCP-375CW;631;745;0.85;0;4;100
картридж на hp laser mfp 135r;385836908;Картридж W1107XL для HP Laser 107A, Laser 107R черный;1792;2119;0.85;5;2;68
катридж 178;181095434;Картридж 178XL для HP DeskJet 3070A, DESKJET 3522 E черный;775;916;0.85;64;22;55
комплект картриджей для canon;192228377;Картриджи PGI-2400XL для Canon MB5340, MB5340, MB5340;3244;3860;0.84;4;23;9
картридж для принтера kyocera fs-1020 mfp;181104916;Картридж TK-1110 для Kyocera FS-1020MFP, FS-1040 черный;1155;1378;0.84;25;32;11
катридж 178;181095495;Картридж 178XL для HP PhotoSmart FAX-CC335C фото-черный;762;916;0.83;64;22;60
катридж 178;192228464;Картридж 178XL для HP PhotoSmart C309c пурпурный;748;916;0.82;64;22;36
картридж на принтер ricoh sp150su;1283846227;Тонер SP150HE для Ricoh SP150, SP150SU, SP150SUw черный;1478;1905;0.78;0;2;30
epson 110 чернила;964424153;Чернила для Epson L110;567;736;0.77;0;11;54
чернила epson 110;964424153;Чернила для Epson L110;567;736;0.77;0;11;54
картридж на epson xp 33;264243254;Картридж T1704 для Epson XP-323, XP-33, XP-323 желтый;609;791;0.77;0;20;49
картридж на epson xp 33;264243248;Картридж T1703 для Epson XP-306, XP-313, XP-306 пурпурный;609;791;0.77;0;20;60
краска желтая для принтера hp;263821899;Чернила GT52 для HP InkTank 415, InkTank 419 желтый;503;684;0.74;13;8;7
картридж hp laser mfp 135wr;1283868363;Тонер W1106A для HP Laser 107A, Laser 107R черный;1548;2186;0.71;49;0;35
чернила водорастворимые epson 103 (c13t00s14a) матовый черный;263821977;Чернила №103BK для Epson L 3101, L 3110, L 3101 черный;543;770;0.71;1;148;12
картридж hp45;1002486614;Картридж для HP Color Copier 145;4059;5761;0.7;0;2;86
картридж hp45;964547791;Картридж для HP DesignJet 755;4031;5761;0.7;0;2;97
картридж для принтера canon 445 и 446;199574166;Картридж для Canon i-SENSYS MF449x;2560;3838;0.67;0;700;95
картридж для принтера canon 445 и 446;199574175;Картридж для Canon i-SENSYS MF443dw;2489;3838;0.65;3;700;49
картридж canon mg4240;914823172;Заправочный комплект PG-440 для Canon Pixma MG2140 черный;1648;2546;0.65;0;4;88
картридж на epson xp 33;199565762;Картридж для Epson Expression Home XP-313;506;791;0.64;6;20;3
картридж на epson xp 33;199565782;Картридж для Epson Expression Home XP-413;506;791;0.64;1;20;8
картридж на epson xp 33;199565754;Картридж для Epson Expression Home XP-323;506;791;0.64;6;20;24
перезаправляемые картриджи для epson stylus photo r240;967347283;Картридж для Epson Stylus Photo PX660+;735;1163;0.63;0;49;22
картридж ml-1520;1002674325;Картридж для Epson Stylus Color 1520H;1074;1726;0.62;0;5;45
dymo принтер;267893128;Лента S0720780 для Dymo LM 160, LM 210D, LM 280, LM 420P;1835;2988;0.61;1;2;21
картридж на epson xp 33;199565779;Картридж для Epson Expression Home XP-303;480;791;0.61;3;20;28
картридж на epson xp 33;199565741;Картридж для Epson Expression Home XP-33;480;791;0.61;0;20;30
картридж на epson xp 33;199565793;Картридж для Epson Expression Home XP-423;480;791;0.61;6;20;31
картридж на epson xp 33;199565761;Картридж для Epson Expression Home XP-103;480;791;0.61;7;20;33
картридж на epson xp 33;199565781;Картридж для Epson Expression Home XP-203;480;791;0.61;1;20;34
картридж на epson xp 33;199565773;Картридж для Epson Expression Home XP-207;480;791;0.61;1;20;36
картридж на epson xp 33;967350087;Картридж для Epson Expression Home XP-316;480;791;0.61;0;20;37
картридж на epson xp 33;199565739;Картридж для Epson Expression Home XP-403;480;791;0.61;0;20;39
картридж на epson xp 33;199565759;Картридж для Epson Expression Home XP-306;480;791;0.61;5;20;40
картридж на epson xp 33;199565790;Картридж для Epson Expression Home XP-406;480;791;0.61;1;20;41
картридж на epson xp 33;199330823;Картридж T1711 для Epson XP-203, XP-103, XP-207 черный;480;791;0.61;10;20;68
картридж на epson xp 33;263820530;Картридж T1714 для Epson XP-33, XP-403, XP-33, XP-33 желтый;483;791;0.61;10;20;70
картриджи pixma ip 100;948409587;Картридж CLI-36 для Canon Pixma iP100, Pixma iP110 цветной;798;1324;0.6;3;48;23
картридж на epson xp 33;263820523;Картридж T1713 для Epson XP-313, XP-323, XP-313 пурпурный;475;791;0.6;10;20;50
dymo принтер;267893187;Лента S0720680 для Dymo 3500, LM 100+, LM 150, LP 350 черный;1668;2988;0.56;1;2;89
перезаправляемые картриджи для epson stylus photo r240;964431688;Картридж для Epson Stylus Photo TX710 W;631;1163;0.54;1;49;81
картридж для принтера ricoh sp150;1283846227;Тонер SP150HE для Ricoh SP150, SP150SU, SP150SUw черный;910;1727;0.53;0;105;82
картридж на epson xp 33;263820535;Картридж T1712 для Epson XP-303, XP-306, XP-303 голубой;423;791;0.53;10;20;67
dymo принтер;400980172;Лента S0720570 для Dymo LM 160, LM 210D, LM 280, LM 420P;1550;2988;0.52;1;2;43
canon mf752cdw картридж;257945576;Картриджи 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;12005;23400;0.51;1;0;83
canon mf752cdw картридж;437228191;Картриджи 069 для Canon LBP673Cdw, MF752Cdw, MF754Cdw;11839;23400;0.51;0;0;86
dymo принтер;267893136;Лента S0720670 для Dymo LM 160, LM 210D, LM 280, LM 420P;1462;2988;0.49;1;2;31
dymo принтер;267893105;Лента S0720530 для Dymo LM 160, LM 210D, LM 280, LM 420P;1438;2988;0.48;1;2;82
картридж hp laser mfp 135wr;1284271625;Тонер W1106 для HP Laser 107A, Laser 107R черный;958;2186;0.44;0;0;49
перезаправляемые картриджи для epson stylus photo r240;199565762;Картридж для Epson Expression Home XP-313;511;1163;0.44;6;49;31
canon mf752cdw картридж;216453663;Картриджи 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;10150;23400;0.43;34;0;91
картридж 047;263820422;Картридж T0474 для Epson Stylus CX6300 желтый;368;942;0.39;4;5;100
картридж на принтер hp cp5225;192567558;Картриджи CE740A-CE743A для HP LJ CP5220, LJ CP5220;17701;49533;0.36;0;0;78
dymo принтер;267893041;Лента S0721530 для Dymo LT 100H прозрачный;1038;2988;0.35;8;2;81
dymo принтер;267893031;Лента S0721630 для Dymo LT 100H красный;936;2988;0.31;8;2;16
картридж canon 071;914275592;Картридж 071H для Canon LBP120, LBP122dw, MF270 черный;3460;13724;0.25;8;0;31
картридж canon 071;804817300;Картридж 071H для Canon LBP120, LBP122dw, MF270 черный;2539;13724;0.19;8;0;34
картридж canon 071;250288138;Картридж 071 для Canon LBP120, LBP122dw, MF270 черный;2440;13724;0.18;8;0;35
картридж canon 071;967514277;Картридж для Canon i-SENSYS MF272dw;2285;13724;0.17;0;0;39
картридж canon 071;914285386;Картридж 071 для Canon LBP122, LBP122dw, MF272, MF271 черный;2151;13724;0.16;8;0;46
картридж canon 071;967514176;Картридж для Canon i-SENSYS LBP-120;2031;13724;0.15;0;0;59
картридж canon 071;967514357;Картридж для Canon i-SENSYS MF275dw;1999;13724;0.15;0;0;60
картридж canon 071;967514218;Картридж для Canon i-SENSYS LBP-122dw;2031;13724;0.15;0;0;62
картридж на принтер hp cp5225;199571922;Картридж для HP LaserJet CP5225;7507;49533;0.15;0;0;63
картридж на принтер hp cp5225;199332749;Картридж CE741A для HP LJ CP5225, LJ CP5225 голубой;7248;49533;0.15;0;0;79
картридж для принтера hp 1005;216422239;Картридж для HP LaserJet 3055;1785;13022;0.14;2;0;78
картридж на принтер hp cp5225;199332746;Картридж CE740A для HP LJ CP5220, LJ CP5220 черный;7161;49533;0.14;0;0;90
картридж на принтер hp cp5225;199571917;Картридж для HP LaserJet CP5225DN;7161;49533;0.14;0;0;93
canon mf752cdw картридж;216361972;Картридж для Canon i-SENSYS MF754Cdw;3029;23400;0.13;1;0;84
canon mf752cdw картридж;257945544;Картридж 069H для Canon LBP673Cdw, MF752Cdw черный;3031;23400;0.13;1;0;89
картридж canon 071;967514152;Картридж для Canon I-Sensys MF270;1745;13724;0.13;0;0;47
картридждля лазер mfp 135 wr;257806535;Картридж W1106X для HP Laser 107R, Laser 107W черный;3303;25070;0.13;49;0;36
картридж на принтер hp cp5225;199571931;Картридж для HP LaserJet CP5225N;6557;49533;0.13;1;0;55
картридж для принтера hp 1005;216423557;Картридж для HP LaserJet 3050Z;1464;13022;0.11;0;0;81
картридждля лазер mfp 135 wr;964952647;Картридж для HP Laser 107A;2648;25070;0.11;2;0;37
canon 047;209712338;Картридж 047X для Canon LBP113, MF 113, MF112 черный;1826;18723;0.1;3;0;9
картридждля лазер mfp 135 wr;964953201;Картридж для HP Laser 135WR MFP;2428;25070;0.1;2;0;2
картридждля лазер mfp 135 wr;964953034;Картридж для HP Laser 135R MFP;2428;25070;0.1;0;0;3
картридждля лазер mfp 135 wr;964953109;Картридж для HP Laser 135W MFP;2522;25070;0.1;2;0;12
картридждля лазер mfp 135 wr;199335504;Картридж W1106XL для HP Laser 107A, Laser 107R черный;2617;25070;0.1;49;0;13
картридждля лазер mfp 135 wr;967516933;Картридж для HP Laser 135A MFP;2428;25070;0.1;0;0;14
картридждля лазер mfp 135 wr;967517066;Картридж для HP Laser 137FNW MFP;2428;25070;0.1;0;0;33
картридждля лазер mfp 135 wr;967516852;Картридж для HP Laser 107R;2428;25070;0.1;1;0;39
картридждля лазер mfp 135 wr;894771883;Картридж W1106A (XL) для HP Laser 107A, Laser 107R черный;2474;25070;0.1;49;0;40
canon 047;199565389;Картридж для Canon i-SENSYS MF112;1755;18723;0.09;2;0;8
canon mf752cdw картридж;257945545;Картридж 069H для Canon LBP673Cdw, MF752Cdw голубой;2221;23400;0.09;1;0;93
картридждля лазер mfp 135 wr;199331641;Картридж W1106A для HP Laser 107A, Laser 107R черный;2154;25070;0.09;5;0;34
картридждля лазер mfp 135 wr;964953068;Картридж для HP Laser 135A;1891;25070;0.08;0;0;16
картридждля лазер mfp 135 wr;199331545;Картридж W1106A для HP Laser 107A, Laser 107R черный;2005;25070;0.08;49;0;31
картридждля лазер mfp 135 wr;964952670;Картридж для HP Laser 107W;1860;25070;0.07;0;0;41
canon 047;199330892;Картридж 047 для Canon LBP110, LBP113, MF110, MF112 черный;1189;18723;0.06;3;0;10
картридждля лазер mfp 135 wr;1283868363;Тонер W1106A для HP Laser 107A, Laser 107R черный;943;25070;0.04;49;0;51
картридждля лазер mfp 135 wr;1284271625;Тонер W1106 для HP Laser 107A, Laser 107R черный;862;25070;0.03;0;0;52
