nm;vc;вердикт;карточка;SP_артикул;SP_название;код_мэтча;цвет_карточки;цвет_SP;лишние_коды_в_SP;короб_SP_см;объём_SP_л;дочерних
439269686;6235;неоднозначно: в названии SP несколько разных моделей;Фотобарабан IUP-19 для Konica Minolta Bizhub 3320 черный;361743;Фотобарабан IUP-18, IUP-19 для Konica Minolta (черный) OEM.ref;IUP19;['BK'];['BK'];['IUP18'];[35.5, 13.0, 27.0];12.46;1
964915769;1820;неоднозначно: в названии SP несколько разных моделей;Картридж 43487723 для OKI Data C8600, Data C8800 голубой;79271;Картридж Oki 43487723/ 43487711;43487723;['C'];[];['43487711'];[39.5, 12.0, 8.0];3.79;1
967497571;1821;неоднозначно: в названии SP несколько разных моделей;Картридж 43487722 для OKI Data C8600, Data C8800 пурпурный;79272;Картридж Oki 43487722/ 43487710;43487722;['M'];[];['43487710'];[39.5, 12.0, 8.0];3.79;1
257807851;1822;неоднозначно: в названии SP несколько разных моделей;Картридж 43487721 для OKI Data C8600, Data C8800 желтый;79273;Картридж Oki 43487721/ 43487709;43487721;['Y'];[];['43487709'];[39.5, 12.0, 8.0];3.79;1
922387015;4605;неоднозначно: в названии SP несколько разных моделей;Лента S0718090 для Dymo Rhino 5200, Rhino Pro 4200 желтый;93087;Картридж DYMO S0718090/18491;S0718090;['Y'];[];['18491'];[13.0, 2.0, 17.0];0.44;1
209712216;2549;неоднозначно: в названии SP несколько разных моделей;Картридж 43837135 для OKI C9655 голубой;88552;Картридж Oki 43837135/ 43837131;43837135;['C'];[];['43837131'];[19.9, 48.9, 45.9];44.67;1
209664954;2550;неоднозначно: в названии SP несколько разных моделей;Картридж 43837134 для OKI C9655 пурпурный;88553;Картридж Oki 43837134/ 43837130;43837134;['M'];[];['43837130'];[19.9, 48.9, 45.9];44.67;1
216429890;2551;неоднозначно: в названии SP несколько разных моделей;Картридж 43837133 для OKI C9655 желтый;88554;Картридж Oki 43837133/ 43837129;43837133;['Y'];[];['43837129'];[19.9, 48.9, 45.9];44.67;1
199335231;3952;неоднозначно: в названии SP несколько разных моделей;Картридж 44059227 для OKI Data MC860 голубой;113219;Картридж Oki 44059227/ 44059211;44059227;['C'];[];['44059211'];[23.0, 50.0, 45.0];51.75;1
199335339;3953;неоднозначно: в названии SP несколько разных моделей;Картридж 44059226 для OKI Data MC860 пурпурный;113220;Картридж Oki 44059226/ 44059210;44059226;['M'];[];['44059210'];[23.0, 50.0, 45.0];51.75;1
199335318;3954;неоднозначно: в названии SP несколько разных моделей;Картридж 44059225 для OKI Data MC860 желтый;113221;Картридж Oki 44059225/ 44059209;44059225;['Y'];[];['44059209'];[23.0, 50.0, 45.0];51.75;1
330267461;5670;неоднозначно: в названии SP несколько разных моделей;Заправочный комплект PGI-425 для Canon Pixma iP4840 черный;113356/113358/113359/113360/113361/113357;Комплект картриджей SP PGI-425/CLI-426 для Canon (6 цветов);PGI425;['BK'];[];['CLI426'];[7.0, 17.0, 10.0];1.19;1
267893136;5291;неоднозначно: в названии SP несколько разных моделей;Лента S0720670 для Dymo LM 160, LM 210D, LM 280, LM 420P;93262;Картридж DYMO S0720670/40910;S0720670;[];[];['40910'];[13.0, 3.0, 17.0];0.66;1
267893128;5293;неоднозначно: в названии SP несколько разных моделей;Лента S0720780 для Dymo LM 160, LM 210D, LM 280, LM 420P;93260;Картридж DYMO S0720780/43613;S0720780;[];[];['43613'];[13.0, 3.0, 17.0];0.66;1
267893131;5294;неоднозначно: в названии SP несколько разных моделей;Лента S0720500 для Dymo LM 160, LM 210D, LM 280, LM 420P;93269;Картридж DYMO S0720500/45010;S0720500;[];[];['45010'];[13.0, 3.0, 17.0];0.66;1
267893105;5295;неоднозначно: в названии SP несколько разных моделей;Лента S0720530 для Dymo LM 160, LM 210D, LM 280, LM 420P;93272;Картридж DYMO S0720530/45013;S0720530;[];[];['45013'];[13.0, 3.0, 17.0];0.66;1
267893082;5296;неоднозначно: в названии SP несколько разных моделей;Лента S0720560 для Dymo LM 160, LM 210D, LM 280, LM 420P;84132;Картридж DYMO S0720560/45016;S0720560;[];[];['45016'];[2.0, 7.0, 9.0];0.13;1
400980172;5297;неоднозначно: в названии SP несколько разных моделей;Лента S0720570 для Dymo LM 160, LM 210D, LM 280, LM 420P;93277;Картридж DYMO S0720570/45017;S0720570;[];[];['45017'];[13.0, 3.0, 17.0];0.66;1
521204025;5299;неоднозначно: в названии SP несколько разных моделей;Лента S0720930 для Dymo LM 500TS, Rhino Pro 6000;93286;Картридж DYMO S0720930/53713;S0720930;[];[];['53713'];[13.0, 3.0, 17.0];0.66;1
267893031;5302;неоднозначно: в названии SP несколько разных моделей;Лента S0721630 для Dymo LT 100H красный;138421;Картридж DYMO S0721630/91203;S0721630;[];[];['91203'];[13.0, 2.0, 17.0];0.44;1
267893024;5304;неоднозначно: в названии SP несколько разных моделей;Лента S0721650 для Dymo LT 100H синий;138423;Картридж DYMO S0721650/91205;S0721650;[];[];['91205'];[3.0, 15.0, 10.0];0.45;1
267893027;5303;неоднозначно: в названии SP несколько разных моделей;Лента S0721640 для Dymo LT 100H зеленый;138420;Картридж DYMO S0721640/91204;S0721640;[];[];['91204'];[13.0, 2.0, 17.0];0.44;1
267893207;4602;неоднозначно: в названии SP несколько разных моделей;Лента S0721620 для Dymo LT 100H черный;138418;Картридж DYMO S0721620/91202;S0721620;['BK'];[];['91202'];[13.0, 2.0, 17.0];0.44;1
922381442;4609;неоднозначно: в названии SP несколько разных моделей;Картридж S0720880 для Dymo LM 420P, LM PC2, LP 350 желтый;93285;Картридж DYMO S0720880/45808;S0720880;['Y'];[];['45808'];[13.0, 10.0, 10.0];1.3;1
523555973;4607;неоднозначно: в названии SP несколько разных моделей;Лента S0718470 для Dymo Rhino 5200, Rhino Pro 4200 черный;93103;Картридж DYMO S0718470/18433;S0718470;['BK'];[];['18433'];[13.0, 2.0, 17.0];0.44;1
267893195;4606;неоднозначно: в названии SP несколько разных моделей;Лента S0718620 для Dymo Rhino 5200, Rhino Pro 4200 черный;93115;Картридж DYMO S0718620/18445;S0718620;['BK'];[];['18445'];[13.0, 2.0, 17.0];0.44;1
523556791;4604;неоднозначно: в названии SP несколько разных моделей;Лента S0718120 для Dymo Rhino 5200, Rhino Pro 4200 черный;93084;Картридж DYMO S0718120/18489;S0718120;['BK'];[];['18489'];[13.0, 2.0, 17.0];0.44;1
257807845;5125;неоднозначно: в названии SP несколько разных моделей;Картридж 45862845 для OKI MC873 желтый;132032;Картридж Oki 45862845/ 45862814;45862845;['Y'];[];['45862814'];[50.0, 38.0, 15.2];28.88;1
257807843;5124;неоднозначно: в названии SP несколько разных моделей;Картридж 45862846 для OKI MC873 пурпурный;132031;Картридж Oki 45862846/ 45862815;45862846;['M'];[];['45862815'];[50.0, 38.0, 15.2];28.88;1
474388170;5092;неоднозначно: в названии SP несколько разных моделей;Фотобарабан IUP18 для Konica Minolta Bizhub 3320 черный;361743;Фотобарабан IUP-18, IUP-19 для Konica Minolta (черный) OEM.ref;IUP18;['BK'];['BK'];['IUP19'];[35.5, 13.0, 27.0];12.46;1
236253786;0129;неоднозначно: в названии SP несколько разных моделей;Картридж BCI-24 для Canon BJ i455, BJ i470 d цветной;26191;Картридж SP BCI-21/BCI-24 Color для Canon цветной;BCI24;['C', 'CMY', 'M', 'Y'];['C', 'CMY', 'M', 'Y'];['BCI21'];[17.0, 10.0, 1.5];0.26;1
903687693;6941;неоднозначно: в названии SP несколько разных моделей;Бункер отработанного тонера 008R13061 для Xerox черный;353690;Бункер 008R13061, 108R00865 отработанного тонера для Xerox;008R13061;['BK'];[];['108R00865'];[9.2, 6.4, 46.5];2.74;1
452291775;6256;неоднозначно: в названии SP несколько разных моделей;Фотобарабан DR-2590 для Brother DCP-L2600D черный;353595;Фотобарабан Solution Print DR-2590 15000стр Brother HL-L2402/DCP-L2622;DR2590;['BK'];[];['15000', 'DCPL2622', 'HLL2402', 'L2402', 'L2622'];[6.5, 21.5, 32.0];4.47;1
296502145;5777;неоднозначно: в названии SP несколько разных моделей;Картридж TN-2410 для Brother HL-L2350 черный;344707;Картридж Solution Print TN-2420/TN-2410 3000стр Brother HL-L2350/DCP-L2550;TN2410;['BK'];[];['DCPL2550', 'HLL2350', 'L2350', 'L2550', 'TN2420'];[35.0, 12.9, 16.7];7.54;1
330266828;5672;неоднозначно: в названии SP несколько разных моделей;Заправочный комплект PGI-520 для Canon Pixma iP3600 черный;46234/46235/46236/46233/46232;Комплект картриджей SP PGI-520/CLI-521 для Canon (5 цветов);PGI520;['BK'];[];['CLI521'];[9.5, 17.0, 10.0];1.61;1
964944171;4250;неоднозначно: в названии SP несколько разных моделей;Картридж S0720830 для Dymo LM 420P, LM 500TS черный;93281;Картридж DYMO S0720830/45803;S0720830;['BK'];[];['45803'];[3.0, 9.0, 7.0];0.19;1
472911780;5589;неоднозначно: в названии SP несколько разных моделей;Картридж TN-2480 для Brother DCP-L2550DW, HL-L2370DN черный;344706;Картридж Solution Print TN-2460/TN-2480 3000стр Brother HL-L2350/DCP-L2550;TN2480;['BK'];[];['DCPL2550', 'HLL2350', 'L2350', 'L2550', 'TN2460'];[35.0, 12.9, 16.7];7.54;1
472912734;5578;неоднозначно: в названии SP несколько разных моделей;Картридж TN-2460 для Brother DCP-L2550DW, HL-L2370DN черный;344706;Картридж Solution Print TN-2460/TN-2480 3000стр Brother HL-L2350/DCP-L2550;TN2460;['BK'];[];['DCPL2550', 'HLL2350', 'L2350', 'L2550', 'TN2480'];[35.0, 12.9, 16.7];7.54;1
1181832350;7058;неоднозначно: в названии SP несколько разных моделей;Картридж TN-1075X для Brother DCP-1510, HL-1110 черный;363953;Картридж Solution Print TN-1075X 2000стр Brother HL-1110/DCP-1510;TN1075X;['BK'];[];['DCP1510', 'HL1110'];[30.0, 5.5, 7.3];1.2;0
