nm_id;артикул;название;запрос;запросов_нед;позиция;переходы;заказы;ставка_₽;остаток;чистая_₽_шт
548281091;6647;Фотобарабан + картридж 101R00555 DU+106R03623 для Xerox;картридж на ксерокс 3345;1;14;1;0;;36;145
964494059;11582;Картридж для HP Color LJ Pro M252dw;картридж для hp lj pro m252n;1;14;1;0;;5;530
967325970;01846;Картридж для Canon Pixma MG6140;картриджи для canon pixma mg5340;1;14;1;0;;2;154
967512678;54951;Картридж для HP LaserJet Tank 1502w;hp 154a;1;14;1;0;;1;467
397269764;6067;Картридж 006R04380 для Xerox B305, B310, B315 черный;картридж на xerox b305;1;14;1;0;;25;5643
199331082;1371;Картридж 106R03621 для Xerox Phaser 3330, WC 3335 черный;картридж на ксерокс 3345;1;14;1;0;;36;338
199333468;1372;Картридж 106R03623 для Xerox Phaser 3330, WC 3335 черный;картридж на ксерокс 3345;1;14;1;0;;36;477
199565389;29705;Картридж для Canon i-SENSYS MF112;047 картридж canon;1;14;1;0;;36;642
216429474;03064;Картридж для HP DeskJet 1220;катридж дляhp    78;1;14;1;0;;36;3096
257807158;1233;Картридж LC985BK для Brother DCP-J125, DCP-J140W черный;катридж для принтера dcp j125;1;14;1;0;;14;205
215239663;3444;Картридж W2071A для HP Laser 150a, Laser 178nw голубой;картриджи для принтера hp 150 а;0;14;1;0;;1;271
216421567;00024;Картридж для HP LaserJet 1018;картридж hp laserjet 1018;21;15;3;0;;36;108
181116704;3897;Картридж W1360X для HP LJ M211 D, LJ M236D черный;картридж 136а;9;15;1;0;10.68;36;1406
200166638;13671;Картридж для Xerox Phaser 3020;картридж для принтера phaser 3020;6;15;1;0;10.68;1;582
209663659;14464;Картридж для Canon Pixma TS5040;картридж canon pixma ts5040;3;15;2;0;;2;193
216448532;38552;Чернила для Epson M 105;чернила для принтера epson 105;2;15;1;0;9.71;1;386
200166303;02807;Картридж для Samsung ML-1860;картридж ml-1865;1;15;2;1;;2;249
393838438;6078;Чернила №110 для Epson EcoTank M1100, EcoTank M1120 черный;чернила для епсон 110;1;15;1;0;10.68;36;478
192569068;3208;Картриджи CF360A-CF363A для HP M552, M553 dn, LJ M577;hp 363;1;15;1;0;10.68;14;2814
551257400;6708;Фотобарабан + картридж DR-2080 DU+TN-2080 для Brother черный;картридж для принтера бразер dcp-7055;1;15;1;0;10.68;36;277
199572575;13071;Картридж для Lexmark MS510dn;картридж на lexmark x 2470;1;15;1;0;10.68;36;1213
1283842885;7100;Тонер CF244A для HP LJ Pro M15, LJ Pro M16 черный;тонер для картриджей cf244а;1;15;1;0;;19;699
216432083;00193;Картридж для Canon i-SENSYS LBP-3200;картридж для принтера canon mf 3200;1;15;1;0;;1;478
181097531;0280;Картридж MLT-D104S для Samsung ML-1660, ML-1665 черный;катридж для принтера mlt д104s;0;15;1;0;;2;285
200165092;020067;Картридж для HP DeskJet F4180;картридж hp 21 черный;7;16;2;0;;14;1205
683621878;3840;Чернила BT6000BK для Brother DCP-T300, DCP-T310 черный;чернила для принтера brother dcp-t310;6;16;1;0;10.68;2;290
850505415;5673;Заправочный комплект HP-121/ 122/ 123 /901 для HP черный;картридж hp 121;5;16;1;0;;33;596
439260714;6248;Картриджи PG-37/CL-38 для Canon Pixma MP210, Pixma MP220;картридж для принтера canon pixma ip2500;4;16;3;0;;1;8430
850496190;6367;Чернила GT53XL для HP Ink Tank 410, Ink Tank 415 черный;hp tank 515 принтер;4;16;1;0;;1;621
199335504;4542;Картридж W1106XL для HP Laser 107A, Laser 107R черный;картриджи на принтер hp laser mfp 135 w;2;16;1;0;10.68;2;1520
439965009;23122;Картридж для HP DeskJet 1515;картриджи для hp4515;2;16;1;0;;3;1951
181105073;0333;Картриджи 21XL-22XL для HP DeskJet F4180, DeskJet F4185;hp deskjet f4180 картридж;1;16;1;0;;11;1240
200167551;3485;Картриджи PG-440XL-CL-441XL для Canon Pixma MX454;катрина для принтера canon mg3640;1;16;1;0;;36;3901
209664992;3484;Картридж CL-441XL для Canon Pixma MG3640 цветной;катрина для принтера canon mg3640;1;16;1;0;;36;1371
964672682;43696;Картридж для HP DeskJet 3639 AIO;картридж hp desket 3639;1;16;1;0;;36;1630
967493286;42491;Картридж для Dymo LM 210D;dymo 210d;1;16;1;0;;36;814
199333413;1306;Картридж 50F5H00 для Lexmark MS310d, MS310dn черный;картридж на lexmark x 2470;1;16;1;0;;36;295
209664186;27052;Картридж для HP DeskJet 2130;картриджи на принтер hp deskjet 2130;1;16;1;0;;35;1205
255115524;5541;Картридж PFI-300PM для Canon iPF PRO-300 фото-пурпурный;картридж кэнон 300;1;16;1;0;;1;760
216422130;00025;Картридж для HP LaserJet 1020;картридж для принтера hp 1020;40;17;1;0;;36;554
200166274;02801;Картридж для Samsung ML-1660;картридж для принтера samsung ml-1660 series;1;17;3;1;;2;284
566797602;0900;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;катридж для epson t5570.;1;17;1;0;14.18;36;810
200167548;326211;Картридж для M6500;картриж для лазерного принтера  м 6500;1;17;1;0;10.68;1;667
292510369;5762;Чернила 108/008 LC светло-голубой;epson 108 lc;1;17;1;0;9.71;36;407
181115853;1449;Картридж CLI-471XLM для Canon Pixma TS5040 пурпурный;ts5040 картриджи;1;17;1;0;10.68;2;291
216422393;00029;Картридж для HP LaserJet 3020;3020 hp;1;17;1;0;10.68;36;458
199330823;0838;Картридж T1711 для Epson XP-203, XP-103, XP-207 черный;катридж для epson t5570.;1;17;1;0;;36;195
216430441;38557;Чернила для Epson L-1455;краска для принтера epson l1455;1;17;2;0;;1;354
200165560;03281;Картридж для HP DeskJet 3070A;картридж чёрный для принтера hp deskjet 3070a;1;17;1;0;;2;333
263820523;0840;Картридж T1713 для Epson XP-313, XP-323, XP-313 пурпурный;катридж для epson t5570.;1;17;1;0;;1;194
967325219;08183;Картридж для Canon Pixma MG6440;canon mg 6440;1;17;1;0;;1;310
967421979;52892;Картридж для Deli M2000DNW;картридж deli2000;1;17;1;0;;36;291
181105033;0142;Картриджи CLI-8 для Canon Pixma MP530, Pixma MP600;картриджи для принтера санон 4200;1;17;1;0;;36;548
209663808;0966;Картридж 72Y для HP DJ T610, DJ T620, DJ T610 желтый;hp t770 набор картриджей;0;17;1;0;10.68;1;2325
262192043;5320;Картриджи №72 для HP DJ T1120, DJ T1200, DJ T1120, DJ T1200;hp t770 набор картриджей;0;17;1;0;10.68;1;3881
209663355;0967;Картридж 72GY для HP DJ T770, DJ T790, DJ T770 серый;hp t770 набор картриджей;0;17;1;0;;1;1507
181105233;0963;Картридж 72 PBK для HP DJ T120, DJ T520, DJ T1100 черный;hp t770 набор картриджей;0;17;1;0;;1;2096
209663552;0968;Картридж 72 MBK для HP DJ T795, DJ T1100 черный матовый;hp t770 набор картриджей;0;17;1;0;;1;1101
216454486;4751;Картриджи PG-460XL-CL-461XL для Canon Pixma TS7440;катридж для принтера 460;5;18;1;0;10.68;36;1543
568092926;0080;Картриджи T1281-T1284 для Epson Stylus SX440, Stylus SX445;картридж для epson stylus s22;2;18;1;0;;36;496
1003227735;31421;Картридж для Lexmark LaserPrinter-MS310;катридж для принтера lexmark ms410,ms415,ms510,ms610;2;18;1;0;;36;980
181105073;0333;Картриджи 21XL-22XL для HP DeskJet F4180, DeskJet F4185;катридж hp 22;1;18;5;0;;11;1240
181095480;0201;Картридж 22XL для HP DeskJet F2140, DeskJet F2149 цветной;катридж hp 22;1;18;3;0;;11;1055
437228191;5484;Картриджи 069 для Canon LBP673Cdw, MF752Cdw, MF754Cdw;картридж canon 069 black;1;18;3;0;10.68;2;2633
209664330;3849;Чернила №103 для Epson L-5190, L 3101, L-5190, L 3101;чернила 103 epson набор 500мл;1;18;1;0;10.68;1;674
199335069;3781;Картридж CF218XL для HP LJ M133, LJ Pro M103 черный;картридж hp 218;1;18;3;0;;36;360
181095509;0200;Картридж 21XL для HP DeskJet 3910, DeskJet 3918 черный;катридж hp 22;1;18;1;0;;14;1093
181115463;1377;Картридж CF218A для HP LJ M133, LJ Pro M103 черный;картридж hp 218;1;18;2;0;;2;344
209759057;23128;Картридж для HP DeskJet Ink Advantage 3515;hp deskjet lnk advantage 3545;1;18;1;0;;3;1007
215240022;3908;Картридж W2070A для HP Laser 150a, Laser 150a черный;w2070а;1;18;2;0;10.68;1;780
1283992398;7112;Тонер TN-241/TN-243/TN-247/TN-421/TN-423 C для Brother;тонер для tn 423;1;18;2;1;;11;676
257945733;5485;Картридж 069 Y для Canon LBP673Cdw, MF752Cdw желтый;картридж canon 069 black;1;18;1;0;;2;966
261996677;5488;Картридж 069 BK для Canon LBP673Cdw, MF752Cdw черный;картридж canon 069 black;1;18;1;0;;3;543
1283564403;7096;Тонер CF218A для HP LJ M133, LJ Pro M103 черный;картридж hp 218;1;18;1;0;;20;708
199334503;2954;Картридж CF218X для HP LJ Pro M103, LJ Pro M104a черный;картридж hp 218;1;18;1;0;;36;237
199330152;0227;Картридж C-EXV18 для Canon iR 1019, iR 1020J, iR-1023 черный;картридж для принтера c e x v 18;1;18;1;0;;2;431
257945729;5486;Картридж 069 M для Canon LBP673Cdw, MF752Cdw пурпурный;картридж canon 069 black;1;18;1;0;;2;845
216360541;5247;Фотобарабан DR-321CL для Brother HL-L8250, HL-L9200;321;44;19;1;0;9.71;6;8324
199574175;34484;Картридж для Canon i-SENSYS MF443dw;445 446 картридж canon;9;19;0;0;12.93;36;817
200166638;13671;Картридж для Xerox Phaser 3020;картридж 3020 xerox;8;19;1;0;10.68;1;582
181081323;0894;Картридж 655BK для HP DeskJet 4625, DeskJet 4625 черный;картридж 655 hp черный;5;19;1;0;;1;394
262192245;4433;Чернила №110 для Epson EcoTank M1100, EcoTank M1120 черный;чернила epson 110;3;19;1;1;;2;430
216341265;0335;Картриджи 45-78 для HP DeskJet 930, DeskJet 9300;картридж hp45;2;19;2;0;11.72;36;3752
964439130;01562;Картридж для Epson Stylus CX4300;epson stylus cx4300;2;19;1;0;;24;233
181105073;0333;Картриджи 21XL-22XL для HP DeskJet F4180, DeskJet F4185;катридж 21xl;1;19;1;0;;11;1240
199565475;00281;Картридж для HP LaserJet 1320;картридж купить на валдберис для принтера лазер джет 1320;1;19;1;0;;36;1283
192568162;2250;Картриджи CLI-451 для Canon Pixma iP7240, Pixma iP8740;картриджи для canon mg5440;1;19;1;0;10.68;36;1242
216421567;00024;Картридж для HP LaserJet 1018;картридж доля hp lj 1018;1;19;1;0;;36;108
181081323;0894;Картридж 655BK для HP DeskJet 4625, DeskJet 4625 черный;катриж черный 655хл бласк;1;19;1;0;;1;394
967515876;5679;Заправочный комплект HP-141/ 141XL для HP DeskJet D4263;катриджи для hp 4273;1;19;1;0;;13;462
850504875;5678;Заправочный комплект HP-140/ 140XL для HP черный;картридж хл140;1;19;1;0;;18;649
216361966;52372;Картридж для Canon i-SENSYS MF752Cdw;mf752cdw;13;20;1;0;10.68;1;982
200164319;020029;Картридж для HP DeskJet F2180;картридж hp 21 черный;7;20;1;0;12.93;14;1942
967520330;57734;Картридж для Canon i-SENSYS MF463dw;картридж canon mf463dw;4;20;2;0;;36;301
199565475;00281;Картридж для HP LaserJet 1320;картридж hp 1320;3;20;2;0;;36;1283
547722702;6637;Фотобарабан + картридж CF232A+CF230XL для HP черный;картридж cf 232a;1;20;1;0;8.83;36;273
200164778;02022;Картридж для HP DeskJet 1050A;картриджи для принтераhp deskjet 1050a;1;20;1;0;;9;807
215240125;13843;Картридж для Canon i-SENSYS MF8230Cn;mf623cn картридж принтера;1;20;1;0;;1;366
257945573;5384;Картридж 055H BK для Canon i-SENSYSLBP-662, LBP-662 черный;катридж на canon 742;1;20;1;0;;1;1753
209762899;41813;Картридж для HP LaserJet E72530;картридж hp laserjet mfp e72535;0;20;1;0;9.71;36;5612
181105204;0932;Картриджи T2621XL-T2634XL для Epson XP-800, XP-800, XP-800;картриджи для принтера эпсон 26 черный;0;20;1;0;;36;521
209665181;1456;Картридж PG-37BK для Canon Pixma MX300, Pixma MX310 черный;картридж для принтера canon pixma ip2500;4;21;2;0;;1;1487
566797602;0900;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;картридж на epson xp 33;2;21;1;0;14.18;36;810
967514152;55211;Картридж для Canon I-Sensys MF270;картридж canon 071;2;21;1;0;10.68;2;678
199331545;3907;Картридж W1106A для HP Laser 107A, Laser 107R черный;картридж w1106a (10ба) без чипа;2;21;1;0;;36;140
192567843;1167;Картриджи CF400X-CF403X для HP LJ Pro M252dw, LJ Pro M252dw;hp 201x;2;21;1;0;;36;1765
327898194;239318;Комплект картриджей для Canon SELPHY CP760;катридж на selphy cp 1500;1;21;1;0;10.68;36;1735
264401298;4166;Фотобарабан 013R00663 DU для Xerox DCP-C70, DCP-C70 черный;xerox color c60;1;21;1;0;;17;4422
199570218;01101;Картридж для Samsung ML-1640;катридж самсунг ml 1640;0;21;1;1;;3;1110
199574332;41463;Картридж для HP OfficeJet Pro 9023;картридж для принтера hp 9010;4;22;1;0;10.68;2;1621
216355214;2050;Фотобарабан DK-1110 DU для Kyocera FS-1020MFP черный;картридж для принтера kyocera fs-1020 mfp;3;22;4;0;;19;1301
547025459;6626;Фотобарабан + картридж DK-1110 DU+TK-1110 для Kyocera черный;картридж для принтера kyocera fs-1020 mfp;3;22;5;0;;19;132
181104916;0781;Картридж TK-1110 для Kyocera FS-1020MFP, FS-1040 черный;картридж для принтера kyocera fs-1020 mfp;3;22;1;0;10.68;1;341
1283847336;7104;Тонер TK-1110 для Kyocera FS-1020MFP, FS-1040 черный;картридж для принтера kyocera fs-1020 mfp;3;22;1;0;;35;749
911861629;1262;Картридж T0791 для Epson Stylus Photo 1400 черный;картриджи на принтер epson stylus photo px720wd;3;22;1;0;;1;276
181104903;0782;Картридж TK-1120 для Kyocera FS-1025MFP, FS-1060DN черный;картридж для принтера kyocera fs-1020 mfp;3;22;1;0;;2;352
1003630131;56851;Заправочный комплект для HP DeskJet Ink Advantage Ultra 4729;картридж hp 4729;2;22;1;0;;10;564
192228655;2287;Картриджи CLT-406S для Samsung CLX-3306FW, CLX-3306W;samsung clp 365 картредж;1;22;1;0;;1;1188
262192245;4433;Чернила №110 для Epson EcoTank M1100, EcoTank M1120 черный;чернила для епсон 110;1;22;1;0;;2;430
209779226;43542;Картридж для HP DJ Ink Advantage 6075;принтер hp 6075;1;22;1;0;;36;1103
199330580;0743;Картридж Q6003A для HP LJ 2605dn, LJ 2605dn пурпурный;картридж для лазерного принтера hp 2600;0;22;1;0;;7;1213
209752271;5249;Картридж TK-1200XL для Kyocera M2235, M2735dn, M2835 черный;картридж для принтера kyocera ecosys m2735dn;8;23;2;1;;1;689
847868126;2607;Чернила T6641 K для Epson L100, L110, L130, L1300 черный;краска для принтера epson 130;6;23;1;0;;36;344
200166327;028010;Картридж для Samsung ML-1867;картридж для принтера samsung ml 1860;4;23;1;0;10.68;2;830
181081323;0894;Картридж 655BK для HP DeskJet 4625, DeskJet 4625 черный;картридж для принтера hp 655;3;23;1;0;;1;394
209665951;23129;Картридж для HP DJ Ink Advantage 3545;картридж для принтера hp 1516;3;23;1;0;;3;805
199335613;5352;Картридж 712 для Canon LBP3100, LBP-3010 черный;canon 712;2;23;2;1;;19;290
209712685;23123;Картридж для HP DeskJet Ink Advantage 1516;hp deskjet ink advantage 4515 картридж;2;23;1;0;;3;1231
199574591;53401;Картридж для Xerox Phaser 3117;картридж для xerox 3117;1;23;1;0;;4;383
200166308;02802;Картридж для Samsung ML-1665;картриджи для samsung ml-1865 цветной;1;23;1;0;10.68;2;891
914250166;6791;Картриджи 067H для Canon MF657Cdw, LBP631CW, MF657Cdw;картридж для принтера canon 651;1;23;1;0;;36;2054
683629002;4688;Картридж №963 для HP OfficeJet Pro 9010 черный;катриджи для уфм hp 9010;1;23;1;0;;15;688
1283853153;7107;Тонер TK-1170 для Kyocera M2040dn, M2540dn, M2540dw черный;тонер 2040;1;23;1;0;;17;1184
215240041;4209;Картриджи W2070A-W2073A для HP Laser 150a, Laser 150a;картриджи не на принтер hp color laser 150nw;1;24;1;0;10.68;1;2855
