поставщик;артикул;наименование;штук;документ;категория;код МС;внешний код (мусор);вариантов;вариант 1 код;вариант 1 наименование;вариант 1 вердикт;вариант 2 код;вариант 2 наименование;вариант 3 код;вариант 3 наименование
bulat;AFHPE82540010;Тонер-картридж БУЛАТ s-Line W9014MC-R для HP LJ E82540 (69000 стр.), ref.;20.0;bulat_2026-08-18_p13;;;psxhcnQWiMbLS7jn1rqc81;2;4491;Тонер-картридж Hi-Black (HB-W9037MC) для HP LaserJet E82540/E82550/E82560, 58K;"не указано в каталоге: цвет; из каталога ТК: цвет, ресурс/объём, чип, бренд";5588;Картридж для HP W9014MC HP LJ-E82540/E82550 69K Black White Box (Совместимый);;;
bulat;AFKYEP2035010;Блок проявки БУЛАТ DV-160 для Kyocera FS-1120d (Чёрный, 100000 стр.), ref.;100.0;bulat_2026-08-18_p10;;;K59un7mTjuI0yLUuKPhmG2;8;1945;"Блок фотобарабана G&G GG-DK150 DK-150/DK-170/DK-130 черный ч/б:100000стр. для FS-1100/FS-1300D/FS-1120D/FS-1350DN/FS-1120DN/FS-1350N/FS-1120MFP/FS-1120DN/FS-1028MFP/FS-1128MFP/FS-1035MFP/FS-1135MFP/FS-1320D/FS-1370DN;ECOSYS M2035dn/M2535dn/P2135d/P21";"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6859;Блок фотобарабана Cactus CS-DK1270 DK-1270/30C1493020 черный ч/б:100000стр. для Ecosys PA3500x/PA3500wx/PA4000x/PA4000wx/MA3500x/MA3500fx/MA3501wifx/MA4000x/MA4000fx/MA4000wifx Kyocera;3640;Блок проявки БУЛАТ DV-1200 (302VB93010) для Kyocera ECOSYS P2335 (100000 стр.);
bulat;AFKYFS1120020;Тонер-картридж БУЛАТ s-Line TK-160XL для Kyocera FS-1120d (Чёрный, 12500 стр.);55.0;bulat_2026-08-18_p10;;;eAFA97bZhEGf6RPa8GeWt1;2;0239;Тонер-картридж EasyPrint LK-160 для Kyocera FS-1120D/1120DN/ECOSYS P2035d/P2035dn (2500 стр.) с чипом;"НЕ СОВПАЛО: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";1945;"Блок фотобарабана G&G GG-DK150 DK-150/DK-170/DK-130 черный ч/б:100000стр. для FS-1100/FS-1300D/FS-1120D/FS-1350DN/FS-1120DN/FS-1350N/FS-1120MFP/FS-1120DN/FS-1028MFP/FS-1128MFP/FS-1035MFP/FS-1135MFP/FS-1320D/FS-1370DN;ECOSYS M2035dn/M2535dn/P2135d/P21";;;
bulat;AFKYFS1300030;Блок проявки БУЛАТ s-Line DV-130 для Kyocera FS-1300 (Чёрный, 100000 стр.), ref.;20.0;bulat_2026-08-18_p10;;;fuGNxwBNg-JsDSAmLlZ5G0;8;6859;Блок фотобарабана Cactus CS-DK1270 DK-1270/30C1493020 черный ч/б:100000стр. для Ecosys PA3500x/PA3500wx/PA4000x/PA4000wx/MA3500x/MA3500fx/MA3501wifx/MA4000x/MA4000fx/MA4000wifx Kyocera;из каталога ТК: цвет, ресурс/объём, чип, бренд;3640;Блок проявки БУЛАТ DV-1200 (302VB93010) для Kyocera ECOSYS P2335 (100000 стр.);2965;Драм-картридж БУЛАТ s-Line DK-1150, DK-1200 для Kyocera ECOSYS P2235, P2335 (Чёрный, 100000 стр.);
bulat;AFPM0P3010010;Тонер-картридж Булат TL-420X для Pantum P3010, M7100 (Чёрный, 6000 стр.), совместимый;200.0;bulat_2026-08-18_p10;;;1ueVFMozgxLlDfzYxNsKE3;8;3264;Картридж для Pantum TL-420X  P3010/M6700/M6800/P3300/M7100/M7200 6K White Box (Совместимый);из каталога ТК: цвет, ресурс/объём, чип, бренд;3258;Заправочный комплект Pantum P3010/M7100 TN-420X банка 200г/чип БУЛАТ;6874;Тонер-картридж Smart Graphics TL-420X для Pantum P3010, M6700, M6800, P3300, M7100 (Чёрный, 6000 стр.), безлимитный чип, совместимый;
bulat;BAMTFSC530010;Тонер-картридж БУЛАТ s-Line TK-560K для Kyocera FS-C5300, FS-C5350, ECOSYS P6030C (Чёрный, 12000 стр.);20.0;bulat_2026-08-18_p2;;;70xjDEMghyYWckyrG7Wsk3;2;1404;Картридж TK-560 Bk GP;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1439;Набор картриджей TK-560;;;
bulat;BAMTFSC530040;Тонер-картридж БУЛАТ s-Line TK-560Y для Kyocera FS-C5300, FS-C5350, ECOSYS P6030C (Жёлтый, 10000 стр.);20.0;bulat_2026-08-18_p2;;;QAtaRbqWhOdSP5RrtDfTr3;1;1407;Картридж Sakura TK560Y (1T02HNAEU0) для Kyocera Mita FS-C5300DN/FS-C5350DN/6030cdn, желтый, 10000 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;BFCNLBP722010;Тонер-картридж БУЛАТ 064 для Canon LBP-722, MF832 (Чёрный, 6000 стр.);20.0;bulat_2026-08-18_p15;;;ghh3dfBNibxE6QGWdfuV12;2;6836;Тонер-картридж Canon LBP-722/MF832 064H Black (13.4k).;"НЕ СОВПАЛО: ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";6543;Картридж для Canon C064HBk LBP722/MF832 Black 13.4K ЧИП БезЛИМИТ WhiteBox (Совместимый);;;
bulat;BFHPLJM880010;Тонер-картридж БУЛАТ s-Line CF300A для HP CLJ M880 (Чёрный, 29500 стр.), ref;50.0;bulat_2026-08-18_p2;;;nVvYvoRxgC5w5GP7bTHxy2;2;1194;TC-HCF300A Тонер-картридж T2 для HP CLJ Enterprise Flow M880z/880z+ (29500 стр.) черный, с чипом;из каталога ТК: цвет, ресурс/объём, бренд;2627;Блок фотобарабана Cactus CS-CF358AR CF358A черный ч/б:30000стр. для CLJ M855/M880 HP;;;
bulat;BFKYEM6035090;Блок проявки БУЛАТ DV-5150 (302NS93010) для Kyocera ECOSYS M6035, P6235 (Чёрный), ref.;20.0;bulat_2026-08-18_p14;;;jhUNAZq1i8qpRJ5V9QK3E2;3;1301;Тонер-картридж Smart Graphics TK-5150K для Kyocera ECOSYS M6035, M6535, P6035 (Чёрный, 12000 стр.), совместимый;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2405;Картридж Kyocera TK5280 ECOSYS P6235 13K Black SuperFine;6797;Блок фотобарабана Cactus CS-DK5140 DK-5140/302NR93010/302NR93011/302NR93012/302NR93013/302NR93014 цветной ч/б:200000стр. для Ecosys P6130/P6035/P6230/P6235 Kyocera;
bulat;BFKYEM6035100;Блок проявки БУЛАТ DV-5150 (302NS93020) для Kyocera ECOSYS M6035, P6235 (Жёлтый), ref.;20.0;bulat_2026-08-18_p14;;;8rFw-5uzhhr8ryOyYJ2dK2;2;1303;Тонер-картридж Smart Graphics TK-5150Y для Kyocera ECOSYS M6035, M6535, P6035 (Жёлтый, 10000 стр.), совместимый;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2408;Картридж Kyocera TK5280 ECOSYS P6235 11K Yellow Compatible;;;
bulat;BFKYEM6035110;Блок проявки БУЛАТ DV-5150 (302NS93030) для Kyocera ECOSYS M6035, P6235 (Пурпурный), ref.;20.0;bulat_2026-08-18_p14;;;4wfziiyrjao9gucKbL-d-0;2;1302;Тонер-картридж Smart Graphics TK-5150M для Kyocera ECOSYS M6035, M6535, P6035 (Пурпурный, 10000 стр.), совместимый;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2407;Картридж Kyocera TK5280 ECOSYS P6235 11K Magenta Compatible;;;
bulat;BFKYEM6035120;Блок проявки БУЛАТ DV-5150 (302NS93040) для Kyocera ECOSYS M6035, P6235  (Голубой), ref.;20.0;bulat_2026-08-18_p14;;;j-pskZeVjTCuJCiBrRh163;2;1300;Тонер-картридж Smart Graphics TK-5150C для Kyocera ECOSYS M6035, M6535, P6035 (Голубой, 10000 стр.), совместимый;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2406;Тонер-картридж Hi-Black (HB-TK-5280C) для Kyocera ECOSYS P6235/M6235/M6635, C, 11K;;;
bulat;BFKYEP6130010;Драм-юнит БУЛАТ s-Line DK-5140 для Kyocera ECOSYS P6130, P6035, P6230, P6235 (302NR93010, 302NR93011, 302NR93012, 302NR93013, 02NR93014), 100000 стр., ref.;50.0;bulat_2026-08-18_p13;;;TPPoaD6vgupIWx6kxpZat2;8;6859;Блок фотобарабана Cactus CS-DK1270 DK-1270/30C1493020 черный ч/б:100000стр. для Ecosys PA3500x/PA3500wx/PA4000x/PA4000wx/MA3500x/MA3500fx/MA3501wifx/MA4000x/MA4000fx/MA4000wifx Kyocera;"не указано в каталоге: цвет; из каталога ТК: цвет, ресурс/объём, чип, бренд";3640;Блок проявки БУЛАТ DV-1200 (302VB93010) для Kyocera ECOSYS P2335 (100000 стр.);2965;Драм-картридж БУЛАТ s-Line DK-1150, DK-1200 для Kyocera ECOSYS P2235, P2335 (Чёрный, 100000 стр.);
bulat;BFKYFS8020110;Блок проявки БУЛАТ DV-895, 896 (302MY93030, 302K93031, 302K093030) для Kyocera FS-C8020 (Пурпурный), ref.;20.0;bulat_2026-08-18_p14;;;a3BfgWFvibh5pxHLgTsTQ3;1;1213;TC-K895M Тонер-картридж T2 для Kyocera FS-C8020/C8025/C8520/C8525 (6000 стр.) пурпурный, с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;BFLX0C2425010;Тонер-картридж БУЛАТ s-Line C235HK0 Black для Lexmark C2425 (3000 стр.);20.0;bulat_2026-08-18_p13;;;BX-sxmedhu1XVuaObEXX-1;0;;;;;;;;
bulat;BFLX0C2425020;Тонер-картридж БУЛАТ s-Line C235HC0 Cyan для Lexmark C2425 (2300 стр.);40.0;bulat_2026-08-18_p13;;;GVTbmLrSiJ8RxPIOkbZw33;0;;;;;;;;
bulat;BFLX0C2425030;Тонер-картридж БУЛАТ s-Line C235HM0 для Lexmark C2425 (Пурпурный, 2300 стр.);20.0;bulat_2026-08-18_p13;;;88rbzInijUPSdUvRjgofR3;0;;;;;;;;
bulat;BFLX0C2425040;Тонер-картридж БУЛАТ s-Line C235HY0 Yellow для Lexmark C2425 (2300 стр.);20.0;bulat_2026-08-18_p13;;;thdSOhWAiguN6bX8FmmMW3;0;;;;;;;;
bulat;BFOK0C3100020;Тонер-картридж БУЛАТ s-Line 44469716 для Oki C310, C510, C511, MC361, MC362 (Голубой, 2200 стр.);20.0;bulat_2026-08-18_p2;;;BdCF0yo3hgywPlX8mPPFA3;6;0993;Картридж Sakura 44469716 для OKI C310/C330/MC561/MC562/C510/C530/MC351/MC352/MC361/MC362, голубой, 2000 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";0998;Картридж OKI C510/C530/MC351/MC361/MC561,toner, cyan, 5000стр.,Blossom;6208;Тонер-картридж БУЛАТ s-Line 006R04361 для Xerox C310 (Голубой, 2000 стр.);
bulat;BFOK0C3100030;Тонер-картридж БУЛАТ s-Line 44469715 для Oki C310, C510, C511, MC361, MC362 (Пурпурный, 2000 стр.);50.0;bulat_2026-08-18_p2;;;rp5SQyRBihPHgBBhIa6ar1;5;0994;Картридж Sakura 44469715 для OKI C310/C330/C510/C530/MC351/MC352/MC361/MC362/MC561/MC562, пурпурный, 2000 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";0999;Картридж OKI C510/C530/MC351/MC361/MC561,toner, magenta, 5000стр.,Blossom;6209;Тонер-картридж БУЛАТ s-Line 006R04362 для Xerox C310 (Пурпурный, 2000 стр.);
bulat;BFOK0C8220020;Тонер-картридж БУЛАТ s-Line 44844627, 44844615 для Oki C822 (Голубой, 7300 стр.), универсальный;20.0;bulat_2026-08-18_p2;;;31t5UAC7iWVpUm9WLnZm01;2;1808;Картридж для OKI C822 (44844615/44844627) 7.3K Cyan White Box (Совместимый);"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1804;Картридж Colortek Oki 44844407 (DU) (C822/831/841) Cyan;;;
bulat;BFOK0C8220030;Тонер-картридж БУЛАТ s-Line 44844626, 44844614 для Oki C822 (Пурпурный, 7300 стр.), универсальный;21.0;bulat_2026-08-18_p2;;;Q5qaUpEmgI39MrLMHa5PL1;2;1809;Картридж для OKI C822 (44844614/44844626) 7.3K Magenta White Box (Совместимый);"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1805;Картридж Colortek Oki 44844406 (DU) (C822/831/841) Magenta;;;
bulat;BFOK0C8220040;Тонер-картридж БУЛАТ s-Line 44844625, 44844613 для Oki C822 (Жёлтый, 7300 стр.), универсальный;20.0;bulat_2026-08-18_p2;;;1yQV8EjxgtkkusF1yHbbv1;2;1810;Картридж для OKI C822 (44844613/44844625) 7.3K Yellow White Box (Совместимый);"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1806;Драм-картридж Smart Graphics SG-C831, С841Y-DRUM для OKI C822, C831, C841 (Жёлтый, 30000 стр.), совместимый;;;
bulat;BFOK0C9110010;Тонер-картридж БУЛАТ s-Line 45536416 для Oki C911 (Чёрный, 24000 стр.);20.0;bulat_2026-08-18_p6;;;dmzOzQ-aiu1JwJPdW-cHx0;7;5801;Тонер-картридж OKI 45536416 для C911/931/dn, Bk, 24K, Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5803;Набор картриджей OKI 45536416 для C911/931;6430;Драм-картридж Oki ES9431/Pro9541 45103722 (40k) Black (R);
bulat;BFOK0C9110020;Тонер-картридж БУЛАТ s-Line 45536415 для Oki C911, (Голубой, 24000 стр.);20.0;bulat_2026-08-18_p6;;;2VMwuXeRjCQ8a3B1y3jAE1;3;5802;Тонер-картридж PL-45536415 для принтеров Oki OkiData C911/C931/C941/es9541/pro9541 Cyan 24000 копий ProfiLine;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6343;Тонер-картридж Oki C931 45536507 (38k) Cyan БУЛАТ s-Line;6433;Драм-картридж Oki ES9431/Pro9541 45103721 (40k) Cyan (R);
bulat;BFOK0C9655040;Тонер-картридж БУЛАТ s-Line 43837133, 43837129 для Oki C9655 (Жёлтый, 22000 стр.), универсальный;20.0;bulat_2026-08-18_p2;;;yoOUSlidipTPod78aup9i1;1;2551;Картридж 43837133/43837129 Yellow 22000 копий ProfiLine;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;BFRCSP3050010;Тонер-картридж БУЛАТ s-Line MP C305E (841618) для Ricoh Aficio MP C305 (Чёрный, 12000 стр.);20.0;bulat_2026-08-18_p4;;;gCmx0monirZECyHDwMGzb2;2;4508;Тонер-картридж GP-842079/841618 для принтеров Ricoh Aficio MPC305 Black 12000 копий GalaPrint;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";4512;Набор совместимых картриджей 842079 - 842082;;;
bulat;BFRCSP4300020;Тонер-картридж БУЛАТ s-Line SPC430E (821097) для Ricoh Aficio SP C430, SP C431 (Голубой, 24000 стр.);20.0;bulat_2026-08-18_p4;;;cc-Nv4zHhTSlMr9pGSwl82;2;2896;Тонер-картридж Smart Graphics SG-SP-C430EC-821097 для Ricoh Aficio SP C430, SP C431, SP C440 (Голубой, 24000 стр.), совместимый;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1327;CLT-404C Картридж EasyPrint LS-C404 для Samsung Xpress SL-C430/C430W/C480/C480W/C480FW (1000стр.) голубой, с чипом;;;
bulat;BFRCSP4300030;Тонер-картридж БУЛАТ s-Line SPC430E (821096) для Ricoh Aficio SP C430, SP C431 (Пурпурный, 24000 стр.);20.0;bulat_2026-08-18_p4;;;kZw6fnMwj2oCSyZaE9xJI3;2;2897;Тонер-картридж Smart Graphics SG-SP-C430EM-821096 для Ricoh Aficio SP C430, SP C431, SP C440 (Пурпурный, 24000 стр.), совместимый;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1329;CLT-404M Картридж EasyPrint LS-M404 для Samsung Xpress SL-C430/C430W/C480/C480W/C480FW (1000стр.) пурпурный, с чипом;;;
bulat;BFRCSP4300040;Тонер-картридж БУЛАТ s-Line SPC430E (821095) для Ricoh Aficio SP C430, SP C431 (Жёлтый, 24000 стр.);20.0;bulat_2026-08-18_p4;;;0K7cg1ZqiWVWJtM0YYTFw2;2;2898;Тонер-картридж Smart Graphics SG-SP-C430EY-821095 для Ricoh Aficio SP C430, SP C431, SP C440 (Жёлтый, 24000 стр.), совместимый;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1330;CLT-404Y Картридж EasyPrint LS-Y404 для Samsung Xpress SL-C430/C430W/C480/C480W/C480FW (1000стр.) желтый, с чипом;;;
bulat;BFRCSP8300020;Тонер-картридж БУЛАТ s-Line SPC830DNE (821188) для Ricoh Aficio SP C830, SP C831 (Голубой, 27000 стр.);20.0;bulat_2026-08-18_p5;;;7h--z4EajmoLQ3wcEUWjP2;6;2907;Картридж Ricoh SPC830DNE для Aficio SP C830DN/C831DN,cyan,  27000 стр.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1804;Картридж для OKI C831/С841 44844407 30K DRUM Cyan White Box (Совместимый);1023;Тонер-картридж БУЛАТ s-Line 44059119 для Oki C810, C830 (Голубой, 8000 стр.);
bulat;BFRCSP8300030;Тонер-картридж БУЛАТ s-Line SPC830DNE (821187) для Ricoh Aficio SP C830, SP C831 (Пурпурный, 27000 стр.);20.0;bulat_2026-08-18_p5;;;yqSBnGhQhqsYMry2A2Aj40;6;2908;Картридж Ricoh SPC830DNE для Aficio SP C830DN/C831DN,magenta,  27000 стр.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1805;Картридж для OKI C831/С841 44844406 30K DRUM Magenta White Box (Совместимый);1024;Тонер-картридж GP-44059118 для принтеров OkiData C810/C830 Magenta 8000 копий GalaPrint;
bulat;BFRCSP8300040;Тонер-картридж БУЛАТ s-Line SPC830DNE (821186) для Ricoh Aficio SP C830, SP C831 (Жёлтый, 27000 стр.);20.0;bulat_2026-08-18_p5;;;OV6VGGSLhzNWMBcN-B0Wy2;6;2909;Картридж Ricoh SPC830DNE для Aficio SP C830DN/C831DN,yellow,  27000 стр.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1806;Драм-картридж Smart Graphics SG-C831, С841Y-DRUM для OKI C822, C831, C841 (Жёлтый, 30000 стр.), совместимый;1798;Картридж для OKI C801/C810/C830 44064009 20K DRUM Yellow Булат s-Line (Совместимый);
bulat;BFRCSPC352080;Драм-картридж БУЛАТ 408224-Y для Ricoh SP C352, C360 SP C352 (Жёлтый, 12000 стр.), ref.;50.0;bulat_2026-08-18_p13;;;o9dnJOdNjnFkUhmpxiGlt0;2;3748;Тонер-картридж Smart Graphics SP 360HEY для Ricoh Aficio SP C360, Aficio SP C361 (Жёлтый, 6002 стр.), совместимый;"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";2020;Картридж GP-TN-216Y/TN-319Y для принтеров Konica Minolta bizhub C220/C280/C360/C364 Yellow 26000 копий GalaPrint;;;
bulat;BFRCSPC361020;Тонер-картридж БУЛАТ s-Line 408251 Type SP C360X для Ricoh SP C361 (Голубой, 9000 стр.), совместимый;20.0;bulat_2026-08-18_p13;;;l9xR4KfFhRoRivLGlkY973;0;;;;;;;;
bulat;BFRCSPC361030;Тонер-картридж БУЛАТ s-Line Type SP C360X (408252) для Ricoh SP C361 (Пурпурный, 9000 стр.), совместимый;20.0;bulat_2026-08-18_p13;;;zLCCKvmjhsSTCu5PY-Epo1;1;3747;Тонер-картридж Smart Graphics SP 360HEM для Ricoh Aficio SP C360, Aficio SP C361 (Пурпурный, 6001 стр.), совместимый;"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;BFRCSPC361040;Тонер-картридж БУЛАТ s-Line Type SP C360X (408253) для Ricoh SP C361 (Жёлтый, 9000 стр.), совместимый;20.0;bulat_2026-08-18_p13;;;S99vThZFj651hnDTCNBjy2;1;3748;Тонер-картридж Smart Graphics SP 360HEY для Ricoh Aficio SP C360, Aficio SP C361 (Жёлтый, 6002 стр.), совместимый;"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;BFRX00C310050;Тонер-картридж БУЛАТ s-Line 006R04360 для Xerox C310 (Чёрный, 3000 стр.);50.0;bulat_2026-08-18_p16;;;sa1BFKaFhbJ0nHSMBuCXM2;7;6207;Тонер-картридж Xerox 006R04360 для C310/315, Bk, 3K, Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6288;Набор картриджей 006R04360-006R04363 Xerox;0992;Тонер-картридж БУЛАТ s-Line 44469809 для Oki C310, C510, C511, MC361, MC362 (Чёрный, 3500 стр.);
bulat;BFRXPH6125100;Драм-юнит БУЛАТ s-Line 676K05360 для Xerox Phaser 6125 (Цветной, 30000 стр.), ref.;50.0;bulat_2026-08-18_p5;;;jGqd34yMh4i4LF5YlFHRj0;0;;;;;;;;
bulat;DFCNDX4825010;Тонер-картридж БУЛАТ s-Line C-EXV62 (Чёрный, 42000 стр.)  для Canon iR DX 4825i;20.0;bulat_2026-08-18_p15;;;KM0nt0dTiC1NVSs8iIx9Y1;1;7078;Драм-картридж Canon iR DX 4825i C-EXV62;"НЕ СОВПАЛО: ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";;;;;
