nm_id;артикул;название;ключей;макс_частота;топ-3 запроса;шт_3мес;выручка_3мес
199565916;08262;Картридж для Samsung SCX-4650N;1;0;skx 4650n картиридж;1.0;3282
199570713;06121;Картридж для Xerox Phaser 3635;1;1;xerox phaser факс,сканер, ксерокс .3100;1.0;3278
181081321;0812;Картридж CE320A для HP LJ Pro Color CM1415fn черный;1;2;ce320a;2.0;3249
327898894;38981;Картридж для HP OfficeJet 8013;1;1;картриж для принтера hp 8013;2.0;3228
199565338;07292;Картридж для Canon iR-1133A;1;1;картридж санон 1133if;2.0;3182
199565878;12857;Картридж для Brother MFC-L5700dn;1;1;картридж mfc l5700dn;2.0;3179
967514301;55192;Картридж для HP LaserJet M110we;1;1;картридж hp laserjet m110;1.0;2965
199335605;5336;Картридж 703 для Canon LBP2900, LBP-3000 черный;1;2;canon lbp2900;3.0;2922
681357800;0271;Картридж CLT-M407S для Samsung CLX-3180, CLX-3180 пурпурный;2;1;картриджи для clp-325 | самсунг сlp 320 картридж цветной;1.0;2834
967519003;326213;Картридж для M6506NW;1;2;картридж ев 211;1.0;2817
200166368;02804;Картридж для Samsung SCX-3205;1;4;картридж для принтера samsung scx 3205;1.0;2542
209712718;018214;Картридж для Canon Pixma MP150;1;1;картриджи на принтер canon pixma 150;1.0;2509
257945575;5381;Картридж 055 для Canon MF-741, MF-742, MF-741 пурпурный;1;3;картридж 055;1.0;2494
964955028;326210;Картридж для P2516;1;4;картридж для принтера p2516;1.0;2436
199334856;3526;Картридж 53601 для Primera Bravo 4100 голубой;1;1;картридж для принтера primera;1.0;2403
199330539;0239;Картридж TK-160 для Kyocera FS-1120, FS-1120D черный;2;1;картридж для куосера fs-1120d | краска для принтера куосера 1120 тк -160;2.0;2352
199331153;0265;Картридж CLT-K409S для Samsung CLP-310, CLP-310 черный;1;1;samsung clp-315 картридж;1.0;2300
200165827;32323;Картридж для HP LaserJet Pro M428;1;1;картридж hp laserjet 428;1.0;2249
209664086;042411;Картридж для HP DeskJet 840c;1;2;hp #15 чёрный картридж c6615da;1.0;2207
199572585;13761;Картридж для HP LaserJet Pro M102w;1;1;катоидж на принтер hp m102a;2.0;2110
181082745;0208;Картридж CE310A для HP LJ Pro 100 M175a черный;2;4;картридж для принтера hp 1025 | се310а;2.0;2082
261176599;5582;Картридж W1350X для HP LJ M209, LJ M209dw черный;1;1;w1350x;1.0;2021
236322621;5335;Картридж FX-10 для Canon FAX-L100, FAX-L120, FAX-L75 черный;2;13;картридж fx10 | картридж cenen fx-10;2.0;2019
199572465;11684;Картридж для Canon i-SENSYS MF217w;1;1;canon i-senss mf 217 w;1.0;2005
964263356;02494;Картридж для Brother DCP-7060DR;1;1;картридж для принтера brother dcp 7060dr;1.0;2000
192567449;0340;Картриджи 82 для HP DJ 510ps, DJ 800 series, DJ 510ps;1;1;катридж на sony dpp-fp67;1.0;1943
216341342;00022;Картридж для HP LaserJet 1012;1;1;картридж на принтер lazerjet 1012;2.0;1932
216360694;1620;Картридж 715 для Canon LBP-3310, LBP-3370 черный;1;1;715762www;1.0;1821
216422370;00028;Картридж для HP LaserJet 3015;1;1;картридж laserjet1020;1.0;1790
208143050;5224;Картридж 057 для Canon LBP 223 dw, LBP-225, MF 443dw черный;1;4;картридж canon 057;1.0;1756
200166011;08512;Картридж для Brother HL-L2340DWR;2;1;картридж hl-l2340dwr | картридж для принтера brother l2340;2.0;1736
181105237;0962;Картриджи 711 для HP DJ T525, DJ T525, DJ T525;1;3;hp 711 картридж;1.0;1726
327898202;30832;Картридж для HP OfficeJet Pro 6960;1;1;картридж на hp officejet pro 6960;1.0;1657
263819892;0759;Картридж CLI-521GY для Canon Pixma MX860, Pixma MX870 серый;1;1;катридж для принтера санон мр610;2.0;1588
199335387;4203;Картридж TL-5120 для BM5100ADW, BP5100DW черный;2;2;colortek tl-5120x | pl-c5120xp;1.0;1566
199570118;006019;Картридж для Canon i-SENSYS MF419x;1;2;картридж mf 419x;1.0;1504
216429750;01175;Картридж для Kyocera FS-1116MFP;1;3;картридж к fs. -1020 mfp;1.0;1390
181115878;2315;Картридж TN-1095 для Brother DCP-1602, DCP-1602R черный;1;7;картридж brother tn-1095;1.0;1308
199566531;02373;Картридж для Kyocera EcoSys M2035DN;3;6;картридж куосера | ecosys m2035dn | картридж для куосера 2035dn;1.0;1196
181123565;0852;Фотобарабан DR-2335 DU для Brother DCP-L2500 черный;1;1;картридж на бротхер dr2335;1.0;1122
199565810;007412;Картридж для Brother FAX-2920;1;50;факс;1.0;1120
199572275;10832;Картридж для Xerox WorkCentre 5021;1;1;xerox workcentre 5021;1.0;1105
326846207;1484;Картридж PGI-1400XLC для Canon MB2050, MB2050 голубой;1;2;картридж для принтера canon 2040;2.0;1046
192228130;1230;Картридж LC565XLY для Brother MFC-J2310, MFC-J2510 желтый;1;1;катридж для принтера бразерс mfc j3520;2.0;1020
200166349;079220;Картридж для Samsung CLX-3305FW;1;1;картридж samsung clx-3305;1.0;1002
292510233;5761;Чернила 108/008 Y для Epson EcoTank L18050, L6490 желтый;1;20;чернила epson l8050;2.0;938
216356781;45995;Лента для принтера для Epson LQ-630;1;1;лента экондера эпсон;1.0;932
199566659;02307;Картридж для Panasonic KX-FLC413;1;2;катридж для факса панасоник  kx-fl 423;1.0;766
199330792;1380;Картридж CF233A для HP LJ Ultra M106w черный;1;1;картридж для принтера hp cf233a;1.0;765
181115845;1486;Картридж PGI-1400XLY для Canon MB2340, MB2340 желтый;1;2;картридж для принтера canon 2040;1.0;763
181115839;1485;Картридж PGI-1400XLM для Canon MB2140, MB2140 пурпурный;1;2;картридж для принтера canon 2040;1.0;763
192228121;0598;Картридж LC-1100Y для Brother MFC-290C, MFC-295CN желтый;1;1;катридж для принтера бразерс mfc j3520;1.0;739
263820179;0184;Картридж CLI-426BK для Canon Pixma iP4840 черный;1;2;картридж для принтера 426 cannon;2.0;734
263819889;0133;Картридж CLI-521M для Canon Pixma MP610 пурпурный;2;3;катридж для принтера санон мр 610 | катридж для принтера санон мр610;2.0;717
209753786;03183;Картридж для HP DesignJet 500 Plus;1;2;катретж hp 500plus;1.0;645
200167553;35541;Картридж для Canon Pixma TS704;1;1;картриджи для canon pixma ts704 serios;1.0;633
199565754;08388;Картридж для Epson Expression Home XP-323;1;1;катридж для epson xp323;1.0;505
209712616;15324;Картридж для Epson Stylus Office TX510fn;1;0;катриджи для принтера epson tx 510fn;1.0;344
964500112;232110;Картридж для HP LJ M632h;1;500;картридж для принтера hp;0;0
1003733012;69472;Картридж для HP MFP E52545;1;500;картридж для принтера hp;0;0
199570711;06081;Картридж для Xerox Phaser 3450;1;291;ксерокс;0;0
209756984;17652;Картридж для OKI Data B720;1;119;даты;0;0
216429495;2219;Картридж PR2 для Olivetti PR2 черный;1;57;olivetti;0;0
546990263;6623;Фотобарабан + картридж 101R00664 DU+106R04348 для Xerox;1;10;106r04348;0;0
1003254683;32572;Заправочный комплект для M6552NW;1;8;заправочный комплект для картриджа;0;0
257941150;2372;Картридж MPC5502EK для Ricoh MP C4502, MP C4502 черный;1;8;картридж для принтера ricoh;0;0
850502834;5690;Заправочный комплект HP 920 CMY для HP OfficeJet 6000;1;8;заправочный комплект для картриджа;0;0
199331195;2412;Картридж TK-8115C для Kyocera M8124cidn, M8130cidn голубой;1;6;tk-8115c;0;0
1002608618;10535;Комплект картриджей для Samsung Xpress C1860FW;1;6;картридж лазерный для принтера samsung;0;0
914561915;6756;Картридж MLT-D101S XL для Samsung ML-2160, ML-2161 черный;2;6;картридж лазерный для принтера samsung | картридж samsung mlt-d101s оригинальный;0;0
1003717030;67551;Картридж для Canon PIXMA MG2450;1;5;canon pg-545;0;0
900427593;6843;Картридж SCX-D4720A для Samsung SCX-4520, SCX-4720 черный;1;5;samsung 4520;0;0
264242198;;;1;5;264242198;0;0
1003716438;65931;Фотобарабан для Lexmark MB2770;1;5;lexmark;0;0
1003295047;35852;Картридж для Canon LBP-712;1;5;картридж 712;0;0
967450156;273040;Лента для принтера для Brother PT-1100;1;5;pt1100;0;0
964465156;153015;Картридж для Epson Stylus Color Photo EX2;1;5;ex 2;0;0
199334905;3646;Картридж C-EXV51M для Canon iR Advance C5550 пурпурный;1;4;картридж для принтера canon mgs140;0;0
181052387;0211;Картридж CE313A для HP LJ Pro Color CP1025 пурпурный;1;4;картридж для принтера hp 1025;0;0
181082742;0209;Картридж CE311A для HP LJ Pro Color CP1020 голубой;2;4;картридж для принтера hp 1025 | картридж для принтера hp m175a;0;0
476427247;5708;Картридж F-1500X для Huawei PixLab X1 черный;2;4;картридж лазерный huawei f-1500 черный | барабан для принтера huawei share;0;0
199331757;0264;Картридж 106R01413 для Xerox WC 5222 черный;1;4;106r01413;0;0
199565909;12853;Картридж для Brother HL-L5100dnt;1;4;картридж для принтера brother hl-l5100dn;0.0;0
199574159;34486;Картридж для Canon i-SENSYS MF446x;1;4;картридж canon 057;0;0
850428032;6866;Картридж 057 для Canon LBP 223 dw, LBP-225, MF 443dw черный;1;4;картридж canon 057;0;0
199565753;01885;Картридж для Epson Stylus SX425W;1;3;картридж для принтера epson sx 425w;0;0
209663704;3486;Картридж PG-445XL для Canon Pixma TR4540 черный;1;3;cl 446 xl картридж;0;0
1002562375;082510;Картридж для HP LaserJet Pro M128;1;3;картридж лазер джет м1132 mfp;0;0
859072573;53356;Картридж для Canon i-SENSYS MF4330;1;3;картридж для принтера i-sensys mf4018;0;0
199574616;53348;Картридж для Canon i-SENSYS MF4270;1;3;картридж для принтера i-sensys mf4018;0;0
200163069;14836;Картридж для Canon MAXIFY MB2740;1;3;canon mb2740;0;0
847847973;01987;Картридж для HP PhotoSmart C4283;3;3;hp photosmart c4283 | картриджи для принтера hp c 4283 черный | картриджи на hp photosmart c4283;0;0
200165127;03077;Картридж для HP PhotoSmart D6153C;1;3;картридж 129 hp;0;0
209664294;14561;Картридж для Canon Pixma MP210;2;3;картридж для принтера canon pixma mp210 | катридж мр210 в 38;0;0
209729251;3940;Картридж 055BK для Canon LBP-662, LBP-663, LBP-662 черный;1;3;картридж 055;0;0
209758427;21884;Картридж для HP PageWide P57750;1;3;картридж для hp page;0;0
1283560463;7093;Тонер 106R02773 для Xerox Phaser 3020, Phaser 3020BI черный;1;3;тонер для принтера xerox 3020;0;0
964372387;013015;Картридж для Canon Pixma MP610;1;3;катридж для принтера санон мр 610;0.0;0
209729262;3943;Картридж 055Y для Canon MF 743, i-SENSYS MF744 желтый;1;3;картридж 055;0;0
964372843;01306;Картридж для Canon Pixma MP560;1;3;canon 560;0;0
209732142;4539;Картридж 123 для HP DeskJet 1110, DeskJet 2130 цветной;1;3;картридж на hp deskjet 2130;0;0
209755135;11722;Картридж для Kyocera FS-1325MFP;1;3;картридж к fs. -1020 mfp;0;0
967331154;34866;Картридж для Canon Pixma MG2540;1;3;картриджи на canon mg2500;0;0
261996780;3031;Фотобарабан DK-1105 DU для Kyocera FS-1024, FS-1110 черный;1;3;dk-1110;0;0
261154358;5402;Картридж 056 для Canon MF542x, MF543x, LBP325 черный;1;2;картридж canon 056;0;0
257945607;5403;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;1;2;картридж canon 056;0.0;0
216422208;000214;Картридж для HP LaserJet M1005;1;2;картридж для laser m1005;0.0;0
200165997;02481;Картридж для Brother HL-2132R;1;2;картридж для принтера brother hl 2132r;0.0;0
209734050;4840;Картридж T46S2 для Epson SureColor P700 голубой;1;2;epson p700;0;0
264243254;3138;Картридж T1704 для Epson XP-323, XP-33, XP-323 желтый;1;2;картриджи для epson xp-103;0;0
199570389;04072;Картридж для HP Color LaserJet CP4525;1;2;hp color laserjet cp4525 картриджи;0;0
199335590;5337;Картридж Q2624A для HP LJ 1150, LJ 1150N черный;1;2;картридж q2624a;0;0
1003091244;29783;Картридж для Ricoh Aficio SP203;1;2;картридж для принтера ricon sp 212;0;0
199570545;04971;Картридж для Epson Stylus Photo R240;1;2;картриджи для epson r240;0;0
270394789;5368;Картридж TL-5120X для BP5100DN, BP5100DW черный;1;2;colortek tl-5120x;0;0
964849573;14343;Картридж для Toshiba e-Studio 211;1;2;рс-211е картридж;0;0
181104963;0079;Картриджи T0801-T0806 для Epson набор cmyk lclm;2;2;катридж на принтер epson | картридж 804;0;0
199565268;001833;Картридж для Canon PC-325;1;2;canon 325 картридж;0;0
964245639;11915;Картридж для HP LaserJet Pro M426fdn;1;2;картридж для laserjetм 426 fdn;0;0
209713719;3424;Картридж MLT-D203S для Samsung SL-M3320, SL-M3370 черный;1;2;картридж mlt-d203;0;0
263820329;0299;Картридж T0803 для Epson Stylus Photo PX700W пурпурный;1;2;катридж на принтер epson;0;0
209753864;04343;Картридж для HP Officejet 4550;1;2;картриджи для принтера hp 901;0;0
199331738;5362;Картридж 729 для Canon LBP7010C, LBP7018C пурпурный;1;2;картриджи на принтер canon lbp7010c;0;0
1003683015;58931;Картридж для Canon imagePROGRAF TM-240;2;2;canon tm240 картридж | картридж для canon tm240;0;0
199334159;2356;Картридж CF231A для HP LJ M206dn Ultra черный;1;2;cf231a;0;0
200164615;020031;Картридж для HP DeskJet F2187;1;2;hp deskjet f2187;0;0
199574411;43333;Картридж для P2502;1;2;картридж p2502;0;0
850428263;6861;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;1;2;картридж canon 056;0;0
386325236;5918;Печатающая головка C4812A для HP InkJet 1100 пурпурный;1;2;печатающая головка hp 11 c4812a;0;0
964779154;02308;Картридж для Panasonic KX-FLC423;1;2;катридж для факса панасоник  kx-fl 423;0;0
964549292;39461;Картридж для HP PageWide-Pro 577;1;2;катридж hp 57750;0;0
209779465;44337;Чернила для Epson EcoTank M2140;1;2;чернила для epson tank;0;0
211435877;4843;Картридж T46S5 для Epson SureColor P700 светло-голубой;1;2;epson p700;0;0
199572277;10831;Картридж для Xerox WorkCentre 5019;1;2;xerox workcentre 5019;0;0
964540283;019856;Картридж для HP PhotoSmart C5275;1;2;картридж hp-140;0;0
200165789;08941;Картридж для HP DJ Ink Advantage 3525;1;2;картриджи hp deskjet 3525;0;0
200165317;03073;Картридж для HP PhotoSmart 8053;1;2;катридж для принтера 129;0;0
860417199;00603;Картридж для Canon i-SENSYS MF5880s;1;2;картридж canon 719;0;0
209664365;14562;Картридж для Canon Pixma MP220;1;2;canon mp220;0;0
964828304;13314;Картридж для Samsung Xpress SL-M2826;1;2;sumsung printer xpress картридж;0;0
546852116;6620;Фотобарабан + картридж 56F0Z00/56F0Z0E+56F5U0E для Lexmark;1;2;картридж для принтера лексмарк;0;0
215239977;015122;Картридж для Epson Stylus TX200;1;2;epson stylus tx200.;0;0
216425080;01822;Картридж для Canon Pixma iP1300;1;2;pg-40 картридж;0;0
1251130726;7078;Фотобарабан C-EXV62 для Canon iR ADVANCE DX 4825 черный;1;2;canon ir 4845;0;0
209748444;4847;Картридж T46SD для Epson SureColor P700 фиолетовый;1;2;epson p700;0;0
209665041;03039;Картридж для HP DeskJet 3520;1;2;deskjet 3520 ,принтер;0;0
1002558478;03411;Комплект картриджей для HP Officejet Pro 8000 Wireless;1;1;hp officejet 8000 pro;0;0
209664839;3519;Картридж T9442 для Epson WF Pro C5215, WF Pro C5215 голубой;1;1;картридж для принтера epson c-5290;0;0
200165849;32322;Картридж для HP LaserJet Pro M404;1;1;картридж hp 404;0;0
199565524;03251;Картридж для HP OfficeJet 6000;1;1;принтер hp 7500a;0;0
199333027;1043;Картридж MLT-D203L для Samsung SL-M3320, SL-M3370 черный;1;1;картридж для принтера rtc mlt-d203l;0;0
209760940;30741;Картридж для HP DesignJet T730;1;1;hp 730;0;0
199574427;44811;Картридж для CP1100;1;1;катридж для принтера панту cp1100dw;0;0
478553860;5397;Фотобарабаны 108R00971 - 108R00974 для Xerox Phaser 6700;1;1;108r00972;0;0
964393998;12384;Картридж для Canon iPF-605;1;1;картридж canon pfi-102вк черный 130мл;0;0
199333271;1157;Картридж CE278X для HP LJ M1536dnf MFP, LJ P1566 черный;1;1;лазерный катридж ce278a;0;0
1003697277;62622;Картридж для Lexmark MX331adn;1;1;картридж для принтера лексмарк 331;0;0
215236256;1876;Картридж PFI-107MBK для Canon iPF770, iPF770 черный матовый;1;1;aquamarine картридж pfi-107mbk;0.0;0
964915587;53692;Картридж для Kyocera EcoSys M2540dn;1;1;картридж ecosys m 2540dn;0;0
199332417;0760;Картридж CE270A для HP LJ CP5520, LJ CP5525 черный;1;1;картридж gd th 270;0;0
199572244;;;1;1;199572244;0;0
199332429;0716;Картридж 718M для Canon MF729Cx, MF8330 пурпурный;1;1;картридж canon 729;0;0
199574438;44815;Картридж для CM1100ADN;1;1;катридж для принтера  cm1100adn;0;0
199565741;08381;Картридж для Epson Expression Home XP-33;1;1;epson принтер xp 33 картриджи;0;0
1402120802;7183;Тонер TK-1140 для Kyocera M2035, M2035DN, M2535 черный;1;1;узел проявки принтера kyocera 2030dn в сборе;0;0
199332171;0652;Картридж 106R01163 для Xerox 935, Phaser 7760, 935 черный;1;1;катридж xerox phaser 7760;0;0
860493520;02372;Картридж для Kyocera FS-1135MFP;1;1;картридж куосера 1035;0;0
192567656;0756;Картриджи CE410A-CE413A для HP HP M451nw, HP M451nw;1;1;ce410x-ce413a для hp;0;0
200166698;11441;Картридж для Xerox Phaser 3052;1;1;купить картридж phaser 3052;0;0
209713624;3076;Картридж №727 для HP DJ T920, DJ T1500 черный матовый;2;1;hp t1500 картридж чип | чип картриджа hp 727;0;0
439265580;6253;Картридж W2223A для HP LJ Pro 3203, LJ Pro 3288 пурпурный;1;1;hp 222a;0;0
199331763;0268;Картридж CLT-Y409S для Samsung CLX-3175, CLX-3175 желтый;1;1;samsung clp-315 картридж;0;0
216432066;2864;Картридж №727 для HP DJ T920, DJ T920, DJ T920 серый;2;1;hp t1500 картридж чип | чип картриджа hp 727;0;0
505027867;6329;Картридж TK-1140XL для Kyocera M2035, M2535, FS-1300 черный;1;1;узел проявки принтера kyocera 2030dn в сборе;0;0
261176934;5583;Картридж W1350X для HP LJ M209, LJ M209dw черный;1;1;w1350x;0;0
1002686387;16161;Картридж для Brother MFC-8520;1;1;картридж для brother 8950;0;0
964356265;02121;Картридж для Canon i-SENSYS LBP-5000;1;1;canon i-sensys lbp5000;0;0
272510376;0134;Картридж CLI-521Y для Canon Pixma iP3600, Pixma MP620 желтый;2;1;картридж для canon 3600 | катридж для принтера санон мр610;0;0
216432038;2861;Картридж №727 для HP DJ T1530, DJ T1530, DJ T1530 голубой;1;1;чип картриджа hp 727;0;0
1002569479;08545;Картридж для Brother MFC-8950DTW;1;1;картридж для brother 8950;0;0
964491339;43131;Картридж для HP LaserJet Pro M203d;1;1;картридж для hp lj pro mfp m227fdn 6000 страниц;0;0
967297132;08532;Картридж для Brother HL-5450DN;1;1;картридж на принтер brother hl- 5450;0;0
216424887;01033;Картридж для HP LaserJet P 4515;1;1;hp laserjet 4515;0;0
199333776;1968;Картридж C-EXV34M для Canon iR Advance C2220i пурпурный;1;1;199333776;0;0
199571874;07458;Картридж для HP LaserJet P3010;1;1;картридж hp laserjet 3010;0;0
209715164;1338;Картридж 006R01177 для Xerox WC 7345, WC 7345 пурпурный;1;1;006r01177;0;0
1004593104;7009;Фотобарабан + картридж DL-5120+TL-5120H для BP5100DN черный;1;1;барабан для dl5120;0;0
1002906570;21932;Фотобарабан для HP LaserJet Pro M132;1;1;картридж на принтер laserjet m132;0;0
506175691;02497;Картридж для Brother MFC-7360NR;1;1;катридж для бразер 7360nr;0;0
262632000;5414;Чернила GI-41C для Canon Pixma G1420, Pixma G2420 голубой;1;1;canon 41s c gi-41<c> setup;0;0
862899273;0312;Картридж 138 для HP DeskJet 460, DeskJet 5443, DeskJet 5743;3;1;326847167 | картридж hp 136 | картриджи hp photosmart d5063;0;0
1001410614;00274;Картридж для HP LaserJet P2055x;1;1;картридж дляhp2055;0;0
200163297;019419;Картридж для HP PhotoSmart 7450;1;1;картриджи для принтера hp photosmart 7450;0;0
199566474;23656;Картридж для Kyocera EcoSys M2835dw;1;1;картридж kyocera ecosys m2835dw;0.0;0
216361015;5100;Фотобарабан DK-3100 для Kyocera M3040dn, M3540dn черный;1;1;фотобарабан dk3100;0;0
209755734;14601;Картридж для Epson K101;1;1;картридж snprc-1901-01;0;0
681357602;0272;Картридж CLT-Y407S для Samsung CLX-3185, CLX-3185 желтый;2;1;картриджи для clp-325 | самсунг сlp 320 картридж цветной;0;0
216405918;1610;Картридж 106R01373 для Xerox Phaser 3250 черный;1;1;xerox 3500;0;0
1283865333;7109;Тонер W1103A для HP 1000a, 1000w, 1200a, 1200w черный;1;1;тонер для 1200w;0;0
209664957;2706;Картридж 123XL CMY для HP DeskJet 2630 цветной;1;1;картридж цветной hp 123 or 123xl;0;0
209666219;1337;Картридж 006R01176 для Xerox WC 7335, WC 7335 голубой;1;1;006r01176;0;0
964709476;08632;Картридж для Kyocera FD-2100DN;1;1;картридж принтера 2100dn;0;0
1003658533;58641;Тонер-картридж для Ricoh IM C3010;1;1;тонер ricoh универсальный;0;0
1284271625;7135;Тонер W1106 для HP Laser 107A, Laser 107R черный;1;1;hp mfp 135a тонер;0;0
964257483;08531;Картридж для Brother HL-5440D;1;1;картридж на принтер brother hl- 5450;0;0
964792817;3525;Картридж 53604 для Primera Bravo 4100 черный;1;1;картридж для принтера primera;0;0
200165230;030528;Картридж для HP DeskJet 970;1;1;картридж для принтера hp deskjet 970;0;0
209664837;3521;Картридж T9444 для Epson WF Pro C5710, WF Pro C5710 желтый;1;1;картридж для принтера epson c-5290;0;0
215241732;52462;Картридж для Lexmark LaserPrinter MS421;1;1;лексмарк картридж ms421;0;0
181116726;4394;Картридж PG-440 для Canon Pixma MG2140, Pixma MG2240 черный;1;1;картридж кэнон тс3640;0;0
551991345;3217;Фотобарабаны C-EXV49 DU для Canon iR Advance C3520;1;1;c-exv 49;0;0
967496400;53413;Картридж для Samsung ML-1620;1;1;картридж для принтера самсунг1620 мл;0;0
