offer_id,product_id,name,status_name,moderate,validation,status_failed,selling,hard_errors,all_errors,codes
1397,453347388,"Картридж TN-320M для принтеров Brother и HL-4150CDN, HL 4570 cdw, MFC-9460CDN, MFC956 пурпурный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6649,2803651654,"Фотобарабан + картридж DR-311K DU+TN-216 для принтеров Konica Minolta Bizhub 280, Bizhub C220",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
24522,4821081108,Картридж для Lexmark 720 X720,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
46642,4848622891,Картридж для Brady BMP 51,Готов к продаже,approved,success,,1,0,1,erased_attribute_value
045124,4772967558,Картридж для Canon Bubble Jet i990,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2698,455888784,"Картридж T6061-T6069 для принтеров Epson и Stylus Pro 4800, Stylus Pro 4880 набор cmyk lclm",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
24884,4821081728,Фотобарабан для Samsung Xpress M 2675,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
2573,455888423,"Картриджи T0331-T0336 для принтеров Epson и Stylus 950, Stylus 960 набор cmyk lclm",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
01244,4759268870,Лента для принтера для Panasonic KX-FP218,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
38553,4837714453,Чернила для Epson EcoTank M-200,Продается,approved,success,,1,0,4,attribute_hierarchy_fail warning_attribute_values_out_of_range
2285,455887926,"Картриджи CLP-600A для принтеров Samsung и CLP-600, CLP 600N",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
02373,329697825,Картридж для Kyocera EcoSys M2035DN,Продается,approved,success,,1,0,1,double_without_merger_offer
2713,455888796,"Картриджи GC-31 для принтеров Ricoh и Aficio 3300, 3350, 5550N, 7700, GXe2600",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
1031,452138754,"Картриджи 43487733-43487736 для принтеров OKI и C8600, C8800",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2611,455888418,"Чернила T664 для принтеров Epson L100, L110, L130, L1300, L200, L210, L220, L222 L300 L3050 L310 L312 L350 L355 L362 L364 L382 L386 L455 L456 L486 L550 L555 L565 L566 L605 L655",Продается,approved,success,,1,0,1,warning_attribute_values_out_of_range
08161,4793382431,Картридж для Samsung SL-M2620D,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
5138,4136774755,Фотобарабаны 43913805 - 43913808 для принтеров OKI C710,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0009,451742630,"Картриджи TN-320 для принтеров Brother HL-4150CDN, HL 4570 cdw, MFC-9460CDN, MFC956",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
5273,694984705,"Картриджи №981X для принтеров HP PageWide Color 556, PW Color MFP 586 dn",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3506,457221261,"Картриджи PFI-1700 для принтеров Canon iPF PRO 2000, iPF PRO 4000",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3955,457221978,Картриджи 44059228-44059225 для принтеров OKI Data MC860,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
5128,607711969,"Картридж 44968301 для принтеров OKI и C331, C531, Data C301, Data C321, MC332, MC342, MC562 черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0035,330058270,Картридж SCX-4200 для принтеров Samsung SCX-4200 черный,Продается,approved,success,,1,0,2,pics_http_error some_image_failed
01243,4759268855,Лента для принтера для Panasonic KX-FP215,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
045114,4772966043,Картридж для Canon Bubble Jet S820d,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
00779,4759259318,Комплект картриджей для Canon Pixma i990,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
02799,4759344521,Картридж для Samsung ML-3310ND,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
5646,1216305681,"Чернила Canon Dye KCMY для принтеров Canon Pixma G1400, PixmaG1410",Готов к продаже,approved,success,,1,0,2,warning_attribute_values_empty warning_attribute_values_out_of_range
6644,2803290963,"Фотобарабан + картридж 12A8302 DU+34016HE для принтеров Lexmark E230, E232, E240, E330, E340, OptraE234, Optra E330 черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
045112,4772965906,Картридж для Canon Bubble Jet S800,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
1398,453347437,"Картридж TN-320Y для принтеров Brother и HL-4150CDN, HL 4570 cdw, MFC-9460CDN, MFC956 желтый",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
46641,4848622944,Картридж для Brady BMP 41,Готов к продаже,approved,success,,1,0,1,erased_attribute_value
1127,452138944,Картриджи 106R01514-106R01511 для принтеров Xerox и Phaser 6700,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2257,455887809,"Картриджи T019-T020 для принтеров Epson и Stylus Color 880, Stylus 880i",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
085111,329357946,"Картридж для Brother MFC-L2720DWR, MFC-L2740DWR, DCP-L2500DR, DCP L2520DWR, HL-L2300DR, HLL2340DWR, HL L2360DNR, HL-L2365DWR, HL L2380 MFCL2700DWR",Продается,approved,success,,1,0,1,double_without_merger_offer
5025,604360642,"Картридж T7541-T7544 для принтеров Epson и WorkForce Pro WF-8090, WF-8590",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
5334X2,5622740198,"Комплект картриджей FX-9 (2 шт.) на 4000 страниц для принтеров Canon Fax L95, FAX-L100, FAX L75, MF4018, MF4100, ImageCLASS 4680, L120",Продается,approved,success,,1,0,2,attribute_hierarchy_fail
2496,455888331,Картридж S051100 для принтеров Epson EPL N7000 черный,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
59591,4867697854,Фотобарабан для Brother HL-L2400DW,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
5122,607711644,"Картриджи 44059169-44059172 для принтеров OKI и Data MC851, Data MC861",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2620,455888530,"Картриджи 17G0050-17G0060 для принтеров Lexmark и Color JetPrinter Z12, Z22, Z32, CompaqIJ600",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2506,455888395,Картриджи S050088-S050091 для принтеров Epson AcuLaser C4000,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
01241,4759268753,Лента для принтера для Panasonic KX-FP205,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
4983,603221267,Картриджи PGI-72 для принтеров Canon Pixma PRO-10,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
04518,4772969207,Картридж для Canon Bubble Jet F900,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
5334X6,5622740557,"Комплект картриджей FX-9 (6 шт.) на 12000 страниц для принтеров Canon Fax L95, FAX-L100, FAX L75, MF4018, MF4100, ImageCLASS 4680, L120",Продается,approved,success,,1,0,2,attribute_hierarchy_fail
3165,457220699,Картриджи 106R01456-106R01459 для принтеров Xerox Phaser 6128,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2623,455888601,"Картриджи 10N0217-10N0227 для принтеров Lexmark и Color JetPrinter Z13, JetPrinter Z23, Z34, CompaqIJ650, i3, X1130, X1150, X1270 X2250 X72 X74 X75 Z513 Z515 Z601 Z602 Z611 Z612 Z640 Z645",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
7158,5643266557,Тонер KX-FAT411A KX-FAT400A KX-FAT410A KX-FAT421A KX-FAT430A KX-FAT431A для Panasonic черный,Готов к продаже,approved,success,,1,0,4,attribute_hierarchy_fail
13055,4803812728,Картридж для Lexmark Optra E342TN,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
2904,455889197,Картриджи SP-C811 для принтеров Ricoh и Aficio T SPC811 DNHE,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2241,455887791,"Картриджи TN-130 для принтеров Brother и DCP-9040CN, DCP 9045CN, HL-4040 cn, HL4050CDN, HL-4070, MFC-9440CN, MFC9450",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0073,451742943,Картриджи №822A для принтеров HP и Color LaserJet 9500,Готов к продаже,approved,success,,1,0,2,cover_unprocessed warning_attribute_values_empty
01248,4759269204,Лента для принтера для Panasonic KX-FC255,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
24822,4821081210,Картридж для Samsung ML-5050,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
53347,4848630400,Картридж для Canon i-SENSYS MF4150,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
3421,457221128,Картриджи CE400X-CE403X для принтеров HP и Color LaserJet M551,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0095,451743394,Картриджи T066-T067 для принтеров Epson и Stylus C48,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2248,455887806,"Картриджи EP-87 для принтеров Canon и i-SENSYS LBP5200, ImageClass MF8180C, LBP 2410",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0355,451767913,Картриджи Q2681A-Q2683A для принтеров HP Color LaserJet 3700,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6394,2509013796,"Картриджи TNP-48 для принтеров Konica Minolta Bizhub C3350, Bizhub C3850",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
5262,3549624146,Картриджи 106R01316 - 106R01319 для принтеров Xerox WorkCentre 6400,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3736,457221575,"Картриджи T5801-T5809 для принтеров Epson Stylus Pro 3800, Stylus Pro 3880 набор cmyk lclm",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
21091,4807071645,Картридж для Sharp AR-5420,Продается,approved,success,,1,0,3,attribute_hierarchy_fail warning_attribute_values_out_of_range
54951,4848640640,Картридж для HP LaserJet Tank 1502w,Продается,approved,success,,1,0,2,pics_http_error some_image_failed
00772,4759258814,Комплект картриджей для Canon Pixma S820d,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
59695,4867698177,Картридж для Brother DCP-L2627DW,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
32657,4834690174,Картридж для P5005,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
0046,451742923,"Картридж 106R01204 для принтеров Xerox и Phaser 6110, Phaser 6110MFP желтый",Продается,approved,success,,1,0,2,pics_http_error some_image_failed
6677,2811855304,"Фотобарабан + картридж 113R00672 DU+006R01046 для принтеров Xerox BookMark 40, BookMark 55, CopyCentre 232, CopyCentre 238, DocuCentre 535, DocuCentre 545, WC245, WC 255 WC265 WC-275 WC 5030 черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
248812,4821081864,Фотобарабан для Samsung Xpress M 2885,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
6486,2546771974,Картриджи 106R01214-106R01217 для принтеров Xerox Phaser 6360,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2561,455888431,"Картриджи T015-T016 для принтеров Epson и Stylus Photo 2000, Stylus Photo 2000P",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
01432,4759281023,Картридж для Epson Stylus C43UX,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0096,451743396,"Картриджи T0441-T0444 для принтеров Epson и Stylus C64, Stylus C66",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6994,4401284634,"Фотобарабаны 76C0PK0-76C0PV0 для принтеров Lexmark CS921de, CS923de, CX921de, CX922de",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3126,457220749,Картриджи 106R00672-106R00675 для принтеров Xerox Phaser 6250,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
4937,601155993,Картриджи X792X1KG - X792X1YG для принтеров Lexmark и LaserPrinter X792,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3139,457220763,"Картриджи T1701-T1704 для принтеров Epson Expression Home XP-103, XP 203, XP207, XP-303, XP306, XP 313, XP 33, XP403 XP413 XP 423",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2666,455888631,"Картриджи MX-27GT для принтеров Sharp и MX-2300N, MX 2700N, MX3500N, MX-4500N, MX4501N",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0283X6,5688460583,"Комплект картриджей PG-50BK (6 шт.) на 4800 страниц для принтеров Canon FAX-JX200, FAX JX210P, MP170, MP450, MX310, Pixma iP2200, PixmaMP150",Продается,approved,success,,1,0,2,attribute_hierarchy_fail
1389X2,5692240401,Комплект картриджей S050435 (2 шт.) на 16000 страниц для принтеров Epson AcuLaser M2000,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
59697,4867698147,Картридж для Brother DCP-L2627DWXL,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
24332,4821080660,Картридж для Canon C-330,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
5071,606569484,"Картриджи TN-616 для принтеров Konica Minolta и Bizhub PRESS C6000, PRESS C7000",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
4405,457713140,"Картриджи 2044C001 - 2048C001 для принтеров Canon Pixma TR8540, Pixma TS6140",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
57733,1273348830,"Картридж для Canon i-SENSYS MF461dw, MF463dw",Продается,approved,success,,1,0,1,double_without_merger_offer
00775,4759259070,Комплект картриджей для Canon Pixma i950d,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
02281,4759332722,Картридж для Epson EPL 6200,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
01242,4759268854,Лента для принтера для Panasonic KX-FP207,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3800,457221699,"Картриджи T04B1-T04B4 для принтеров Epson WorkForce Pro C8190, WF Pro C8690",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
55331,4848645688,Картридж для Canon iPF PRO-300,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2539,455888399,Картриджи 1710550 для принтеров Konica Minolta и Magicolor 3300,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6462,2508817987,Картриджи TN-214 для принтеров Konica Minolta Bizhub C200,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3613,457221391,"Картриджи 10-12 для принтеров HP и Business InkJet 1000, InkJet 1100, DJ-100, DJ110, DJ 500, DJ 70, DJ 800, DJ 815",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0083,451743266,"Картриджи T026-T027 для принтеров Epson и Stylus c50, Stylus Photo 810",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6981,4323458364,Фотобарабан + картридж PCM348+THM348 для принтеров Катюша М348 черный,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
5859,3706323725,"Фотобарабаны D320R105KK-D320IU90KY для принтеров Sindoh D330e, D332e",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
32655,3570242109,Картридж для P2050,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
02345,4759334205,Картридж для Panasonic KX-MB2051,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
4417,457713209,"Чернила GI-43 для принтеров Canon Pixma G540, Pixma G640",Продается,approved,success,,1,0,1,warning_attribute_values_out_of_range
13993,4803816856,Картридж для Brother MFC-9460CDN,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6482,2531980643,"Картриджи C-EXV17 для принтеров Canon iR-C4080i, iR C4580i, iR C5180i, iRC5185i",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
04517,4772968746,Картридж для Canon Bubble Jet F930,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6255,2396050915,"Чернила I-E100 для принтеров Epson EcoTank L3100, EcoTankL3101, L4150, L4160, L6160, L6170",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_out_of_range
6466,2513959575,"Картриджи TN-314 для принтеров Konica Minolta Bizhub C353, Bizhub C353P",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
24887,4821082003,Фотобарабан для Samsung Xpress M 2825ND,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
5107,607710445,"Картриджи 43459336-43459375 для принтеров OKI и Data C3500, DataC3520, MC350, MC360",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6267,2201601437,"Фотобарабаны 106R01417-106R01420 для принтеров Xerox Phaser 6510, WC 6515",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3250,457221047,"Картриджи T5431-T5438 для принтеров Epson и Stylus Pro 4400, Stylus Pro 4800 набор cmyk lclm",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6633,2797482461,"Фотобарабан + картридж W1104A+W1103A для принтеров HP Neverstop Laser 1000a, 1200a черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6540,2572049723,Картриджи S050146-S050149 для принтеров Epson AcuLaser C4100,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
1011,452138780,"Картриджи 43324401-43324404 для принтеров OKI и C5800, C5900",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6980,4323330269,"Фотобарабан + картридж 3770C002 (C-EXV58)+3763C002-3766C002 для принтеров Canon iR Advance DX C5840i, iR Advance DX C5850i черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2681,455888787,"Картриджи BCI-1411 для принтеров Canon и iPF W7200, iPF W8200",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
33502,4834690161,Картридж для P3100DN,Готов к продаже,approved,success,,1,0,4,attribute_hierarchy_fail warning_attribute_values_out_of_range
59593,4867697916,Фотобарабан для Brother MFC-L2960DW,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
3005,457220518,Картриджи 20K1400-1403 для принтеров Lexmark и LaserPrinter C510,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
13059,4803813268,Картридж для Lexmark Optra 234,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
0283X2,5688460763,"Комплект картриджей PG-50BK (2 шт.) на 1600 страниц для принтеров Canon FAX-JX200, FAX JX210P, MP170, MP450, MX310, Pixma iP2200, PixmaMP150",Продается,approved,success,,1,0,2,attribute_hierarchy_fail
57571,1274981101,"Картридж для Kyocera TASKalfa MZ3200, MZ3200i",Продается,approved,success,,1,0,1,double_without_merger_offer
130517,4803813094,Картридж для Lexmark Optra 342,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
1032X6,5690761326,"Комплект картриджей KX-FAT410A (6 шт.) на 15000 страниц для принтеров Panasonic KX-MB1500, KX MB1501, KXMB1507, KX-MB1510, KXMB1520, KX MB1530",Продается,approved,success,,1,0,4,attribute_hierarchy_fail
0178,451744227,"Картриджи CLT-508L для принтеров Samsung и CLP-615, CLP 620ND, CLX-6220FX, CLX6250FX",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6724,2819331804,"Фотобарабан + картридж OD-1600+T-1640 для принтеров Toshiba e-Studio 163, e Studio 165, eStudio 166, e-Studio 167, eStudio 205, e Studio 206 черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
31775,4824888858,Фотобарабан для Lexmark MS817,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
2261,455887848,"Картриджи TK-510 для принтеров Kyocera и FS-5025N, FS-C5020N",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0058,1832517135,"Картриджи PGI-9 для принтеров Canon Pixma iX7000, Pro9000 Mark II, Pixma PRO9500",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
1389X6,5692245882,Комплект картриджей S050435 (6 шт.) на 48000 страниц для принтеров Epson AcuLaser M2000,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
2524,451742033,"Картридж TN-310 для принтеров Konica Minolta Bizhub 350, BizHub 351, CF-2203",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0066,451742907,"Картриджи T1631-T1634 для принтеров Epson и WF-2630, WF 2650, WF2660, WF-2010W, WF2510WF, WF 2520NF",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2704,455888815,"Картриджи T6122-T6128 для принтеров Epson и Stylus Pro 7450, Stylus Pro 9450",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
32654,4834690138,Картридж для P2010,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
5476,1037808876,"Картридж DS BCI-6EY, желтый",Готов к продаже,approved,success,,1,0,2,warning_attribute_values_empty warning_attribute_values_out_of_range
3904,457221957,Картриджи 106R02605-106R02608 для принтеров Xerox и Phaser 7100,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3046,457220585,Картриджи PFI-1000 для принтеров Canon и iPF -PRO-1000,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2476,455888209,"Картриджи 106R01144-106R01147 для принтеров Xerox и Phaser 6300, Phaser 6350",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6477,2529520836,"Картриджи T596 для принтеров Epson Stylus Pro 7700, Stylus Pro 7890",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
33508,4834690303,Картридж для P3205DN,Готов к продаже,approved,success,,1,0,4,attribute_hierarchy_fail warning_attribute_values_out_of_range
4449,457713198,"Картриджи 27XL для принтеров Epson и WorkForce 3640DTWF, WF 7110DTW, WF 7610DWF",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2456,455888286,Картриджи 15W0900-15W0903 для принтеров Lexmark 720 X720,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6393,2440786996,Картриджи GB-001BK-GB-001W для принтеров G&G GG-HH1001B,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
4677,753258690,Картриджи C13T02Q100 - C13T02Q400 для принтеров Epson WorkForce Enterprise C20600D4TW,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3417,457221107,"Картриджи CE250X-CE253X для принтеров HP и Color LaserJet CM3530, LJ CP3525",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
0759,329499911,Картридж CLI-521GY Canon серый с чипом совместимый,Продается,approved,success,,1,0,1,warning_attribute_values_out_of_range
231911,4820881685,Картридж для Lexmark LaserPrinter MS517,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
5202,607713026,"Картриджи T-FC28E для принтеров Toshiba и e-Studio 2330c, e Studio 2820c, eStudio 3520c, e-Studio 4520c",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
4537,457713316,"Картриджи №981 для принтеров HP PageWide Color 556, PW Color MFP 586 dn",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
6680,2812155021,"Фотобарабан + картридж DR-3000 DU+TN-3030 для принтеров Brother DCP-8040, DCP 8045, HL-5130, HL5140, HL-5150, HL5170, MFC-8220, MFC 8440 черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
326511,4834690198,Картридж для M6005,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
2243,455887748,"Картриджи C4191A-C4194A для принтеров HP и LaserJet 4500, LJ 4550",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
045127,4772967956,Картридж для Canon Bubble Jet i9900,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
596915,4867698293,Картридж для Brother MFC-L2860DWE,Продается,approved,success,,1,0,2,attribute_hierarchy_fail warning_attribute_values_out_of_range
5097,606569532,"Фотобарабаны IUP-23 для принтеров Konica Minolta Bizhub C3100P, C3110",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
24336,4821080826,Картридж для Canon NP-6030,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
2544,455888310,"Картриджи A0DK152-A0DK452 для принтеров Konica Minolta Magicolor 4650, Magicolor 4690",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
23873,4820884520,Картридж для Brother MFC-7220,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
7086,5487988223,"Картридж T31 для принтеров Deli M3100, P3100 черный",Продается,approved,success,,1,0,1,double_without_merger_offer
5268,694984728,"Картриджи №981A для принтеров HP PageWide Color 556, PW Color MFP 586 dn",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
007710,4759259526,Комплект картриджей для Canon Pixma i9950,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
