query,sku,offer_id,name,position,demand,views,orders,gmv,our_price,margin_own_live,in_campaign,bid,action
лента,930625989,2642,"Картриджи TN-324 для принтеров Konica Minolta Bizhub C258, Bizhub C308",2,5188,2,0,0,20044.0,26.19,True,15.0,широкая_фраза
лента,1510953436,5421,"Картридж 067H Y для принтеров Canon i-SENSYS LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw желтый",6,5001,2,0,0,3936.0,38.74,True,10.0,широкая_фраза
шт,874373710,4481,"Картридж CTL-1100XK для Pantum CM1100DW, CM1100DN",8,4799,1,0,0,4337.0,33.65,True,13.0,широкая_фраза
samsung,3460907146,01102,Картридж для Samsung ML-1641,73,3577,1,0,0,3045.0,27.04,True,12.0,широкая_фраза
samsung,653324142,0035,Картридж SCX-4200 для принтеров Samsung SCX-4200 черный,48,3577,1,0,0,3423.0,37.4,True,14.0,широкая_фраза
samsung,863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",24,3577,2,0,0,8337.0,34.5,True,14.0,широкая_фраза
samsung,864224829,0721,"Картриджи CLT-407 для принтеров Samsung CLP-320, CLP 325, CLX-3180, CLX3185",3,3577,1,0,0,9648.0,33.19,True,12.0,широкая_фраза
комплект,1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,32,3475,3,0,0,12407.0,30.05,True,45.0,широкая_фраза
комплект,863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",322,3475,2,0,0,8337.0,34.5,True,14.0,широкая_фраза
комплект,870872440,2404,"Картриджи TK-5270 для принтеров Kyocera EcoSys M6230cidn, M6630cidn",597,3475,1,0,0,10378.0,32.71,True,18.0,широкая_фраза
комплект,863385336,1214,"Картриджи TK-895 для принтеров Kyocera FS-C8020MFP, FS C8025MFP, FSC8520MFP, FS-C8525MFP",56,3474,2,0,0,13586.0,31.34,True,11.0,широкая_фраза
samsung,5265028660,4229X2,Комплект картриджей ML-3560DB (2 шт.) на 24000 страниц для принтеров Samsung ML-3560,0,3227,1,0,0,19887.0,45.55,False,,широкая_фраза
картридж,1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw, MF657Cdw",8,3081,4,0,0,10445.0,28.78,True,22.0,широкая_фраза
картридж,1261501195,4665,"Картридж MC-500595WT для принтеров Brady BMP 41, BMP 51",0,2958,2,0,0,1157.0,19.48,True,8.0,широкая_фраза
картридж,4507506388,29701,Картридж для Canon i-SENSYS LBP-110,0,2958,2,0,0,2056.0,30.63,True,12.0,широкая_фраза
картридж,4507508244,29702,Картридж для Canon LBP-112,0,2958,2,0,0,2055.0,30.62,True,12.0,широкая_фраза
картридж,4518320111,42494,Картридж для Dymo LM 420P,0,2958,2,0,0,2078.0,30.79,False,,широкая_фраза
картридж,874375708,4278,"Картриджи W2410A-W2413A для принтеров HP Color LaserJet Pro M155a, Color LaserJet Pro M155nw",5,2931,2,0,0,9354.0,29.5,True,14.0,широкая_фраза
самсунг,5239343277,0706X2,"Комплект картриджей ML-2150 (2 шт.) на 16000 страниц для принтеров Samsung ML 2151, ML-2152",7,2893,1,0,0,18611.0,45.44,False,,широкая_фраза
лента,1432017435,4751,"Картриджи PG-460XL-CL-461XL для принтеров canon pixma mg5740, canon pixma ts5340, ts7440, canon pixma ts5340",6,2726,1,0,0,12750.0,32.67,False,,широкая_фраза
лента,864225065,0905,"Картриджи LC-1240 для принтеров Brother DCP-J525W, DCP J725DW, MFC-J430W, MFC-J5910DW",11,2476,1,0,0,3850.0,33.68,True,9.0,широкая_фраза
лента,870872375,2280,"Картриджи CF530A-CF533A для принтеров hp color laserjet pro mfp m180n, hp m181fw,",20,2476,1,0,0,8878.0,30.36,False,,широкая_фраза
лента,870872605,2637,"Картриджи TN-221 для принтеров Konica Minolta Bizhub C227, Bizhub C287",1,2476,1,0,0,19196.0,30.27,True,12.0,широкая_фраза
техника,4481064725,11522,Картридж для HP Color LJ M553dn,722,2335,25,0,0,7943.0,35.06,True,8.0,широкая_фраза
техника,4867096884,7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,254,2335,25,0,0,6661.0,25.36,False,,широкая_фраза
5070,5269479276,4526X6,"Комплект картриджей MX-61GTBA (6 шт.) на 240000 страниц для принтеров Sharp MX-3050, MX 3060, MX3070, MX-3550, MX3560, MX 3570, MX 4060, MX4070 MX5070 MX 6050",4,2016,2,0,0,50458.0,54.69,False,,широкая_фраза
техника,1998987726,5919,"Картридж TNP-48M для принтеров Konica Minolta Bizhub C3350, Bizhub C3850 пурпурный",0,1949,10,0,0,7727.0,34.95,True,8.0,широкая_фраза
5070,874373689,4526,"Картридж MX-61GTBA для принтеров Sharp и MX-3050, MX 3060, MX3070, MX-3550, MX3560, MX 3570, MX 4060, MX4070 MX5070 MX 6050 черный",91,1921,2,0,0,8793.0,34.28,True,8.0,широкая_фраза
5070,4490454429,16198,Картридж для Brother HL-5070N,164,1854,2,0,0,3551.0,35.08,True,8.0,широкая_фраза
5070,4504238300,249210,Картридж для Brother HL-5070,170,1854,2,0,0,4712.0,34.42,True,12.0,широкая_фраза
5070,4527379548,452611,Картридж для Sharp MX-5070,234,1854,2,0,0,8795.0,34.29,True,8.0,широкая_фраза
картридж,1759807965,5767,"Картридж для HP Color LaserJet Pro MFP 4303fdw, 4303dw, 4203cdn",13,1580,1,0,0,7084.0,36.34,True,22.0,широкая_фраза
картридж,1760605509,5770,"Картридж W2303X для принтеров HP Color LaserJet Pro 4203cdn, 4303dw пурпурный",10,1580,1,0,0,6301.0,36.31,False,,широкая_фраза
картридж,653348091,3264,"Картридж TL-420X для Pantum M6700DW, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN",4,1580,1,0,0,2621.0,35.47,True,13.0,широкая_фраза
картридж,873314556,3257,"Заправочный комплект PC-211EV / PC-211RB (тонер 65гр + чип + воронка) для Pantum M6500W, M6507W, M6502W, P2500W, P2207, P2200, P2516, P2507",3,1580,1,0,0,1509.0,28.04,True,13.0,широкая_фраза
картридж,930620073,1167,"Картриджи CF400X-CF403X для принтеров HP Color LJ Pro M252dw, LJ Pro M252n",4,1580,1,0,0,9902.0,35.21,True,9.0,широкая_фраза
картридж,4451301513,005013,Картридж для Canon LBP-440,0,1554,1,0,0,3922.0,35.99,True,12.0,широкая_фраза
картридж,4451302963,00512,Картридж для HP LaserJet 3200,0,1554,1,0,0,3645.0,35.34,True,12.0,широкая_фраза
картридж,4451327965,005014,Картридж для Canon LBP-445,0,1554,1,0,0,3915.0,35.95,True,12.0,широкая_фраза
картридж,4451954015,019411,Картридж для HP DeskJet 5850,0,1554,1,0,0,2691.0,33.76,True,8.0,широкая_фраза
картридж,4451958146,019459,Картридж для HP OfficeJet 4110,0,1554,1,0,0,2717.0,34.0,True,8.0,широкая_фраза
картридж,4451962990,019611,Картридж для HP DeskJet 6983,0,1554,1,0,0,3181.0,34.75,True,8.0,широкая_фраза
картридж,4451963405,019610,Картридж для HP DeskJet 6980,0,1554,1,0,0,3175.0,34.71,True,8.0,широкая_фраза
картридж,4476950307,06836,Картридж для Ricoh Aficio 2032,0,1554,1,0,0,2910.0,34.63,True,8.0,широкая_фраза
картридж,4515703533,32648,Картридж для M7200FDW,1,1554,1,0,0,2616.0,46.67,True,8.0,широкая_фраза
картридж,4518318336,42495,Картридж для Dymo LM 500TS,0,1554,1,0,0,2081.0,30.83,False,,широкая_фраза
картридж,4543081948,65595,Картридж для Canon imageCLASS MF271dn,0,1554,1,0,0,4041.0,35.06,True,12.0,широкая_фраза
картридж,4543083514,65593,Картридж для Canon imageCLASS LBP-121dn,0,1554,1,0,0,4040.0,35.06,True,12.0,широкая_фраза
картридж,5251784234,2395X6,"Комплект картриджей PG-440XL (6 шт.) на 3600 страниц для принтеров Canon Pixma MG2140, PixmaMG2240",34,1554,1,0,0,34420.0,54.52,False,,широкая_фраза
картридж,5251784470,2395X10,"Комплект картриджей PG-440XL (10 шт.) на 6000 страниц для принтеров Canon Pixma MG2140, PixmaMG2240",46,1554,1,0,0,54179.0,56.15,False,,широкая_фраза
картридж,874373823,4394,"Картридж PG-440 для принтеров Canon Pixma MG2140, PixmaMG2240 черный",24,1554,1,0,0,5925.0,35.21,True,8.0,широкая_фраза
картридж,930625072,0848,"Картриджи LC-1000 для принтеров Brother DCP-130C, DCP 150C, MFC-230C, MFC-235C",1,1554,1,0,0,2365.0,32.1,True,10.0,широкая_фраза
картридж,1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,1,1544,1,0,0,12407.0,30.05,True,45.0,широкая_фраза
картридж,1769491634,5773,"Картридж 070 для принтеров Canon i-SENSYS MF461dw, LBP243dw, LBP246dw, MF463dw, MF465dw",2,1544,1,0,0,3888.0,38.31,True,12.0,широкая_фраза
картридж,3126540314,5240,"Картридж 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw голубой",1,1544,1,0,0,4673.0,35.41,True,12.0,широкая_фраза
картридж,4490440996,17181,Картридж для Kyocera EcoSys M2135dn,4,1544,1,0,0,1733.0,40.44,True,12.0,широкая_фраза
картридж,652454626,0328,"Картридж 178XL для принтеров HP PhotoSmart B109c, DeskJet 3070A, PhotoSmart 5510, PhotoSmart Plus B210b, DeskJet 3070A",3,1544,1,0,0,827.0,31.04,True,10.0,широкая_фраза
картридж,863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613, MF631cn, MF633Cdw",1,1544,1,0,0,9496.0,34.66,True,22.0,широкая_фраза
картридж,863418800,4214,"Картриджи W2210X-W2213X (HP 207X) с чипом для принтеров HP Pro M255DW, M283FDW, M282NW",2,1544,1,0,0,10885.0,34.51,True,12.0,широкая_фраза
картридж,904485783,4213,"Картридж W2210X для принтеров HP LaserJet Pro Color M282 nw, LJ Pro Color M283 fdw черный",1,1544,1,0,0,3957.0,35.53,True,13.0,широкая_фраза
картридж,930615543,1274,"Картриджи LC567XL-LC565XL для принтеров Brother MFC-J2310, MFC-J2510",16,1544,1,0,0,3456.0,35.55,True,12.0,широкая_фраза
картридж,1469084054,5418,"Картридж 067H Bk для принтеров Canon i-SENSYS LBP633Cdw, LBP631CW, MF651Cw, MF655Cdw, MF657Cdw",1,1527,1,0,0,3888.0,38.02,True,22.0,широкая_фраза
картридж,1658970308,5521,"Картридж для Canon i-SENSYS MF275dw, LBP120, LBP122dw, MF270, MF272dw",6,1527,1,0,0,3564.0,25.0,True,26.0,широкая_фраза
картридж,652352853,0813,"Картридж CE321A для принтеров HP и LJ Pro Color CM1415fn, LJ Pro Color CP1525n голубой",1,1527,1,0,0,3598.0,35.23,True,8.0,широкая_фраза
картридж,873319928,3807,"Картриджи W2120X-W2123X для принтеров HP Color LJ M554 dn, LJ M555 dn",1,1527,1,0,0,15648.0,28.51,True,15.0,широкая_фраза
электроника,4481064725,11522,Картридж для HP Color LJ M553dn,0,1442,7,0,0,7943.0,35.06,True,8.0,широкая_фраза
черный,874373710,4481,"Картридж CTL-1100XK для Pantum CM1100DW, CM1100DN",29,1424,1,0,0,4337.0,33.65,True,13.0,широкая_фраза
картридж,3527200954,0320,"Картридж 82BK для принтеров HP DesignJet 111Tray, DJ 111Roll, DJ 510 24, DJ 510 42",1,1404,1,0,0,1526.0,38.06,True,8.0,широкая_фраза
картридж,653125611,13672,"Картридж для Xerox WorkCentre 3025, Phaser 3020BI",3,1404,1,0,0,3031.0,29.81,True,10.0,широкая_фраза
картридж,863383151,0991,"Картриджи 44973541-44973544 для принтеров OKI C301dn, C321dn, MC332, MC342",1,1404,1,0,0,7571.0,38.62,True,15.0,широкая_фраза
картридж,907612978,3913,"Картриджи W2030A-W2033A (№415A) для принтеров HP Color LaserJet M454dn, LJ Pro M454dw, M480f, M479dw, M479fdw",708,1404,1,0,0,9586.0,35.8,True,14.0,широкая_фраза
черный,930625454,0752,"Картридж CE250X для принтеров HP Color LaserJet CM3530, LJ CP3525dn черный",1,1348,1,0,0,5821.0,31.41,True,8.0,широкая_фраза
техника,904483534,3854,"Чернила №101 для принтеров Epson L 4160, L-4167, L 6170, L 6190, L-14150, L4150, L-6160",68,1199,4,0,0,2212.0,31.73,True,9.0,широкая_фраза
картридж,1261505784,4659,"Картридж M21-500595YL для принтеров Brady BMP 21-LAB, BMP 21-PLUS",14,1185,1,0,0,3300.0,35.11,True,12.0,широкая_фраза
картридж,1339737079,5344,Картридж SCX-4100 для принтеров Samsung и SCX-4100 черный,2,1185,1,0,0,3780.0,51.99,True,9.0,широкая_фраза
картридж,863386218,3263,"Фотобарабан DL-420 XL DU для принтеров M6700D, M6800FDW, M7100DN, M7200FD, P3010D, P3300DN черный",7,1185,1,0,0,2953.0,35.97,True,10.0,широкая_фраза
техника,1261570517,5284,"Картридж T741X для принтеров Epson SureColor F6000, SureColorF6070 черный",0,1101,5,0,0,6766.0,35.08,True,8.0,широкая_фраза
набор для,870872764,2887,"Картриджи C-EXV49 для принтеров Canon iR Advance C3320, iR Advance C3325",8,1075,1,0,0,18063.0,17.7,True,14.0,широкая_фраза
5070,5269469243,4526X10,"Комплект картриджей MX-61GTBA (10 шт.) на 400000 страниц для принтеров Sharp MX-3050, MX 3060, MX3070, MX-3550, MX3560, MX 3570, MX 4060, MX4070 MX5070 MX 6050",3,1059,1,0,0,79424.0,56.26,False,,широкая_фраза
canon,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",59,1056,21,0,0,14890.0,27.44,True,23.0,широкая_фраза
4070,2999128674,2237,"Картриджи TN-135 для принтеров Brother DCP-9040CN, DCP 9045CN, HL-4040 cn, HL4050CDN, HL-4070, MFC-9440CN, MFC9450",14,1046,19,0,0,13119.0,34.07,True,8.0,широкая_фраза
электроника,1998987726,5919,"Картридж TNP-48M для принтеров Konica Minolta Bizhub C3350, Bizhub C3850 пурпурный",0,867,4,0,0,7727.0,34.95,True,8.0,широкая_фраза
5060,4451963686,019617,Картридж для HP PhotoSmart D5060,79,821,1,0,0,3184.0,34.78,True,8.0,широкая_фраза
бункер,3735008554,6941,"Бункер отработанного тонера 008R13061 для принтеров Xerox WorkCentre 7425, WC-7428, WC 7435, WC 7525 черный",109,781,1,0,0,6355.0,35.58,True,8.0,широкая_фраза
бункер,3736075518,6948,"Бункер отработанного тонера W9048MC для принтеров HP E77822, E77830 черный",94,781,1,0,0,5026.0,34.86,True,12.0,широкая_фраза
бункер,3736136098,6946,"Бункер отработанного тонера W9016MC для принтеров HP LaserJet Managed E82540dn, E82550dn черный",95,781,1,0,0,8341.0,34.08,True,12.0,широкая_фраза
canon,2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR C3326i",101,767,6,0,0,22487.0,31.2,True,22.0,широкая_фраза
4070,4481053508,10444,Картридж для Samsung SL-M4070,23,647,4,0,0,4845.0,34.62,True,12.0,широкая_фраза
4070,874373689,4526,"Картридж MX-61GTBA для принтеров Sharp и MX-3050, MX 3060, MX3070, MX-3550, MX3560, MX 3570, MX 4060, MX4070 MX5070 MX 6050 черный",32,634,12,0,0,8793.0,34.28,True,8.0,широкая_фраза
workpro,4476932986,06221,Картридж для Xerox WorkCentre Pro 312,83,593,62,0,0,5680.0,34.98,True,12.0,широкая_фраза
workpro,4527378809,44351,Картридж для Epson WorkForce Pro C529R,88,593,59,0,0,15670.0,32.67,True,12.0,широкая_фраза
workpro,4527377591,44352,Картридж для Epson WorkForce Pro C579R,89,593,62,0,0,15669.0,32.67,True,12.0,широкая_фраза
workpro,4518325210,42272,Тонер-картридж для Xerox WorkCentre Pro WCP-315,111,593,50,0,0,7757.0,35.69,True,8.0,широкая_фраза
workpro,4518324765,42274,Тонер-картридж для Xerox WorkCentre Pro WCP-415,83,593,51,0,0,7757.0,35.69,True,8.0,широкая_фраза
workpro,4518321642,42273,Тонер-картридж для Xerox WorkCentre Pro WCP-320,104,593,50,0,0,7759.0,35.69,True,8.0,широкая_фраза
workpro,4518313321,38812,Картридж для Epson WorkForce Pro C879,88,593,52,0,0,15340.0,34.43,True,8.0,широкая_фраза
workpro,4515705831,32371,Картридж для Epson WorkForce Pro 6090,98,593,44,0,0,6558.0,34.93,True,8.0,широкая_фраза
workpro,4515704326,34411,Картридж для Epson WorkForce Pro M5298,75,593,50,0,0,4121.0,35.21,True,12.0,широкая_фраза
workpro,4515703862,33701,Картридж для Epson WorkForce Pro M5190,100,593,36,0,0,3565.0,35.15,True,8.0,широкая_фраза
workpro,4507538544,37911,Картридж для Epson WorkForce Pro C8190,109,593,47,0,0,11353.0,33.69,True,8.0,широкая_фраза
workpro,4507522572,30653,Картридж для Epson WorkForce Pro C5290DW,113,593,50,0,0,4039.0,36.22,True,8.0,широкая_фраза
workpro,4507521708,30652,Картридж для Epson WorkForce Pro C5215,77,593,56,0,0,4037.0,36.2,True,8.0,широкая_фраза
workpro,4507520360,30654,Картридж для Epson WorkForce Pro C5710,97,593,46,0,0,4037.0,36.2,True,8.0,широкая_фраза
workpro,4504669033,280818,Картридж для Xerox WorkCentre Pro 275,104,593,50,0,0,15496.0,32.64,True,8.0,широкая_фраза
workpro,4504667805,280817,Картридж для Xerox WorkCentre Pro 265,112,593,47,0,0,15505.0,32.66,True,8.0,широкая_фраза
workpro,4480823333,08425,Картридж для Epson WorkForce Pro WP-4500,96,593,58,0,0,1344.0,23.34,True,8.0,широкая_фраза
workpro,4476946758,06217,Картридж для Xerox WorkCentre Pro 133,88,593,62,0,0,5610.0,34.93,True,12.0,широкая_фраза
электроника,4867096884,7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,620,573,3,0,0,6661.0,25.36,False,,широкая_фраза
голубой,653145679,0857,"Картридж TN-245C для принтеров Brother DCP-9020cdw, HL-3140cw, HL 3150, HL3170CDW, MFC-9140, MFC-9330 голубой",195,550,2,0,0,2704.0,36.42,True,10.0,широкая_фраза
лазерный,4867096884,7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,22,538,3,0,0,6661.0,25.36,False,,широкая_фраза
оки,904483201,3774,"Картридж 46443114 для принтеров OKI Data C833, Data C843 пурпурный",17,523,16,0,0,8245.0,35.21,True,8.0,широкая_фраза
оки,864225394,0981,"Фотобарабан 44574302 DU для принтеров OKI Data-B411, Data B431, MB461",14,523,17,0,0,7646.0,34.91,True,12.0,широкая_фраза
оки,873320213,3773,"Картридж 46443115 для принтеров OKI Data C833, Data C843 голубой",17,523,14,0,0,8085.0,33.96,True,8.0,широкая_фраза
оки,4480830580,10123,Картридж для OKI Data MC560,19,523,14,0,0,9303.0,33.07,True,12.0,широкая_фраза
panasonic,651915925,0232,Картридж KX-FAT92A для принтеров Panasonic KXMB263 KXMB271 KXMB281 KXMB283 KXMB763 KXMB771 KXMB772 KXMB773,172,517,23,0,0,465.0,24.78,True,10.0,широкая_фраза
panasonic,653303752,10325,"Картридж для Panasonic KX-MB1500, KX-MB1501, KX MB1507, KXMB1510",67,517,64,0,0,5677.0,32.14,True,14.0,широкая_фраза
panasonic,653390114,1323,"Картридж KX-FAT472A7 для принтеров Panasonic KX-MB2110, KX-MB2117, KX MB2120, KXMB2128, KX-MB2170, KX-MB2177, KX MB2178, KXMB2100, KX-MB2137",211,517,13,0,0,3002.0,37.14,True,8.0,широкая_фраза
panasonic,4480828915,10326,Картридж для Panasonic KX-MB1520,194,517,13,0,0,5674.0,34.97,True,12.0,широкая_фраза
panasonic,4451985985,02292,Картридж для Panasonic KX-FL512,223,517,14,0,0,1526.0,26.22,True,8.0,широкая_фраза
panasonic,4451987504,02344,Картридж для Panasonic KX-MB2030,209,517,15,0,0,1295.0,22.45,True,8.0,широкая_фраза
panasonic,4463536780,05257,Картридж для Panasonic KX-B753RU,198,517,14,0,0,1548.0,26.55,True,12.0,широкая_фраза
panasonic,4463539591,05253,Картридж для Panasonic KX-FL503RU,208,517,14,0,0,1546.0,26.51,True,12.0,широкая_фраза
panasonic,4463554369,05256,Картридж для Panasonic KX-B751RU,200,517,14,0,0,1544.0,26.47,True,12.0,широкая_фраза
panasonic,4463559212,052510,Картридж для Panasonic KX-M551,199,517,14,0,0,1539.0,26.36,True,12.0,широкая_фраза
fujifilm,4867096884,7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,3,512,6,0,0,6661.0,25.36,False,,широкая_фраза
премиум,4481064725,11522,Картридж для HP Color LJ M553dn,0,495,2,0,0,7943.0,35.06,True,8.0,широкая_фраза
workpro,4480824788,08421,Картридж для Epson WorkForce Pro WP-4000,99,482,26,0,0,1347.0,23.42,True,8.0,широкая_фраза
workpro,4507521673,30655,Картридж для Epson WorkForce Pro C5790,98,482,23,0,0,4040.0,36.22,True,8.0,широкая_фраза
workpro,4543095058,63652,Картридж для Epson WorkForce Pro WF-M5298DW,93,482,33,0,0,9537.0,33.15,True,12.0,широкая_фраза
набор для,930633166,3064,Картриджи TK-5290 для принтеров Kyocera Ecosys P7240cdn,14,457,1,0,0,5071.0,28.26,True,8.0,широкая_фраза
булат 4,1771542293,5754,"Картридж TK-101A для принтеров Bulat P1024, TK-101A, WT2K черный",50,453,34,0,0,11584.0,33.75,True,12.0,широкая_фраза
булат 4,4527404322,57541,Тонер-картридж для Bulat P1024,51,453,34,0,0,11585.0,33.75,True,12.0,широкая_фраза
булат 4,4527410309,57543,Тонер-картридж для Bulat WT2K,43,453,36,0,0,11587.0,33.75,True,12.0,широкая_фраза
canon,3550138162,6547,"Картриджи 064H для принтеров Canon i-SENSYS LBP-722Cdw, MF832Cdw",13,447,3,0,0,22741.0,25.58,True,12.0,широкая_фраза
canon,1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw, MF657Cdw",115,447,4,0,0,10445.0,28.78,True,22.0,широкая_фраза
