код;внешний код;наименование МС;Название WB (соберём);бренды ТК
0027cs;0027;"Картридж лазерный G&G GG-CE505X CE505X черный (6500стр.) для HP LaserJet P2055d/P2055dn/P2055x; LaserJet Pro 400 M401/M401a/M401n/M401d/M401dn/M401dne/M401dw/MFP M425/MFP M425dn/MFP M425dw с чипом Canon i-SENSYS LBP6300dn/6310dn/6650dn/6670dn/6680x/M";Картридж CE505X для HP 05X черный с чипом XL ресурс;HP
;0028;Совместимый картридж SuperFine Q5949X;Картридж Q5949X для HP 49X черный с чипом XL ресурс;HP
;0028;Совместимый картридж Colortek Q7553X;Картридж Q5949X для HP 49X черный с чипом XL ресурс;HP
0028cs;0028;Картридж лазерный G&G GG-Q5949X черный (6000стр.) для HP LJ 1160/1320/3390/3392;Картридж Q5949X для HP 49X черный с чипом XL ресурс;HP
0029cs;0029;Картридж лазерный G&G GG-Q7553X черный (7000стр.) для HP LJ P2010/P2014/P2015/M2727nf MFP;Картридж Q7553X для HP 53X черный с чипом XL ресурс;HP
0031cs;0031;Картридж лазерный G&G GG-Q7516A Q7516A черный (12000стр.) для HP LJ 5200/5200tn/5200dtn;Картридж Q7516A для HP 16A черный с чипом;HP
0031cs;0031;Картридж лазерный Print-Rite PR-Q7516A TFH415BPU1J черный (12000стр.) для HP LJ 5200/5200N/5200L/5200TN/5200DTN, LBP-3500/3900/3950;Картридж Q7516A для HP 16A черный с чипом;HP
;0032;Двойная упаковка картриджей HP Q7551XD;Картридж Q7551X для HP 51X черный с чипом XL ресурс;HP
0032cs;0032;Картридж лазерный G&G GG-Q7551X черный (13000стр.) для HP LJ P3005/M3027 MFP/M3027x MFP/M3035xs MFP;Картридж Q7551X для HP 51X черный с чипом XL ресурс;HP
;0033;Совместимый картридж Colortek ML-1520D3;Картридж ML-1710 для Samsung черный;Samsung
;0035;Совместимый картридж SolutionPrint SCX-D4200A;Картридж SCX-4200 для Samsung черный с чипом;Samsung
;0035;Совместимый картридж Colortek SCX-D4200A;Картридж SCX-4200 для Samsung черный с чипом;Samsung
0035cs;0035;Картридж лазерный G&G GG-D4200A черный (3000стр.) для Samsung SCX-4200/SCX-4220;Картридж SCX-4200 для Samsung черный с чипом;Samsung
;0037;Совместимый картридж NVP Q2612X;Картридж Q2612X для HP 12X черный XL ресурс;HP
;0037;Совместимый картридж Colortek Q2612X;Картридж Q2612X для HP 12X черный XL ресурс;HP
;0037;Совместимый картридж Cactus CS-Q2612X;Картридж Q2612X для HP 12X черный XL ресурс;HP
;0037;Совместимый картридж Colortek Q2612X;Картридж Q2612X для HP 12X черный XL ресурс;HP
0037cs;0037;Картридж лазерный G&G GG-Q2612AX черный (3000стр.) для HP LJ 1010/1012/1015/1018/1020/1022/1022n/1022nw/3015/3020;Картридж Q2612X для HP 12X черный XL ресурс;HP
;0039;Совместимый картридж Colortek CLP-K300A;Картридж CLP-K300A для Samsung черный с чипом;Samsung
;0039;Совместимый картридж ProfiLine CLP-K300A;Картридж CLP-K300A для Samsung черный с чипом;Samsung
;0040;Совместимый картридж Colortek CLP-C300A;Картридж CLP-C300A для Samsung голубой с чипом;Samsung
;0040;Совместимый картридж ProfiLine CLP-C300A;Картридж CLP-C300A для Samsung голубой с чипом;Samsung
;0041;Совместимый картридж Colortek CLP-M300A;Картридж CLP-M300A для Samsung пурпурный с чипом;Samsung
;0041;Совместимый картридж Cactus CLP-M300A;Картридж CLP-M300A для Samsung пурпурный с чипом;Samsung
;0042;Совместимый картридж Colortek CLP-Y300A;Картридж CLP-Y300A для Samsung желтый с чипом;Samsung
;0042;Совместимый картридж ProfiLine CLP-Y300A;Картридж CLP-Y300A для Samsung желтый с чипом;Samsung
;0052;Совместимый картридж UNITON Premium CB540A;Картридж CB540A для HP 125A черный с чипом;HP
;0053;Совместимый картридж Colortek CB541A;Картридж CB541A для HP 125A голубой с чипом;HP
;0053;Совместимый картридж UNITON Premium CB541A;Картридж CB541A для HP 125A голубой с чипом;HP
0053-cs;0053;Картридж лазерный Cactus CS-CB541A CB541A голубой (1400стр.) для HP CLJ CP1215/1515/CM1312;Картридж CB541A для HP 125A голубой с чипом;HP
;0054;Совместимый картридж Colortek CB542A;Картридж CB542A для HP 125A желтый с чипом;HP
;0054;Совместимый картридж UNITON Premium CB542A/ 716Y;Картридж CB542A для HP 125A желтый с чипом;HP
;0055;Совместимый картридж UNITON Premium CB543A;Картридж CB543A для HP 125A пурпурный с чипом;HP
;0060;Совместимый картридж SuperFine 719H;Картридж 719H для Canon 3480B002 черный с чипом XL ресурс;Canon
0060cs;0060;"Картридж лазерный G&G GG-719H черный (6500стр.) для Canon MF5840dni-Sensys/MF5880dni; LBP6300i/6650i";Картридж 719H для Canon 3480B002 черный с чипом XL ресурс;Canon
0074-or;0074;Картридж TN-2075 OR;Картридж TN-2075 для Brother черный;Brother
0074cs;0074;Картридж лазерный G&G GG-TN2075 черный (2500стр.) для Brother DCP-7010, 7010R, 7020, 7025, 7025R, FAX-2820, 2825, 2825R, 2920, 2920R, HL-2030, 2030R, 2040, 2040R, 2070N, 2070, 2070NR, MFC-7225, 7225N, 7420, 7420R, 7820, 7820N, 7820NR, 7820R;Картридж TN-2075 для Brother черный;Brother
0074cs;0074;Картридж лазерный Print-Rite TFB697BPU1J PR-TN2075 TN-2075 черный (2500стр.) для Brother DCP-7010/7010R/7020/7025/7025R/FAX-2820/2825/2825R/2920/2920R/HL-2030/2030R/2040/2040R/2070N/2070/2070NR/MFC-7225/7225N/7420/7420R/7820/7820N/7820NR/7820R;Картридж TN-2075 для Brother черный;Brother
;0078;Комплект картриджей Epson T0487;Набор картриджей T0481-T0486 для Epson;Epson
;0081;Совместимый картридж ProfiLine TN-2175;Картридж TN-2175 для Brother черный;Brother
0081cs;0081;Картридж лазерный G&G GG-TN2175 черный (2600стр.) для Brother HL-2140/2150/2170, DP-7030/70407045N, MF-7045/7320/7440/7840W;Картридж TN-2175 для Brother черный;Brother
;0084;Набор совместимых картриджей Colortek T036+T037;Набор картриджей T036-T037 для Epson;Epson
;0086;Совместимый картридж Cactus CS-725X;Картридж 725X для Canon черный с чипом XL ресурс;Canon
;0087;Совместимый картридж Colortek CE285A;Картридж CE285A для HP 85A черный с чипом;HP
;0087;Совместимый картридж SuperFine CE285A;Картридж CE285A для HP 85A черный с чипом;HP
;0087;Совместимый картридж NVP 725;Картридж CE285A для HP 85A черный с чипом;HP
;0087;Совместимый картридж Cactus CE285A;Картридж CE285A для HP 85A черный с чипом;HP
0087cs;0087;Картридж лазерный G&G GG-CE285A черный (1600стр.) для HP LJ Pro P1102/P1102w/1214nfh/M1132/M1212nf MFP/M1217nfw MFP;Картридж CE285A для HP 85A черный с чипом;HP
;0088;Совместимый картридж Colortek 728;Картридж CE278A для HP 78A черный с чипом;HP
;0088;Совместимый картридж NVP CE278A;Картридж CE278A для HP 78A черный с чипом;HP
0088cs;0088;Картридж лазерный G&G GG-CE278A черный (2100стр.) для HP LJ Pro P1560/P1566/P1606dn/M1536dnf MFP;Картридж CE278A для HP 78A черный с чипом;HP
;0094;Набор совместимых картриджей Colortek T013-T014;Набор картриджей T013-T014 для Epson;Epson
;0096;Набор совместимых картриджей Colortek T0441-T0444;Набор картриджей T0441-T0444 для Epson;Epson
0103cs;0103;Картридж лазерный G&G GG-CC364X черный (24000стр.) для HP LJ P4015/P4515;Картридж CC364X для HP 64X черный;HP
0103cs;0103;Картридж лазерный Print-Rite TFHA1KBPU1J PR-CC364X CC364X черный (24000стр.) для HP LJ P4015/P4515;Картридж CC364X для HP 64X черный;HP
0104cs;0104;Картридж лазерный G&G GG-CC530A черный (3500стр.) для HP CLJ CP2020/CP2025/CM2320 MFP, MF8330/8350;Картридж CC530A для HP 304A черный с чипом;HP
0105cs;0105;Картридж лазерный G&G GG-CC531A голубой (2800стр.) для HP CLJ CP2020/CP2025/CM2320 MFP, MF8330/8350/8380;Картридж CC531A для HP 304A голубой с чипом;HP
0106cs;0106;Картридж лазерный G&G GG-CC532A желтый (2800стр.) для HP CLJ CP2020/CP2025/CM2320 MFP;Картридж CC532A для HP 304A желтый с чипом;HP
0107cs;0107;Картридж лазерный G&G GG-CC533A пурпурный (2800стр.) для HP CLJ CP2020/CP2025/CM2320 MFP;Картридж CC533A для HP 304A пурпурный с чипом;HP
;0109;Совместимый картридж Cactus ML-D1630A;Картридж ML-1630 для Samsung черный с чипом;Samsung
;0109;Совместимый картридж Colortek ML-D1630A;Картридж ML-1630 для Samsung черный с чипом;Samsung
;0110;Совместимый картридж Colortek MLT-D108S;Картридж MLT-D108S для Samsung черный с чипом;Samsung
0110cs;0110;Картридж лазерный G&G GG-D108S черный (1500стр.) для Samsung ML-1640/2240/2241/1641/1645/1640XSA;Картридж MLT-D108S для Samsung черный с чипом;Samsung
0111cs;0111;Картридж лазерный G&G GG-D109S черный (2000стр.) для Samsung SCX-4300;Картридж MLT-D109S для Samsung черный с чипом;Samsung
0117hb;0117;Тонер-картридж Hi-Black (HB-TK-110) для Kyocera FS-720/820/920/1016MFP/1116MFP, 6K;Картридж TK-110 для Kyocera черный;Kyocera
;0119;Совместимый картридж Colortek TK-130;Картридж TK-130 для Kyocera черный с чипом;Kyocera
0122cs;0122;Картридж лазерный G&G GG-TK435 черный (15000стр.) для Kyocera Mita TASKalfa 180/181/220/221;Картридж TK-435 для Kyocera черный с чипом;Kyocera
;0128;Совместимый картридж Cactus CS-BCI-24Bk;Картридж BCI-24 для Canon BCI-21 BK черный;Canon
;0128;Совместимый картридж ProfiLine BCI-21BK;Картридж BCI-24 для Canon BCI-21 BK черный;Canon
;0128;Двойная упаковка картриджей Canon BCI-24 Bk Tw;Картридж BCI-24 для Canon BCI-21 BK черный;Canon
;0128;Совместимый картридж Colortek BCI-24Bk;Картридж BCI-24 для Canon BCI-21 BK черный;Canon
;0128;Совместимый картридж SolutionPrint BCI-21BK;Картридж BCI-24 для Canon BCI-21 BK черный;Canon
;0128;Совместимый картридж SuperFine BCI-21BK;Картридж BCI-24 для Canon BCI-21 BK черный;Canon
;0129;Совместимый картридж SuperFine BCI-24C;Картридж BCI-24 для Canon BCI-21 CMY цветной;Canon
;0129;Совместимый картридж Colortek BCI-24C;Картридж BCI-24 для Canon BCI-21 CMY цветной;Canon
;0129;Совместимый картридж Colortek BCI-21C;Картридж BCI-24 для Canon BCI-21 CMY цветной;Canon
;0129;Совместимый картридж SolutionPrint BCI-21Cl/ BCI-24Cl;Картридж BCI-24 для Canon BCI-21 CMY цветной;Canon
;0130;Совместимый картридж Colortek PGI-520BK;Картридж PGI-520BK для Canon 2932B004 черный с чипом;Canon
;0130;Совместимый картридж Colouring PGI-520BK;Картридж PGI-520BK для Canon 2932B004 черный с чипом;Canon
;0130;Совместимый картридж ProfiLine PGI-520BK;Картридж PGI-520BK для Canon 2932B004 черный с чипом;Canon
;0130;Совместимый картридж Cactus PGI-520BK;Картридж PGI-520BK для Canon 2932B004 черный с чипом;Canon
;0130;Совместимый картридж Colouring PGI-520BK;Картридж PGI-520BK для Canon 2932B004 черный с чипом;Canon
;0130;Совместимый картридж SuperFine PGI-520BK;Картридж PGI-520BK для Canon 2932B004 черный с чипом;Canon
;0131;Совместимый картридж InkTec CLI-521BK;Картридж CLI-521BK для Canon 2933b004 фото-черный с чипом;Canon
;0131;Совместимый картридж Colortek CLI-521BK;Картридж CLI-521BK для Canon 2933b004 фото-черный с чипом;Canon
;0131;Совместимый картридж Colouring CLI-521BK;Картридж CLI-521BK для Canon 2933b004 фото-черный с чипом;Canon
;0131;Совместимый картридж ProfiLine CLI-521BK;Картридж CLI-521BK для Canon 2933b004 фото-черный с чипом;Canon
;0131;Совместимый картридж SuperFine CLI-521BK;Картридж CLI-521BK для Canon 2933b004 фото-черный с чипом;Canon
;0131;Совместимый картридж Cactus CLI-521BK;Картридж CLI-521BK для Canon 2933b004 фото-черный с чипом;Canon
;0131;Совместимый картридж Colouring CLI-521BK;Картридж CLI-521BK для Canon 2933b004 фото-черный с чипом;Canon
;0132;Совместимый картридж ProfiLine CLI-521C;Картридж CLI-521C для Canon 2934B004 голубой с чипом;Canon
;0132;Совместимый картридж Colouring CLI-521C;Картридж CLI-521C для Canon 2934B004 голубой с чипом;Canon
;0132;Совместимый картридж Cactus CLI-521C;Картридж CLI-521C для Canon 2934B004 голубой с чипом;Canon
;0132;Совместимый картридж Colouring CLI-521C;Картридж CLI-521C для Canon 2934B004 голубой с чипом;Canon
;0132;Совместимый картридж SuperFine CLI-521C;Картридж CLI-521C для Canon 2934B004 голубой с чипом;Canon
0132bt;0132;Струйный картридж Canon Pixma iP3600/MP540/MX860 CLI-521 Multipack (2934B010) C/M/Y (3x10.5мл);Картридж CLI-521C для Canon 2934B004 голубой с чипом;Canon
;0133;Совместимый картридж ProfiLine CLI-521M;Картридж CLI-521M для Canon 2935B004 пурпурный с чипом;Canon
;0133;Совместимый картридж Colouring CLI-521M;Картридж CLI-521M для Canon 2935B004 пурпурный с чипом;Canon
;0133;Совместимый картридж Cactus CLI-521M;Картридж CLI-521M для Canon 2935B004 пурпурный с чипом;Canon
;0133;Совместимый картридж Colouring CLI-521M;Картридж CLI-521M для Canon 2935B004 пурпурный с чипом;Canon
;0133;Совместимый картридж SuperFine CLI-521M;Картридж CLI-521M для Canon 2935B004 пурпурный с чипом;Canon
;0134;Совместимый картридж ProfiLine CLI-521Y;Картридж CLI-521Y для Canon 2936B004 желтый с чипом;Canon
;0134;Совместимый картридж Colouring CLI-521Y;Картридж CLI-521Y для Canon 2936B004 желтый с чипом;Canon
;0134;Совместимый картридж Cactus CLI-521Y;Картридж CLI-521Y для Canon 2936B004 желтый с чипом;Canon
;0134;Совместимый картридж Colouring CLI-521Y;Картридж CLI-521Y для Canon 2936B004 желтый с чипом;Canon
;0134;Совместимый картридж SuperFine CLI-521Y;Картридж CLI-521Y для Canon 2936B004 желтый с чипом;Canon
;0135;Совместимый картридж ProfiLine CLI-8BK;Картридж CLI-8BK для Canon 0620B024 черный с чипом;Canon
;0135;Совместимый картридж InkTec CLI-8BK;Картридж CLI-8BK для Canon 0620B024 черный с чипом;Canon
;0135;Совместимый картридж Cactus CLI-8BK;Картридж CLI-8BK для Canon 0620B024 черный с чипом;Canon
;0135;Совместимый картридж Colortek CLI-8BK;Картридж CLI-8BK для Canon 0620B024 черный с чипом;Canon
;0135;Совместимый картридж SuperFine CLI-8BK;Картридж CLI-8BK для Canon 0620B024 черный с чипом;Canon
;0136;Совместимый картридж Cactus CLI-8C;Картридж CLI-8C для Canon 0621B024 голубой с чипом;Canon
;0136;Совместимый картридж ProfiLine CLI-8C;Картридж CLI-8C для Canon 0621B024 голубой с чипом;Canon
;0136;Совместимый картридж InkTec CLI-8C;Картридж CLI-8C для Canon 0621B024 голубой с чипом;Canon
;0136;Совместимый картридж InkTec CLI-8C;Картридж CLI-8C для Canon 0621B024 голубой с чипом;Canon
;0136;Совместимый картридж Colortek CLI-8C;Картридж CLI-8C для Canon 0621B024 голубой с чипом;Canon
;0136;Совместимый картридж SuperFine CLI-8C;Картридж CLI-8C для Canon 0621B024 голубой с чипом;Canon
;0137;Совместимый картридж Cactus CLI-8M;Картридж CLI-8M для Canon 0622B024 пурпурный с чипом;Canon
;0137;Совместимый картридж ProfiLine CLI-8M;Картридж CLI-8M для Canon 0622B024 пурпурный с чипом;Canon
;0137;Совместимый картридж InkTec CLI-8M;Картридж CLI-8M для Canon 0622B024 пурпурный с чипом;Canon
;0137;Совместимый картридж InkTec CLI-8M;Картридж CLI-8M для Canon 0622B024 пурпурный с чипом;Canon
;0137;Совместимый картридж Colortek CLI-8M;Картридж CLI-8M для Canon 0622B024 пурпурный с чипом;Canon
;0137;Совместимый картридж SuperFine CLI-8M;Картридж CLI-8M для Canon 0622B024 пурпурный с чипом;Canon
;0138;Совместимый картридж Cactus CLI-8Y;Картридж CLI-8Y для Canon 0623B024 желтый с чипом;Canon
;0138;Совместимый картридж ProfiLine CLI-8Y;Картридж CLI-8Y для Canon 0623B024 желтый с чипом;Canon
;0138;Совместимый картридж InkTec CLI-8Y;Картридж CLI-8Y для Canon 0623B024 желтый с чипом;Canon
;0138;Совместимый картридж InkTec CLI-8Y;Картридж CLI-8Y для Canon 0623B024 желтый с чипом;Canon
;0138;Совместимый картридж Colortek CLI-8Y;Картридж CLI-8Y для Canon 0623B024 желтый с чипом;Canon
;0138;Совместимый картридж SuperFine CLI-8Y;Картридж CLI-8Y для Canon 0623B024 желтый с чипом;Canon
;0139;Совместимый картридж Cactus PGI-5 BK;Картридж PGI-5BK для Canon 0628B024 черный с чипом;Canon
;0139;Совместимый картридж InkTec PGI-5 BK;Картридж PGI-5BK для Canon 0628B024 черный с чипом;Canon
;0139;Совместимый картридж InkTec PGI-5 BK;Картридж PGI-5BK для Canon 0628B024 черный с чипом;Canon
;0139;Совместимый картридж SuperFine PGI-5 BK;Картридж PGI-5BK для Canon 0628B024 черный с чипом;Canon
;0139;Совместимый картридж Colortek PGI-5 BK;Картридж PGI-5BK для Canon 0628B024 черный с чипом;Canon
;0139;Совместимый картридж SolutionPrint PGI-5 BK;Картридж PGI-5BK для Canon 0628B024 черный с чипом;Canon
;0140;Комплект картриджей Canon BCI-24BkCl;Набор картриджей BCI-24 для Canon BCI-21;Canon
;0140;Набор совместимых картриджей SolutionPrint BCI-21BkCl;Набор картриджей BCI-24 для Canon BCI-21;Canon
;0141;Комплект картриджей Canon CLI-521CMYK;Набор картриджей CLI-521 для Canon 2934B010 с чипом;Canon
;0141;Набор совместимых картриджей Colortek CLI-521;Набор картриджей CLI-521 для Canon 2934B010 с чипом;Canon
;0142;Набор совместимых картриджей Colortek CLI-8;Набор картриджей CLI-8 для Canon 0627B001;Canon
;0143;Совместимый картридж ProfiLine T038;Картридж T038 для Epson C13T03814A10 черный с чипом;Epson
;0143;Совместимый картридж SuperFine T038;Картридж T038 для Epson C13T03814A10 черный с чипом;Epson
;0143;Совместимый картридж Colouring T038;Картридж T038 для Epson C13T03814A10 черный с чипом;Epson
;0143;Совместимый картридж Colortek T038;Картридж T038 для Epson C13T03814A10 черный с чипом;Epson
;0144;Совместимый картридж ProfiLine T039;Картридж T039 для Epson C13T03904A10 цветной с чипом;Epson
;0146;Совместимый картридж SuperFine T0631;Картридж T0631 для Epson C13T06314A10 черный с чипом;Epson
;0146;Совместимый картридж Colortek T0631;Картридж T0631 для Epson C13T06314A10 черный с чипом;Epson
;0147;Совместимый картридж Colortek T0632;Картридж T0632 для Epson C13T06324A10 голубой с чипом;Epson
;0147;Совместимый картридж SuperFine T0632;Картридж T0632 для Epson C13T06324A10 голубой с чипом;Epson
;0148;Совместимый картридж Colortek T0633;Картридж T0633 для Epson C13T06334A10 пурпурный с чипом;Epson
;0148;Совместимый картридж SuperFine T0633;Картридж T0633 для Epson C13T06334A10 пурпурный с чипом;Epson
;0149;Совместимый картридж Colortek T0634;Картридж T0634 для Epson C13T06344A10 желтый с чипом;Epson
;0149;Совместимый картридж SuperFine T0634;Картридж T0634 для Epson C13T06344A10 желтый с чипом;Epson
;0151;Совместимый картридж SuperFine T0731;Картридж T0731 для Epson C13T10514A10 черный с чипом;Epson
;0151;Совместимый картридж Colortek T0731;Картридж T0731 для Epson C13T10514A10 черный с чипом;Epson
;0151;Совместимый картридж SuperFine T0731;Картридж T0731 для Epson C13T10514A10 черный с чипом;Epson
;0151;Совместимый картридж InkTec T0731;Картридж T0731 для Epson C13T10514A10 черный с чипом;Epson
;0151;Совместимый картридж SolutionPrint T0731;Картридж T0731 для Epson C13T10514A10 черный с чипом;Epson
;0151;Совместимый картридж ProfiLine T0731;Картридж T0731 для Epson C13T10514A10 черный с чипом;Epson
;0152;Совместимый картридж SuperFine T0732;Картридж T0732 для Epson C13T10524A10 голубой с чипом;Epson
;0152;Совместимый картридж Colortek T0732;Картридж T0732 для Epson C13T10524A10 голубой с чипом;Epson
;0152;Совместимый картридж SuperFine T0732;Картридж T0732 для Epson C13T10524A10 голубой с чипом;Epson
;0152;Совместимый картридж InkTec T0732;Картридж T0732 для Epson C13T10524A10 голубой с чипом;Epson
;0152;Совместимый картридж SolutionPrint T0732;Картридж T0732 для Epson C13T10524A10 голубой с чипом;Epson
;0152;Совместимый картридж ProfiLine T0732;Картридж T0732 для Epson C13T10524A10 голубой с чипом;Epson
;0153;Совместимый картридж SuperFine T0733;Картридж T0733 для Epson C13T0733 пурпурный с чипом;Epson
;0153;Совместимый картридж Colortek T0733;Картридж T0733 для Epson C13T0733 пурпурный с чипом;Epson
;0153;Совместимый картридж SuperFine T0733;Картридж T0733 для Epson C13T0733 пурпурный с чипом;Epson
;0153;Совместимый картридж InkTec T0733;Картридж T0733 для Epson C13T0733 пурпурный с чипом;Epson
;0153;Совместимый картридж SolutionPrint T0733;Картридж T0733 для Epson C13T0733 пурпурный с чипом;Epson
;0153;Совместимый картридж ProfiLine T0733;Картридж T0733 для Epson C13T0733 пурпурный с чипом;Epson
;0154;Совместимый картридж SuperFine T0734;Картридж T0734 для Epson C13T10544A10 желтый с чипом;Epson
;0154;Совместимый картридж Colortek T0734;Картридж T0734 для Epson C13T10544A10 желтый с чипом;Epson
;0154;Совместимый картридж SuperFine T0734;Картридж T0734 для Epson C13T10544A10 желтый с чипом;Epson
;0154;Совместимый картридж InkTec T0734;Картридж T0734 для Epson C13T10544A10 желтый с чипом;Epson
;0154;Совместимый картридж SolutionPrint T0734;Картридж T0734 для Epson C13T10544A10 желтый с чипом;Epson
;0154;Совместимый картридж ProfiLine T0734;Картридж T0734 для Epson C13T10544A10 желтый с чипом;Epson
;0155;Набор совместимых картриджей Cactus T0735;Набор картриджей T0731-T0734 для Epson T0735 с чипом;Epson
;0156;Совместимый картридж ProfiLine T0921;Картридж T0921 для Epson C13T10814A10 черный с чипом;Epson
;0156;Совместимый картридж InkTec T0921;Картридж T0921 для Epson C13T10814A10 черный с чипом;Epson
;0156;Совместимый картридж Colortek T0921;Картридж T0921 для Epson C13T10814A10 черный с чипом;Epson
;0157;Совместимый картридж ProfiLine T0922;Картридж T0922 для Epson C13T10824A10 голубой с чипом;Epson
;0157;Совместимый картридж Colortek T0922;Картридж T0922 для Epson C13T10824A10 голубой с чипом;Epson
;0158;Совместимый картридж ProfiLine T0923;Картридж T0923 для Epson C13T10834A10 пурпурный с чипом;Epson
;0158;Совместимый картридж Colortek T0923;Картридж T0923 для Epson C13T10834A10 пурпурный с чипом;Epson
;0159;Совместимый картридж ProfiLine T0924;Картридж T0924 для Epson C13T10844A10 желтый с чипом;Epson
;0159;Совместимый картридж Colortek T0924;Картридж T0924 для Epson C13T10844A10 желтый с чипом;Epson
;0161;Совместимый картридж SuperFine T0821;Картридж T0821 для Epson черный с чипом;Epson
;0161;Совместимый картридж Cactus T0821;Картридж T0821 для Epson черный с чипом;Epson
;0161;Совместимый картридж Colortek T0811;Картридж T0821 для Epson черный с чипом;Epson
;0161;Совместимый картридж Colortek T0821;Картридж T0821 для Epson черный с чипом;Epson
;0161;Совместимый картридж SuperFine T0811;Картридж T0821 для Epson черный с чипом;Epson
;0161;Совместимый картридж SuperFine T0821;Картридж T0821 для Epson черный с чипом;Epson
;0162;Совместимый картридж SuperFine T0822;Картридж T0822 для Epson C13T11224A10 голубой с чипом;Epson
;0162;Совместимый картридж Cactus T0822;Картридж T0822 для Epson C13T11224A10 голубой с чипом;Epson
;0162;Совместимый картридж Colortek T0812;Картридж T0822 для Epson C13T11224A10 голубой с чипом;Epson
;0162;Совместимый картридж Colortek T0822;Картридж T0822 для Epson C13T11224A10 голубой с чипом;Epson
;0162;Совместимый картридж SuperFine T0812;Картридж T0822 для Epson C13T11224A10 голубой с чипом;Epson
;0162;Совместимый картридж SolutionPrint T0822;Картридж T0822 для Epson C13T11224A10 голубой с чипом;Epson
;0163;Совместимый картридж SuperFine T0823;Картридж T0823 для Epson пурпурный с чипом;Epson
;0163;Совместимый картридж Cactus T0823;Картридж T0823 для Epson пурпурный с чипом;Epson
;0163;Совместимый картридж Colortek T0813;Картридж T0823 для Epson пурпурный с чипом;Epson
;0163;Совместимый картридж Colortek T0823;Картридж T0823 для Epson пурпурный с чипом;Epson
;0163;Совместимый картридж SuperFine T0813;Картридж T0823 для Epson пурпурный с чипом;Epson
;0163;Совместимый картридж SolutionPrint T0823;Картридж T0823 для Epson пурпурный с чипом;Epson
;0164;Совместимый картридж SuperFine T0824;Картридж T0824 для Epson желтый с чипом;Epson
