id,state,has_msg,date,age,platform,account,kind,article,item,cls,era,allow,button,reasons,body,draft
537,queued,False,2026-08-30,10,yandex,ya_acc1,review,02804,02804,прочее,до A1,True,✅,,рекомендую,Благодарим за высокую оценку и доверие! Ждём вас за новыми покупками 🌟
544,queued,False,2026-08-31,9,yandex,ya_acc1,review,239330,239330,доставка,до A1,True,✅,,,"Спасибо, что выбираете нас! Рады каждому довольному покупателю 💙"
546,queued,False,2026-08-31,9,yandex,ya_acc1,review,08521,08521,прочее,до A1,True,✅,,,"Спасибо, что выбираете нас! Рады каждому довольному покупателю 💙"
545,queued,False,2026-08-31,9,yandex,ya_acc1,review,08516,08516,совместимость,до A1,True,✅,,,"Спасибо за оценку! Приятно знать, что картридж работает как надо. Хорошего дня ☀️"
548,queued,False,2026-09-01,9,wb,wb_acc2,review,30543R3MTK9I,865262308,прочее,до A1,True,✅,,Всё отлично 👍,"Покупатель, спасибо за отзыв! Рады каждому довольному покупателю — обращайтесь ещё 🙌"
553,queued,False,2026-09-01,8,wb,wb_acc1,review,0788,199330952,совместимость,до A1,True,✅,,Подошёл идеально,"Анастасия, рады, что всё прошло гладко и товар порадовал! Спасибо, что были с «Цифровым квадратом» 🛍"
557,queued,False,2026-09-01,8,wb,wb_acc1,review,32647,199569483,совместимость,до A1,True,✅,,"Отлично подошёл к нашему принтеру, печать сразу, чёткая, качественная","Евгения, благодарим за оценку! Приятно знать, что картридж работает как надо. Хорошего дня ☀️"
556,carded,True,2026-09-01,8,wb,wb_acc2,question,5723M8LPHJEP,324995312,доставка,до A1,False,—,обещание в черновике: «решим его — замен»,Какая доставка?Когда мне ответит ваша срочная поддержка по поводу  пурпурного картриджа. Вы надо мной издеваетесь вторую,"Здравствуйте! Извините за задержку с ответом — так быть не должно. Напишите нам, пожалуйста, в нашем чате: возьмём вопрос по пурпурному картриджу в работу в пер"
563,queued,False,2026-09-01,8,yandex,ya_acc1,review,1293,1293,характеристики,до A1,True,✅,,Ожидал что сфулыжничают... Но сделали всё качественно и быстро.,"Спасибо за 5 звёзд! Приятно, что оправдали ожидания — будем рады видеть вас снова 🛍"
562,carded,True,2026-09-01,8,wb,wb_acc2,question,0143DV8HNSW6,313183454,прочее,до A1,False,✅как есть,модель сама не считает ответ обоснованным (grounded=false); уверенность 0.45 ниже порога 0.60,"подскажите, пожалуйста, поставка черных картриджей и наборов ожидается в ближайшее время?","Здравствуйте! Точных сроков поставки пока подсказать не можем. Напишите, пожалуйста, здесь, какие именно цвета и наборы для Epson Stylus C41 вам нужны — подскаж"
574,carded,True,2026-09-02,7,yandex,ya_acc1,question,54132,54132,характеристики,до A1,True,✅,,"здравствуйте , пигментные, или водорастворимые?","Здравствуйте! Зависит от партии — поставляются и пигментные, и водорастворимые чёрные чернила. Если для Вас критичен конкретный тип, напишите здесь — постараемс"
573,carded,True,2026-09-02,7,yandex,ya_acc1,question,6454,6454,характеристики,до A1,False,✅как есть,уверенность 0.45 ниже порога 0.60,Здравствуйте! Это оригинал? Разве оригинальные не пигментные?,"Это не оригинал — у нас совместимые чернила (производство Китай). Да, оригинальные GI-46 действительно пигментные: чёрный — Pigment Black, а цветные также на пи"
568,queued,False,2026-09-02,7,yandex,ya_acc1,review,32642,32642,прочее,до A1,True,✅,,,Спасибо за тёплые слова! Нам очень приятно — заходите к нам ещё 😊
569,queued,False,2026-09-03,7,wb,wb_acc1,review,4278,192569274,прочее,до A1,True,✅,,Подошли картриджи  к моему лазерному принтеру,"Ольга, благодарим, что выбрали W2410A-W2413A для HP Color LaserJet Pro M155a в нашем магазине «Цифровой квадрат»! Хорошего настроения 🌟"
571,queued,False,2026-09-03,6,yandex,ya_acc1,review,239330,239330,прочее,до A1,True,✅,,,"Спасибо за 5 звёзд! Приятно, что оправдали ожидания — будем рады видеть вас снова 🛍"
570,queued,False,2026-09-03,6,yandex,ya_acc1,review,63835,63835,прочее,до A1,True,✅,,,Благодарим за высокую оценку и доверие! Ждём вас за новыми покупками 🌟
572,queued,False,2026-09-03,6,yandex,ya_acc1,review,2415,2415,прочее,до A1,True,✅,,"Все отлично, хорошо упаковано","Спасибо за 5 звёзд! Приятно, что оправдали ожидания — будем рады видеть вас снова 🛍"
499,queued,False,2026-09-03,6,yandex,ya_acc1,review,2404,2404,претензия,до A1,False,—,"претензия, ручной ответ","Привезли целыми. На следующий день уже поставил черный картридж, т.к. старый закончился. Сразу же напечатал без проблем.","Рады, что товар оправдал ожидания! Благодарим за выбор и хороший отзыв 🙌"
583,queued,False,2026-09-04,5,yandex,ya_acc1,review,08254,08254,ресурс,до A1,True,✅,,"меняется ваще на раз-два, старый вынул (потянул на себя), новый вставил (потянул от себя)","Благодарим за доверие и оценку! Рады, что картридж вам подошёл. Хорошей печати 🖨️"
592,queued,False,2026-09-04,5,yandex,ya_acc1,review,5243,5243,производитель,до A1,True,✅,,"были хорошо упакованы,хоть и черный от всей поставки отличался производителем","Благодарим, что нашли время на отзыв! Всегда рады помочь с расходниками для печати 🙌"
593,carded,True,2026-09-04,5,wb,wb_acc2,question,3815IBBCHMW5,323215085,характеристики,до A1,True,✅,,Добрый день! К картриджу для работы нужен чип?,"Здравствуйте! Да, чип нужен: картридж поставляется без чипа — его нужно переставить с прежнего оригинального картриджа. Замена простая, при необходимости подска"
595,carded,True,2026-09-05,5,wb,wb_acc1,review,02803,200166276,претензия,до A1,False,—,"претензия, ручной ответ","До первой заправки печатает отлично, после заправки пачкает и листы и руки, одноразовый товар за такие деньги, жалко. Вы","Здравствуйте! Сожалеем, что печать вас подвела. Чаще всего полосы или бледная печать устраняются просто: аккуратно встряхните картридж в горизонтальной плоскост"
594,carded,True,2026-09-05,5,wb,wb_acc1,review,2250,192568162,претензия,до A1,False,—,"претензия, ручной ответ","Принтера уже нет, он разбитый на помойке валяется вместе с вашими картриджами, перед тем как высылать людям товар будте ","Здравствуйте! Сожалеем, что заказ приехал в таком виде — передадим замечание по упаковке. Если пострадал сам товар, напишите нам в чат по QR-коду на упаковке ил"
596,queued,False,2026-09-05,5,yandex,ya_acc1,review,54824,54824,доставка,до A1,True,✅,,В работе нареканий нет.,Спасибо за добрые слова! Всегда рады видеть вас снова в нашем магазине 😊
527,queued,False,2026-09-05,5,yandex,ya_acc1,review,47511,47511,претензия,до A1,False,—,"претензия, ручной ответ",,"Рады, что товар оправдал ожидания! Благодарим за выбор и хороший отзыв 🙌"
597,queued,False,2026-09-05,4,wb,wb_acc2,review,02807X3OOLDS,862422795,прочее,до A1,True,✅,,Извините пожалуйста разобралась,"Нина, благодарим за тёплый отзыв! Нам очень приятно. Заходите к нам ещё 😊"
599,queued,False,2026-09-05,4,wb,wb_acc1,review,0333,181105073,характеристики,до A1,True,✅,,"Подошли на старый принтер. Как родные 🤌🏼 Хорошие картриджи , цвета насыщенные","Залина, благодарим, что выбрали 21XL-22XL для HP DeskJet F4180, DeskJet F4185 в нашем магазине «Цифровой квадрат»! Хорошего настроения 🌟"
598,carded,True,2026-09-05,4,wb,wb_acc2,question,3815IBBCHMW5,323215085,характеристики,до A1,False,✅как есть,qa-guard: не прямой ответ (полярность не определена),Добрый день! Будет ли работать без чипа?,"Добрый день! Картридж поставляется без чипа — нужно переставить чип с Вашего прежнего оригинального картриджа, тогда принтер его корректно распознает. Без чипа "
601,queued,False,2026-09-05,4,wb,wb_acc1,review,5422,253913048,совместимость,до A1,True,✅,,Подошел к принтеру canon. Принтер немного подумал и заработал как с родными картриджами. На данный момент покупкой довол,"Елена, благодарим, что выбрали 067H для Canon MF657Cdw, MF657Cdw, MF657Cdw в нашем магазине «Цифровой квадрат»! Хорошего настроения 🌟"
602,queued,False,2026-09-06,4,yandex,ya_acc1,review,52892,52892,прочее,до A1,True,✅,,,Благодарим за высокую оценку и доверие! Ждём вас за новыми покупками 🌟
603,queued,False,2026-09-06,3,wb,wb_acc2,review,020097W9ES19,923512542,прочее,до A1,True,✅,,Рабочий картридж. Печатает хорошо,"Ирина, спасибо за 5 звёзд! Будем и дальше стараться держать планку. Хорошего настроения 😊"
610,queued,False,2026-09-06,3,yandex,ya_acc1,review,221214,221214,прочее,до A1,True,✅,,"используется более полугода, износа ленты пока не замечено","Рады, что всё прошло гладко и товар порадовал! Благодарим за покупку 🛍"
609,queued,False,2026-09-06,3,yandex,ya_acc1,review,00871,00871,заправка,до A1,True,✅,,,"Благодарим за заказ и высокую оценку! Рады, что товар подошёл. Хорошего настроения 🌟"
608,queued,False,2026-09-06,3,yandex,ya_acc1,review,3850,3850,совместимость,до A1,True,✅,,"Как и указано, подходит для принтера Epson L4160, полностью заполнила резервуар и еще немного осталось.",Благодарим за высокую оценку и доверие! Ждём вас за новыми покупками 🌟
607,queued,False,2026-09-06,3,yandex,ya_acc1,review,3852,3852,характеристики,до A1,True,✅,,"Отличные чернила, подошли принтеру Epson L4160, заполнила принтер без проблем. Качеством печати довольна.","Рады, что всё прошло гладко и товар порадовал! Благодарим за покупку 🛍"
606,queued,False,2026-09-06,3,yandex,ya_acc1,review,3853,3853,характеристики,до A1,True,✅,,"Чернила подошли принтеру Epson L4160 идеально, принтер печатает отлично. Пришли быстро, бережно упакованы, целые.","Благодарим за доверие и оценку! Рады, что картридж вам подошёл. Хорошей печати 🖨️"
605,queued,False,2026-09-06,3,yandex,ya_acc1,review,3851,3851,характеристики,до A1,True,✅,,,"Благодарим, что нашли время на отзыв! Всегда рады помочь с расходниками для печати 🙌"
604,carded,True,2026-09-06,3,ozon,oz_acc1,question,,1277712843,характеристики,до A1,True,✅,,"Подскажите пожалуйста,это оригинал?","Здравствуйте! Нет, это совместимый картридж TN-420H для принтеров Pantum — качественный аналог оригинала, производство Китай. Чип уже установлен, ресурс 3000 ст"
612,queued,False,2026-09-06,3,yandex,ya_acc1,review,47511,47511,ресурс,до A1,True,✅,,Все отлично. Цена вообще огонь за такой объем,"Спасибо за оценку! Приятно знать, что картридж работает как надо. Хорошего дня ☀️"
611,queued,False,2026-09-06,3,yandex,ya_acc1,review,1222,1222,прочее,до A1,True,✅,,,"Благодарим, что нашли время на отзыв! Всегда рады помочь с расходниками для печати 🙌"
614,carded,True,2026-09-07,2,ozon,oz_acc1,question,,3681638376,совместимость,до A1,False,✅как есть,"qa-guard: не прямой ответ, длина","Здравствуйте, подойдет ли это комплект на принтер hp 9010 с прошивкой 2623а ?","Здравствуйте! Нет, по самой модели — да, комплект №963XL подходит для HP OfficeJet Pro 9010. По версии прошивки однозначно сказать нельзя: есть ограничение по п"
613,carded,True,2026-09-07,2,ozon,oz_acc1,question,,5272497902,совместимость,до A1,False,✅как есть,qa-guard: длина; уверенность 0.40 ниже порога 0.60,"Подходит ли для моделей pe с 4й прошивкой, новой","Зависит от прошивки: по самим моделям Pantum серий M67xx/M7xxx и P30xx/P33xx этот картридж рассчитан, но на новых прошивках принтер может не принять совместимый"
616,queued,False,2026-09-07,2,yandex,ya_acc1,review,001824,001824,прочее,до A1,True,✅,,,"Спасибо, что выбрали наш магазин! Рады, что всё понравилось 🌟"
615,carded,True,2026-09-07,2,ozon,oz_acc1,question,,864225717,совместимость,до A1,True,✅,,Добрый день! прошивка 20160921 принтер M477fnw подойдут ли эти картриджи?,"Здравствуйте! Да, подойдёт для M477fnw — это вариант серии из списка совместимости карточки. Наш картридж — CF410A. Прошивка от 21.09.2016 — ранняя, и для этой "
617,carded,True,2026-09-07,2,wb,wb_acc1,question,028610,200163012,характеристики,до A1,True,✅,,Добрый день. У вас есть цветной такой картридж 492 или 490?,"Здравствуйте! На этой карточке — чёрный картридж, ресурс 400 страниц. Цветной для Pixma MP490/MP492 поможем подобрать: напишите нам здесь, и мы подскажем артику"
618,queued,False,2026-09-07,2,yandex,ya_acc1,review,02491,02491,прочее,до A1,True,✅,,. Рекомендую.,Спасибо за тёплые слова! Нам очень приятно — заходите к нам ещё 😊
619,queued,True,2026-09-07,2,ozon,oz_acc1,question,,930622287,совместимость,до A1,False,✅как есть,D1: ответ о совместимости построен на вебе,Здравствуйте! На Laser jet MFP M433a подойдёт?,"Да, подойдёт — LaserJet MFP M433a относится к той же серии M433/M436, для которой предназначен этот картридж."
620,queued,False,2026-09-08,2,wb,wb_acc2,review,5422YHSC5BIR,313188500,характеристики,до A1,True,✅,,Отлично. Чип определился. Принтер не ругается на не оригинал)),"Дмитрий, спасибо за отзыв! Рады каждому довольному покупателю — обращайтесь ещё 🙌"
622,queued,False,2026-09-08,1,yandex,ya_acc1,review,34413,34413,прочее,после A1,True,✅,,"Отличный прозовет, товар супер. Буду покупать еще",Спасибо за 5 звёзд и за выбор нашего магазина! Обращайтесь ещё 🌟
623,queued,False,2026-09-08,1,yandex,ya_acc1,review,4830,4830,ресурс,после A1,True,✅,,"доставка быстрая, упакован в коробку, как обычно, поиграли немного коробкой в футбол, но сам барабан приехал в целости и",Спасибо за тёплые слова! Нам очень приятно — заходите к нам ещё 😊
625,queued,False,2026-09-08,1,wb,wb_acc1,review,2250,192568162,характеристики,после A1,True,✅,,Не хуже оригинала,"Здравствуйте, спасибо за отзыв! Рады каждому довольному покупателю — обращайтесь ещё 🙌"
624,queued,False,2026-09-08,1,wb,wb_acc1,review,5729,270394654,прочее,после A1,True,✅,,,"Здравствуйте, спасибо, что выбираете нас! Приятно, что товар оправдал ожидания 🖨️🌟"
626,queued,False,2026-09-09,1,yandex,ya_acc1,review,6460,6460,совместимость,после A1,True,✅,,"Пришло всё отлично упакованно, уже брала такие чернила, мне всё подходит. Цветопередача ничем ни отличается от тех, что ","Благодарим, что нашли время на отзыв! Всегда рады помочь с расходниками для печати 🙌"
