nm_id;артикул;товар;ключ;запросов_нед;позиция;переходов;заказов;ставка_₽;источник_ставки;остаток_шт;в_работу
216453663;5243;Картриджи 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;сменный картридж для принтера canon;3;184;1;0;11.75;api_set;49;да
440329866;3741;Чернила GT51-GT52 для HP SmartTank 615, DeskJet GT5810;принтер smart tank 515;2;11;1;0;9.71;api_set;1;да
326848543;0035;Картридж SCX-4200 для Samsung SCX-4200, SCX-4220 черный;картридж csx-4200d3 xev;2;11;1;0;9.71;api_set;1;да
964953068;45424;Картридж для HP Laser 135A;картридж на hp laser mfp 135r;2;11;1;0;11.75;api_set;2;да
181104988;0099;Картриджи 56-57 для HP PhotoSmart 7735, PhotoSmart 7755;картридж hp 57;2;14;1;0;9.71;api_set;41;да
216448532;38552;Чернила для Epson M 105;чернила для принтера epson 105;2;15;1;0;8.83;api_set;2;да
199335504;4542;Картридж W1106XL для HP Laser 107A, Laser 107R черный;картриджи на принтер hp laser mfp 135 w;2;16;1;0;9.71;api_set;2;да
964953109;45427;Картридж для HP Laser 135W MFP;картриджи на принтер hp laser mfp 135 w;2;17;2;0;12.89;api_set;2;да
216341265;0335;Картриджи 45-78 для HP DeskJet 930, DeskJet 9300;картридж hp45;2;19;2;0;10.65;api_set;49;да
967514152;55211;Картридж для Canon I-Sensys MF270;картридж canon 071;2;21;1;0;9.71;api_set;1;да
566797602;0900;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;картридж на epson xp 33;2;21;1;0;12.89;api_set;49;да
192567319;0098;Картриджи T0551-T0554 для Epson Stylus Photo X420;перезаправляемые картриджи для epson stylus photo r240;2;25;2;0;9.71;api_set;2;да
200167236;10421;Картридж для Samsung Xpress M2020;картридж для принтера самсунг м2020;2;27;1;0;22.54;api_set;3;да
200166029;08514;Картридж для Brother HL-L2365DWR;принтер лазерный бротхер 2540;2;38;1;0;9.71;api_set;1;да
967516852;45422;Картридж для HP Laser 107R;картридж для hp laser 107wr;2;40;1;0;9.71;api_set;2;да
181105081;0332;Картридж 178XL для HP PhotoSmart C5383 желтый;катридж 178;2;46;2;0;9.71;api_set;49;да
291112398;5758;Чернила 108/008 BK черный;краска для принтера epson 108;2;61;1;0;9.71;api_set;1;да
292510536;5763;Чернила 108/008 LM светло-пурпурный;краска для принтера epson 108;2;69;2;0;8.83;api_set;49;да
292509993;5760;Чернила 108/008 M пурпурный;краска для принтера epson 108;2;69;2;0;9.71;api_set;1;да
257807190;1253;Картридж PGI-425PGBK для Canon Pixma MG5340 черный;картридж чёрный для принтера canon mg5140;1;11;1;0;9.71;api_set;2;да
215239569;1384;Картридж 731H для Canon MF628cw, MF628cw, MF628cw черный;mf8230 cn;1;11;1;0;9.71;api_set;1;да
192568590;2286;Картриджи 106R01634-106r01631 для Xerox Phaser 6010;картридж на ксерокс файзер 6000;1;11;3;0;9.71;api_set;46;да
192228659;2280;Картриджи CF530A-CF533A для HP LJ Pro M154 a, LJ Pro M154 a;картридж для hp cf 530 a 181 fw;1;11;1;0;9.71;api_set;1;да
192228643;1330;Картридж CLT-Y404S для Samsung SL-C480FW, SL-C480FW желтый;картридж для принтера xpress c430;1;11;1;0;9.71;api_set;1;да
440334909;02321;Картридж для Panasonic KX-MB263;panasonic kx fc258 факс;1;12;1;0;9.71;api_set;5;да
964953201;45428;Картридж для HP Laser 135WR MFP;картридж для принтера hp laser mfp 135wr cactus;1;12;1;0;12.89;api_set;2;да
859072201;53354;Картридж для Canon i-SENSYS MF4018;картридж для canon mf 4018;1;12;1;0;9.71;api_set;1;да
192228116;0139;Картридж PGI-5BK для Canon Pixma iP4500, Pixma MP520 черный;картриджи для принтера санон 4200;1;12;1;0;9.71;api_set;24;да
200166638;13671;Картридж для Xerox Phaser 3020;купить картридж в принтер phaser 3020 hb-mlt-d101s;1;13;1;0;9.71;api_set;1;да
967521865;54185;Картридж для Canon i-SENSYS MF657Cdw;canon mf655cdw картридж;1;13;1;0;10.68;api_set;5;да
474526695;6206;Картридж TK-1270 для Kyocera MA4000cifx, MA4000cix черный;tk 1270 картридж;1;13;1;0;9.71;api_set;49;да
209728731;3767;Картридж W2071X для HP HP Color Laser 150nw голубой;картридж доя принтера hp color laser jet1215;1;14;1;0;9.71;api_set;2;да
888188198;6890;Картридж 325 для Canon LBP6000, LBP6020, LBP6020B черный;картридж canon 325 starter;1;14;1;0;11.75;api_set;1;да
199565782;083811;Картридж для Epson Expression Home XP-413;epson xp-103 картриджи;1;14;1;0;11.75;api_set;49;да
209665142;1110;Картридж 106R02610 для Xerox Phaser 7100 пурпурный;phaser 7100;1;14;4;0;9.71;api_set;19;да
199572575;13071;Картридж для Lexmark MS510dn;картридж на lexmark x 2470;1;15;1;0;9.71;api_set;39;да
551257400;6708;Фотобарабан + картридж DR-2080 DU+TN-2080 для Brother черный;картридж для принтера бразер dcp-7055;1;15;1;0;9.71;api_set;49;да
192569068;3208;Картриджи CF360A-CF363A для HP M552, M553 dn, LJ M577;hp 363;1;15;1;0;9.71;api_set;14;да
393838438;6078;Чернила №110 для Epson EcoTank M1100, EcoTank M1120 черный;чернила для епсон 110;1;15;1;0;9.71;api_set;49;да
292510369;5762;Чернила 108/008 LC светло-голубой;epson 108 lc;1;17;1;0;8.83;api_set;49;да
566797602;0900;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;катридж для epson t5570.;1;17;1;0;12.89;api_set;49;да
216422393;00029;Картридж для HP LaserJet 3020;3020 hp;1;17;1;0;9.71;api_set;1;да
181115853;1449;Картридж CLI-471XLM для Canon Pixma TS5040 пурпурный;ts5040 картриджи;1;17;1;0;9.71;api_set;2;да
200167548;326211;Картридж для M6500;картриж для лазерного принтера  м 6500;1;17;1;0;9.71;api_set;2;да
209664330;3849;Чернила №103 для Epson L-5190, L 3101, L-5190, L 3101;чернила 103 epson набор 500мл;1;18;1;0;9.71;api_set;1;да
215240022;3908;Картридж W2070A для HP Laser 150a, Laser 150a черный;w2070а;1;18;2;0;9.71;api_set;49;да
437228191;5484;Картриджи 069 для Canon LBP673Cdw, MF752Cdw, MF754Cdw;картридж canon 069 black;1;18;3;0;9.71;api_set;2;да
192568162;2250;Картриджи CLI-451 для Canon Pixma iP7240, Pixma iP8740;картриджи для canon mg5440;1;19;1;0;9.71;api_set;49;да
546994938;6624;Фотобарабан + картридж DR-1095 DU+TN-1095 для Brother черный;картридж tn-1095 brother для лазерного принтера;1;19;1;0;10.68;api_set;18;да
547722702;6637;Фотобарабан + картридж CF232A+CF230XL для HP черный;картридж cf 232a;1;20;1;0;8.83;api_set;49;да
327898194;239318;Комплект картриджей для Canon SELPHY CP760;катридж на selphy cp 1500;1;21;1;0;9.71;api_set;1;да
215240041;4209;Картриджи W2070A-W2073A для HP Laser 150a, Laser 150a;картридж для принтера hp лазерный комплект;1;22;2;0;9.71;api_set;49;да
215240040;3982;Картридж W2073A для HP HP Color Laser 150nw пурпурный;картридж для принтера hp лазерный комплект;1;22;1;0;9.71;api_set;49;да
200166308;02802;Картридж для Samsung ML-1665;картриджи для samsung ml-1865 цветной;1;23;1;0;9.71;api_set;3;да
215240041;4209;Картриджи W2070A-W2073A для HP Laser 150a, Laser 150a;картриджи не на принтер hp color laser 150nw;1;24;1;0;9.71;api_set;49;да
944934660;6404;Картриджи W2300A-W2303A для HP 4303fdn, 4303fdn, 4303fdn;w2300a картридж;1;24;1;0;9.71;api_set;49;да
200164816;020039;Картридж для HP DeskJet F2280;струйный картридж hp 21;1;25;1;0;9.71;api_set;14;да
199335424;4274;Картридж W2410A для HP Color LaserJet Pro M155a черный;картридж для принтераhp w2410a;1;26;1;0;9.71;api_set;2;да
192569274;4278;Картриджи W2410A-W2413A для HP Color LaserJet Pro M155a;картридж для принтераhp w2410a;1;26;1;0;11.75;api_set;2;да
263821899;3740;Чернила GT52 для HP InkTank 415, InkTank 419 желтый;чернила для принтера ho smarttank;1;28;1;0;8.83;api_set;2;да
216341469;5389;Картридж ML-1610 для Samsung ML-1610, ML-1615 черный;картридж для принтера samsung мл 2015;1;28;1;0;9.71;api_set;3;да
566797602;0900;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;epson xp-103 картриджи;1;28;5;0;12.89;api_set;49;да
181105081;0332;Картридж 178XL для HP PhotoSmart C5383 желтый;178 картриджи для принтера оригинал;1;31;1;0;9.71;api_set;49;да
181095495;0329;Картридж 178XL для HP PhotoSmart FAX-CC335C фото-черный;178 картриджи для принтера оригинал;1;31;4;0;9.71;api_set;33;да
265276096;4422;Чернила BTD60BK для Brother DCP-T310, DCP-T510W черный;принтер скснерbrother t425w цветной;1;34;1;0;9.71;api_set;3;да
181115920;3117;Картридж LC-665XLY для Brother MFC-J2320, MFC-J2720 желтый;картридж mfc-j2330dv;1;42;1;0;9.71;api_set;2;да
209664330;3849;Чернила №103 для Epson L-5190, L 3101, L-5190, L 3101;чернила epson 103 перманент;1;47;1;0;9.71;api_set;1;да
199565568;13773;Картридж для HP LaserJet Pro M132a;картридж лазер джет mfp m132a132а;1;60;3;0;9.71;api_set;2;да
216361799;36181;Картридж для Canon i-SENSYS MF6180dw;картриджи для принтера canon 6670;1;81;1;0;9.71;api_set;1;да
215243941;443311;Чернила для Epson EcoTank M3180;чернила для епсон 110;1;95;1;0;8.83;api_set;2;да
216453663;5243;Картриджи 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;картридж для кэнон 069;1;96;1;0;11.75;api_set;49;да
566797602;0900;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;картриджи эпсон 323;0;12;1;0;12.89;api_set;49;да
209663808;0966;Картридж 72Y для HP DJ T610, DJ T620, DJ T610 желтый;hp t770 набор картриджей;0;17;1;0;9.71;api_set;1;да
262192043;5320;Картриджи №72 для HP DJ T1120, DJ T1200, DJ T1120, DJ T1200;hp t770 набор картриджей;0;17;1;0;9.71;api_set;1;да
209762899;41813;Картридж для HP LaserJet E72530;картридж hp laserjet mfp e72535;0;20;1;0;8.83;api_set;49;да
